"","run_team","run_length","start_score","end_score","run_start","run_end","time_clean"
"1","Duke",16,"7-6","23-6","1H-15:47","1H-13:09","2:38"
"2","Elon",14,"57-69","71-69","2H-10:43","2H-06:48","3:55"
"3","Louisville",12,"70-69","82-69","2H-02:59","2H-00:40","2:19"
"4","Notre Dame",12,"36-47","48-47","2H-15:46","2H-13:09","2:37"
"5","Wake Forest",12,"37-39","49-39","2H-14:52","2H-09:36","5:16"
"6","Dayton",11,"23-22","34-22","1H-07:47","1H-06:30","1:17"
"7","Duke",11,"29-13","40-13","1H-10:27","1H-05:16","5:11"
"8","Florida",10,"0-2","2-10","1H-17:32","1H-16:21","1:11"
"9","Kansas",10,"39-29","49-29","1H-05:51","1H-01:43","4:08"
