"","ID","run_team","def_team","run_length","start_score","end_score","run_start","run_end","time","time_clean"
"617","5722959","North Carolina","Dayton",2,"30-47","32-47","1H-02:10","1H-02:10",0,"0:00"
"618","5722959","Dayton","North Carolina",2,"47-32","49-32","1H-02:00","1H-02:00",0,"0:00"
"619","5722959","Dayton","North Carolina",2,"49-33","51-33","1H-00:44","1H-00:44",0,"0:00"
"620","5722959","North Carolina","Dayton",2,"33-51","35-51","2H-19:23","2H-19:23",0,"0:00"
"621","5722959","Dayton","North Carolina",2,"56-39","58-39","2H-16:28","2H-16:28",0,"0:00"
"622","5722959","Dayton","North Carolina",2,"61-47","63-47","2H-13:12","2H-13:12",0,"0:00"
"623","5722959","Dayton","North Carolina",2,"66-60","68-60","2H-09:22","2H-09:22",0,"0:00"
"624","5722959","Dayton","North Carolina",2,"87-90","89-90","2H-00:06","2H-00:06",0,"0:00"
"625","5722959","North Carolina","Dayton",2,"90-89","92-89","2H-00:04","2H-00:04",0,"0:00"
"626","5722995","North Carolina","La Salle",2,"0-5","2-5","1H-17:15","1H-17:15",0,"0:00"
"627","5722995","La Salle","North Carolina",2,"8-18","10-18","1H-11:57","1H-11:57",0,"0:00"
"628","5722995","North Carolina","La Salle",2,"22-14","24-14","1H-07:58","1H-07:58",0,"0:00"
"629","5722995","La Salle","North Carolina",2,"14-24","16-24","1H-07:37","1H-07:37",0,"0:00"
"630","5722995","La Salle","North Carolina",2,"16-29","18-29","1H-05:58","1H-05:58",0,"0:00"
"631","5722995","La Salle","North Carolina",2,"18-34","20-34","1H-03:31","1H-03:31",0,"0:00"
"632","5722995","North Carolina","La Salle",2,"34-20","36-20","1H-03:27","1H-03:27",0,"0:00"
"633","5722995","La Salle","North Carolina",2,"23-42","25-42","1H-00:00","1H-00:00",0,"0:00"
"634","5722995","North Carolina","La Salle",2,"42-25","44-25","2H-19:34","2H-19:34",0,"0:00"
"635","5722995","La Salle","North Carolina",2,"29-52","31-52","2H-15:57","2H-15:57",0,"0:00"
"636","5722995","La Salle","North Carolina",2,"31-55","33-55","2H-14:53","2H-14:53",0,"0:00"
"637","5722995","La Salle","North Carolina",2,"36-59","38-59","2H-13:27","2H-13:27",0,"0:00"
"638","5722995","La Salle","North Carolina",2,"38-65","40-65","2H-11:08","2H-11:08",0,"0:00"
"639","5722995","La Salle","North Carolina",2,"57-88","59-88","2H-02:23","2H-02:23",0,"0:00"
"640","5722995","North Carolina","La Salle",2,"91-62","93-62","2H-01:15","2H-01:15",0,"0:00"
"641","5723013","North Carolina","Florida",2,"-2-2","0-2","1H-19:04","1H-19:04",0,"0:00"
"642","5723013","North Carolina","Florida",2,"8-4","10-4","1H-16:03","1H-16:03",0,"0:00"
"643","5723013","North Carolina","Florida",2,"11-6","13-6","1H-14:32","1H-14:32",0,"0:00"
"644","5723013","Florida","North Carolina",2,"7-18","9-18","1H-13:21","1H-13:21",0,"0:00"
"645","5723013","North Carolina","Florida",2,"23-12","25-12","1H-10:08","1H-10:08",0,"0:00"
"646","5723013","North Carolina","Florida",2,"27-13","28-14","1H-09:20","1H-09:20",0,"0:00"
"647","5723013","North Carolina","Florida",2,"34-19","35-20","1H-05:07","1H-05:07",0,"0:00"
"648","5723013","North Carolina","Florida",2,"41-26","42-27","1H-02:32","1H-02:32",0,"0:00"
"649","5723013","Florida","North Carolina",2,"25-44","27-44","1H-02:21","1H-02:21",0,"0:00"
"650","5723013","Florida","North Carolina",2,"28-46","30-46","1H-01:47","1H-01:47",0,"0:00"
"651","5723013","North Carolina","Florida",2,"47-47","49-47","2H-16:51","2H-16:51",0,"0:00"
"652","5723013","North Carolina","Florida",2,"51-49","53-49","2H-15:35","2H-15:35",0,"0:00"
"653","5723013","North Carolina","Florida",2,"54-51","56-51","2H-15:02","2H-15:02",0,"0:00"
"654","5723013","Florida","North Carolina",2,"49-58","51-58","2H-14:47","2H-14:47",0,"0:00"
