Team,titles,runnerup,semis
Stanford,2,0,3
Florida St.,3,2,2
UCLA,2,1,1
Virginia,0,1,2
North Carolina,0,3,2
Georgetown,0,0,2
BYU,0,1,0
Penn St.,1,0,0
West Virginia,0,1,0
South Carolina,0,0,1
Rutgers,0,0,2
Texas A&M,0,0,1
Santa Clara,1,0,1
Southern California,1,0,0
Duke,0,1,1
Virginia Tech,0,0,1
Alabama,0,0,1
