Rk,Player,PTS,Date▲,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Class
61,RJ Davis,8,3/10/22,North Carolina,N,Virginia,W 63-43,*,31,4,13,0.308,4,9,0.444,0,4,0,0,0,,0.308,3,5,8,6,1,1,2,1,8,7.6,6.3,G,SO
62,RJ Davis,10,3/11/22,North Carolina,N,Virginia Tech,L 59-72,*,36,2,10,0.2,1,4,0.25,1,6,0.167,5,6,0.833,0.389,1,4,5,1,1,0,3,2,10,3.2,-2.7,G,SO
63,RJ Davis,4,2022-03-17 NCAA,North Carolina,N,Marquette,W 95-63,*,30,1,10,0.1,0,5,0,1,5,0.2,1,2,0.5,0.183,1,3,4,12,0,0,1,0,4,6,1.7,G,SO
64,RJ Davis,30,2022-03-19 NCAA,North Carolina,N,Baylor,W 93-86 (OT),*,45,8,17,0.471,3,7,0.429,5,10,0.5,9,10,0.9,0.69,0,5,5,6,1,0,3,4,30,23,11.2,G,SO
65,RJ Davis,12,2022-03-25 NCAA,North Carolina,N,UCLA,W 73-66,*,37,3,11,0.273,2,7,0.286,1,4,0.25,5,5,1,0.449,1,6,7,3,0,0,2,2,12,7.3,2.8,G,SO
66,RJ Davis,9,2022-03-27 NCAA,North Carolina,N,Saint Peter's,W 69-49,*,39,2,11,0.182,2,7,0.286,0,4,0,5,5,1,0.336,0,4,4,3,4,0,2,4,9,5.8,0.6,G,SO
67,RJ Davis,18,2022-04-02 NCAA,North Carolina,N,Duke,W 81-77,*,36,6,13,0.462,4,9,0.444,2,4,0.5,4,4,1,0.604,0,7,7,4,0,0,1,4,18,13.6,10.1,G,SO
68,RJ Davis,15,2022-04-04 NCAA,North Carolina,N,Kansas,L 69-72,*,40,5,17,0.294,5,12,0.417,0,5,0,5,5,1,0.387,6,6,12,2,0,0,3,0,15,9.5,5.5,G,SO
69,RJ Davis,17,11/7/22,North Carolina,,UNC Wilmington,W 69-56,*,37,6,11,0.545,5,8,0.625,1,3,0.333,4,4,1,0.659,0,4,4,1,1,0,1,2,17,12.8,7,G,JR
70,RJ Davis,11,11/11/22,North Carolina,,College of Charleston,W 102-86,*,35,4,8,0.5,3,4,0.75,1,4,0.25,2,2,1,0.615,1,2,3,5,0,1,3,3,11,8.3,-1.1,G,JR
71,RJ Davis,14,11/15/22,North Carolina,,Gardner-Webb,W 72-66,*,35,4,13,0.308,2,7,0.286,2,6,0.333,4,4,1,0.47,2,8,10,3,3,0,2,2,14,12.6,6.9,G,JR
72,RJ Davis,21,11/20/22,North Carolina,,James Madison,W 80-64,*,34,7,16,0.438,5,9,0.556,2,7,0.286,5,6,0.833,0.557,0,2,2,5,0,0,2,2,21,13.5,7.9,G,JR
73,RJ Davis,13,11/24/22,North Carolina,N,Portland,W 89-81,*,32,4,11,0.364,3,8,0.375,1,3,0.333,4,4,1,0.504,0,3,3,5,0,0,1,1,13,9.9,0,G,JR
74,RJ Davis,15,11/25/22,North Carolina,N,Iowa State,L 65-70,*,32,5,14,0.357,4,7,0.571,1,7,0.143,4,4,1,0.472,1,2,3,1,1,0,2,3,15,7,1.2,G,JR
75,RJ Davis,19,11/27/22,North Carolina,N,Alabama,L 101-103 (4OT),*,51,8,24,0.333,6,18,0.333,2,6,0.333,1,2,0.5,0.381,0,9,9,4,3,0,2,4,19,9.9,2.2,G,JR
76,RJ Davis,11,11/30/22,North Carolina,@,Indiana,L 65-77,*,33,4,11,0.364,3,9,0.333,1,2,0.5,2,2,1,0.46,1,6,7,2,1,0,3,2,11,6,1.7,G,JR
77,RJ Davis,18,12/4/22,North Carolina,@,Virginia Tech,L 72-80,*,35,6,11,0.545,6,7,0.857,0,4,0,6,7,0.857,0.628,0,4,4,1,2,1,2,4,18,13.3,5.7,G,JR
78,RJ Davis,22,12/10/22,North Carolina,,Georgia Tech,W 75-59,*,35,8,13,0.615,7,11,0.636,1,2,0.5,5,6,0.833,0.694,2,8,10,3,1,0,4,3,22,17.4,10.2,G,JR
79,RJ Davis,6,12/13/22,North Carolina,,The Citadel,W 100-67,*,20,2,6,0.333,0,2,0,2,4,0.5,0,0,,0.5,0,2,2,3,0,0,1,2,6,3.5,-5.9,G,JR
80,RJ Davis,21,12/17/22,North Carolina,N,Ohio State,W 89-84 (OT),*,40,6,13,0.462,5,8,0.625,1,5,0.2,8,9,0.889,0.608,1,7,8,4,2,0,3,3,21,17.3,8.1,G,JR
81,RJ Davis,19,12/21/22,North Carolina,N,Michigan,W 80-76,*,38,6,15,0.4,2,7,0.286,4,8,0.5,3,4,0.75,0.562,1,5,6,5,1,0,2,2,19,14.4,8.8,G,JR
82,RJ Davis,16,12/30/22,North Carolina,@,Pittsburgh,L 74-76,*,35,4,11,0.364,3,6,0.5,1,5,0.2,7,8,0.875,0.541,0,5,5,3,0,0,2,4,16,9.5,-0.3,G,JR
83,RJ Davis,27,1/4/23,North Carolina,,Wake Forest,W 88-79,*,38,9,14,0.643,4,6,0.667,5,8,0.625,4,4,1,0.849,0,4,4,4,3,0,0,2,27,27,20.7,G,JR
84,RJ Davis,13,1/7/23,North Carolina,,Notre Dame,W 81-64,*,36,5,11,0.455,3,7,0.429,2,4,0.5,1,2,0.5,0.544,0,5,5,5,3,0,1,2,13,13.1,6.4,G,JR
85,RJ Davis,16,1/10/23,North Carolina,@,Virginia,L 58-65,*,35,6,12,0.5,3,7,0.429,3,5,0.6,1,2,0.5,0.618,1,2,3,1,1,0,4,3,16,7.4,4.2,G,JR
86,RJ Davis,12,1/14/23,North Carolina,@,Louisville,W 80-59,*,27,4,7,0.571,2,3,0.667,2,4,0.5,2,2,1,0.755,0,4,4,5,0,0,1,4,12,10.8,8.1,G,JR
87,RJ Davis,18,1/17/23,North Carolina,,Boston College,W 72-64,*,32,6,13,0.462,2,6,0.333,4,7,0.571,2,2,1,0.645,0,0,0,3,1,0,1,3,18,12.2,12.2,G,JR
88,RJ Davis,26,1/21/23,North Carolina,,NC State,W 80-69,*,37,5,8,0.625,3,4,0.75,2,4,0.5,14,14,1,0.887,0,4,4,0,0,0,3,2,26,19.8,13.2,G,JR
89,RJ Davis,9,1/24/23,North Carolina,@,Syracuse,W 72-68,*,35,4,9,0.444,3,5,0.6,1,4,0.25,0,2,0,0.452,1,5,6,5,2,0,1,3,9,9,2.6,G,JR
90,RJ Davis,8,2/1/23,North Carolina,,Pittsburgh,L 64-65,*,37,3,15,0.2,3,9,0.333,0,6,0,2,4,0.5,0.237,2,6,8,3,1,0,3,4,8,-0.4,-4.7,G,JR
91,RJ Davis,11,2/4/23,North Carolina,@,Duke,L 57-63,*,35,5,16,0.313,4,11,0.364,1,5,0.2,0,0,,0.344,1,4,5,5,0,0,0,4,11,5.6,4,G,JR
92,RJ Davis,16,2/7/23,North Carolina,@,Wake Forest,L 85-92,*,31,4,12,0.333,4,8,0.5,0,4,0,8,8,1,0.506,1,4,5,5,1,0,3,3,16,11.4,4.2,G,JR
93,RJ Davis,17,2/11/23,North Carolina,,Clemson,W 91-71,*,30,5,12,0.417,1,2,0.5,4,10,0.4,3,4,0.75,0.612,0,2,2,4,0,0,3,3,17,9.4,3.6,G,JR
94,RJ Davis,23,2/13/23,North Carolina,,Miami (FL),L 72-80,*,36,9,18,0.5,7,11,0.636,2,7,0.286,3,3,1,0.592,2,3,5,2,2,0,1,4,23,17.1,12.8,G,JR
95,RJ Davis,7,2/19/23,North Carolina,@,NC State,L 69-77,*,40,2,13,0.154,1,7,0.143,1,6,0.167,2,2,1,0.251,2,2,4,3,0,0,1,4,7,0.2,-4.7,G,JR
96,RJ Davis,12,2/22/23,North Carolina,@,Notre Dame,W 63-59,*,33,5,10,0.5,5,6,0.833,0,4,0,2,2,1,0.548,0,8,8,1,2,0,1,4,12,9.5,6.2,G,JR
97,RJ Davis,16,2/25/23,North Carolina,,Virginia,W 71-63,*,37,5,10,0.5,3,6,0.5,2,4,0.5,4,4,1,0.672,0,10,10,4,0,0,2,3,16,13.6,6.5,G,JR
98,RJ Davis,19,2/27/23,North Carolina,@,Florida State,W 77-66,*,38,7,13,0.538,4,6,0.667,3,7,0.429,2,2,1,0.681,0,4,4,4,2,0,3,3,19,14.5,7.7,G,JR
99,RJ Davis,17,3/4/23,North Carolina,,Duke,L 57-62,,38,6,13,0.462,3,8,0.375,3,5,0.6,2,2,1,0.609,0,6,6,3,2,0,1,2,17,14.4,15.1,G,JR
100,RJ Davis,18,3/8/23,North Carolina,N,Boston College,W 85-61,*,32,7,12,0.583,3,6,0.5,4,6,0.667,0,0,,0.75,1,3,4,3,0,0,0,3,18,14.9,9.7,G,JR
101,RJ Davis,24,3/9/23,North Carolina,N,Virginia,L 59-68,*,38,8,14,0.571,4,6,0.667,4,8,0.5,4,5,0.8,0.733,0,4,4,1,1,0,3,3,24,15.7,13.3,G,JR
102,RJ Davis,13,11/6/23,North Carolina,,Radford,W 86-70,*,28,6,14,0.429,5,9,0.556,1,5,0.2,0,0,,0.464,0,3,3,2,1,0,2,1,13,6.5,-3.5,G,SR
103,RJ Davis,22,11/12/23,North Carolina,,Lehigh,W 90-68,*,29,8,14,0.571,5,8,0.625,3,6,0.5,3,3,1,0.713,1,3,4,1,3,0,3,0,22,17.7,14,G,SR
104,RJ Davis,8,11/17/23,North Carolina,,UC Riverside,W 77-52,*,28,3,11,0.273,2,4,0.5,1,7,0.143,1,1,1,0.349,0,3,3,4,0,0,0,1,8,4.8,-2,G,SR
105,RJ Davis,13,11/22/23,North Carolina,N,Northern Iowa,W 91-69,*,31,4,11,0.364,1,4,0.25,3,7,0.429,2,3,0.667,0.523,1,0,1,4,0,0,3,1,13,6.6,0.4,G,SR
106,RJ Davis,23,11/23/23,North Carolina,N,Villanova,L 81-83 (OT),*,41,8,22,0.364,6,14,0.429,2,8,0.25,5,6,0.833,0.463,0,5,5,3,0,0,2,2,23,11.2,4.5,G,SR
107,RJ Davis,30,11/24/23,North Carolina,N,Arkansas,W 87-72,*,35,9,18,0.5,7,13,0.538,2,5,0.4,10,10,1,0.659,0,2,2,2,1,0,1,3,30,21.8,15.6,G,SR
108,RJ Davis,27,11/29/23,North Carolina,,Tennessee,W 100-92,*,38,8,17,0.471,3,6,0.5,5,11,0.455,6,6,1,0.68,0,4,4,2,0,0,0,0,27,20.9,11.5,G,SR
109,RJ Davis,27,12/2/23,North Carolina,,Florida State,W 78-70,*,38,8,17,0.471,5,8,0.625,3,9,0.333,8,8,1,0.649,0,3,3,5,2,0,2,1,27,22.3,16.3,G,SR
110,RJ Davis,26,12/5/23,North Carolina,N,Connecticut,L 76-87,*,38,8,17,0.471,4,9,0.444,4,8,0.5,6,6,1,0.655,0,4,4,1,1,0,1,2,26,18.4,13,G,SR
111,RJ Davis,27,12/16/23,North Carolina,N,Kentucky,L 83-87,*,38,8,18,0.444,5,9,0.556,3,9,0.333,8,9,0.889,0.606,2,5,7,4,0,0,5,3,27,16.7,6.2,G,SR
112,RJ Davis,23,12/20/23,North Carolina,N,Oklahoma,W 81-69,*,35,7,18,0.389,2,9,0.222,5,9,0.556,4,4,1,0.578,1,3,4,5,3,0,0,3,23,20.1,18.4,G,SR
113,RJ Davis,20,12/29/23,North Carolina,,Charleston Southern,W 105-60,*,26,7,13,0.538,4,7,0.571,3,6,0.5,3,3,1,0.693,0,1,1,10,5,0,0,0,20,26,31.3,G,SR
114,RJ Davis,15,1/2/24,North Carolina,@,Pittsburgh,W 70-57,*,37,6,16,0.375,3,10,0.3,3,6,0.5,0,0,,0.469,0,3,3,4,1,0,3,1,15,7.5,6.6,G,SR
115,RJ Davis,14,1/6/24,North Carolina,@,Clemson,W 65-55,*,35,5,13,0.385,3,8,0.375,2,5,0.4,2,2,1,0.502,0,4,4,3,1,0,1,0,14,10.2,10.5,G,SR
116,RJ Davis,16,1/10/24,North Carolina,@,NC State,W 67-54,*,35,6,19,0.316,2,9,0.222,4,10,0.4,0,0,,0.421,0,4,4,1,1,0,2,1,16,5.6,5.7,G,SR
117,RJ Davis,22,1/13/24,North Carolina,,Syracuse,W 103-67,*,27,7,12,0.583,3,6,0.5,4,6,0.667,4,4,1,0.791,1,1,2,2,5,0,1,2,22,22,26.5,G,SR
118,RJ Davis,21,1/17/24,North Carolina,,Louisville,W 86-70,*,36,6,12,0.5,2,5,0.4,4,7,0.571,5,5,1,0.73,1,5,6,6,2,0,1,2,21,21.6,15.5,G,SR
119,RJ Davis,16,1/20/24,North Carolina,@,Boston College,W 76-66,*,35,5,14,0.357,3,7,0.429,2,7,0.286,4,5,0.8,0.489,2,4,6,4,0,0,1,2,16,11.4,7.3,G,SR
120,RJ Davis,36,1/22/24,North Carolina,,Wake Forest,W 85-64,*,37,14,23,0.609,10,15,0.667,4,8,0.5,4,5,0.8,0.709,0,4,4,2,0,0,0,2,36,26.9,21.8,G,SR
121,RJ Davis,24,1/27/24,North Carolina,@,Florida State,W 75-68,*,35,9,18,0.5,7,10,0.7,2,8,0.25,4,5,0.8,0.589,0,3,3,1,1,0,4,3,24,12,6.6,G,SR
122,RJ Davis,28,1/30/24,North Carolina,@,Georgia Tech,L 73-74,*,36,11,24,0.458,8,16,0.5,3,8,0.375,3,4,0.75,0.541,2,3,5,4,1,0,2,2,28,18.5,15.3,G,SR
123,RJ Davis,17,2/3/24,North Carolina,,Duke,W 93-84,*,38,5,14,0.357,3,11,0.273,2,3,0.667,5,6,0.833,0.504,0,2,2,5,1,0,0,1,17,13.5,4.2,G,SR
124,RJ Davis,22,2/6/24,North Carolina,,Clemson,L 76-80,*,38,7,22,0.318,2,10,0.2,5,12,0.417,3,5,0.6,0.451,0,4,4,5,0,1,0,3,22,12.8,10.2,G,SR
125,RJ Davis,25,2/10/24,North Carolina,@,Miami (FL),W 75-72,*,39,6,19,0.316,1,8,0.125,5,11,0.455,8,8,1,0.548,0,7,7,5,2,1,3,2,25,18.6,13.1,G,SR
126,RJ Davis,19,2/13/24,North Carolina,@,Syracuse,L 79-86,*,37,7,17,0.412,3,6,0.5,4,11,0.364,1,1,1,0.544,0,0,0,3,1,0,1,3,19,10.8,3.6,G,SR
127,RJ Davis,20,2/17/24,North Carolina,,Virginia Tech,W 96-81,*,36,6,13,0.462,3,5,0.6,3,8,0.375,5,6,0.833,0.631,1,1,2,5,0,1,2,3,20,14.9,8.9,G,SR
128,RJ Davis,12,2/24/24,North Carolina,@,Virginia,W 54-44,*,37,1,14,0.071,0,6,0,1,8,0.125,9,10,0.9,0.32,1,3,4,1,1,2,3,2,12,3.1,1,G,SR
129,RJ Davis,42,2/26/24,North Carolina,,Miami (FL),W 75-71,*,34,14,22,0.636,7,11,0.636,7,11,0.636,7,9,0.778,0.799,1,5,6,1,4,0,2,2,42,35.5,36.1,G,SR
130,RJ Davis,14,3/2/24,North Carolina,,NC State,W 79-70,*,36,4,11,0.364,2,6,0.333,2,5,0.4,4,5,0.8,0.523,0,7,7,5,0,1,1,1,14,12.4,8.4,G,SR
131,RJ Davis,22,3/5/24,North Carolina,,Notre Dame,W 84-51,*,31,9,15,0.6,5,9,0.556,4,6,0.667,0,1,0,0.711,0,4,4,6,1,1,1,2,22,20,24.2,G,SR
132,RJ Davis,9,3/9/24,North Carolina,@,Duke,W 84-79,*,37,4,12,0.333,3,9,0.333,1,3,0.333,0,0,,0.375,0,2,2,3,0,0,3,2,9,1.1,-4.8,G,SR
133,RJ Davis,18,3/14/24,North Carolina,N,Florida State,W 92-67,*,30,7,15,0.467,5,10,0.5,2,5,0.4,2,2,1,0.564,1,2,3,3,1,0,0,0,18,14.7,11.4,G,SR
134,RJ Davis,25,3/15/24,North Carolina,N,Pittsburgh,W 72-65,*,36,8,18,0.444,5,8,0.625,3,10,0.3,6,8,0.75,0.573,0,3,3,2,0,0,0,3,25,15.9,11.9,G,SR
135,RJ Davis,30,3/16/24,North Carolina,N,NC State,L 76-84,*,36,10,26,0.385,6,13,0.462,4,13,0.308,6,8,0.75,0.503,3,3,6,5,2,0,1,3,30,21.3,17.2,G,SR
136,RJ Davis,22,2024-03-21 NCAA,North Carolina,N,Wagner,W 90-62,*,33,8,13,0.615,4,6,0.667,4,7,0.571,2,2,1,0.789,0,2,2,2,1,0,0,2,22,18.3,15,G,SR
137,RJ Davis,20,2024-03-23 NCAA,North Carolina,N,Michigan State,W 85-69,*,34,7,15,0.467,4,8,0.5,3,7,0.429,3,4,0.75,0.592,0,1,1,1,1,0,3,2,20,10.1,3.2,G,SR
138,RJ Davis,16,2024-03-28 NCAA,North Carolina,N,Alabama,L 87-89,*,38,4,20,0.2,4,11,0.364,0,9,0,8,9,0.889,0.33,0,3,3,7,2,1,1,2,16,9.9,1.4,G,SR
139,RJ Davis,24,11/4/24,North Carolina,,Elon,W 90-76,*,33,7,19,0.368,4,8,0.5,3,11,0.273,7,7,1,0.538,2,5,7,7,2,0,0,1,24,22.9,16.4,G,
140,RJ Davis,16,11/8/24,North Carolina,@,Kansas,L 89-92,*,37,3,15,0.2,2,8,0.25,1,7,0.143,9,11,0.818,0.396,0,1,1,4,0,1,1,0,16,8.7,1.7,G,
141,RJ Davis,13,11/15/24,North Carolina,,American,W 107-55,*,26,5,13,0.385,4,6,0.667,1,7,0.143,2,2,1,0.466,0,3,3,3,1,0,2,1,13,7.5,-3.7,G,
1,Marcus Paige,6,11/9/12,North Carolina,,Gardner-Webb,W 76-59,*,28,3,9,0.333,3,7,0.429,0,2,0,0,0,,0.333,1,2,3,0,2,0,4,0,6,0.2,-6.7,G,FR
2,Marcus Paige,2,11/11/12,North Carolina,,Florida Atlantic,W 80-56,*,25,1,8,0.125,1,4,0.25,0,4,0,0,0,,0.125,0,4,4,6,0,0,3,0,2,-0.8,-9.4,G,FR
3,Marcus Paige,15,11/16/12,North Carolina,@,Long Beach State,W 78-63,*,29,6,10,0.6,3,4,0.75,3,6,0.5,0,0,,0.75,0,2,2,4,2,0,5,2,15,10,5,G,FR
4,Marcus Paige,2,11/19/12,North Carolina,N,Mississippi State,W 95-49,*,19,1,7,0.143,1,4,0.25,0,3,0,0,0,,0.143,0,2,2,3,2,0,3,0,2,-0.8,-12.8,G,FR
5,Marcus Paige,13,11/20/12,North Carolina,N,Butler,L 71-82,*,27,5,10,0.5,3,5,0.6,2,5,0.4,1,1,1,0.621,0,1,1,5,1,0,2,2,13,10,8.9,G,FR
6,Marcus Paige,6,11/21/12,North Carolina,@,Chaminade,W 112-70,*,16,2,4,0.5,0,0,,2,4,0.5,0,0,,0.75,0,1,1,2,1,0,2,2,6,3.9,,G,FR
7,Marcus Paige,11,11/27/12,North Carolina,@,Indiana,L 59-83,*,29,5,11,0.455,4,9,0.444,1,2,0.5,0,0,,0.5,1,2,3,3,1,0,2,3,11,6.5,5.3,G,FR
8,Marcus Paige,3,12/8/12,North Carolina,,East Tennessee State,W 78-55,*,21,1,5,0.2,0,0,,1,5,0.2,0,0,,0.3,0,3,3,7,1,0,2,2,3,3.9,-3.3,G,FR
9,Marcus Paige,6,12/15/12,North Carolina,,East Carolina,W 93-87,*,25,2,6,0.333,1,4,0.25,1,2,0.5,1,2,0.5,0.432,0,2,2,4,1,0,2,2,6,3.8,-2.2,G,FR
10,Marcus Paige,7,12/19/12,North Carolina,@,Texas,L 67-85,*,28,2,8,0.25,1,2,0.5,1,6,0.167,2,2,1,0.391,0,0,0,5,1,0,3,5,7,1.7,-3.4,G,FR
11,Marcus Paige,6,12/22/12,North Carolina,,McNeese State,W 97-63,*,25,2,6,0.333,0,4,0,2,2,1,0,0,,0.5,0,0,0,9,1,0,0,2,6,9.1,8.7,G,FR
12,Marcus Paige,12,12/29/12,North Carolina,,UNLV,W 79-73,*,34,3,9,0.333,3,7,0.429,0,2,0,6,8,0.75,0.469,1,3,4,4,1,0,2,3,12,8.3,0.5,G,FR
13,Marcus Paige,2,1/6/13,North Carolina,@,Virginia,L 52-61,*,28,1,7,0.143,1,4,0.25,0,3,0,0,0,,0.143,0,3,3,2,0,0,2,2,2,-3,-9.5,G,FR
14,Marcus Paige,10,1/10/13,North Carolina,,Miami (FL),L 59-68,*,33,4,7,0.571,2,4,0.5,2,3,0.667,0,0,,0.714,0,5,5,5,0,0,3,4,10,7.1,2.3,G,FR
15,Marcus Paige,8,1/12/13,North Carolina,@,Florida State,W 77-72,*,28,2,9,0.222,0,5,0,2,4,0.5,2,2,1,0.402,0,3,3,4,2,0,5,0,8,3.2,-3.7,G,FR
16,Marcus Paige,2,1/19/13,North Carolina,,Maryland,W 62-52,*,32,1,7,0.143,1,3,0.333,0,4,0,0,0,,0.143,0,3,3,6,1,0,0,0,2,3.6,1,G,FR
17,Marcus Paige,3,1/23/13,North Carolina,,Georgia Tech,W 79-63,*,27,1,6,0.167,0,4,0,1,2,0.5,0,0,,0.25,0,4,4,6,1,0,3,0,3,2.6,-3.1,G,FR
18,Marcus Paige,7,1/26/13,North Carolina,@,NC State,L 83-91,*,29,2,11,0.182,1,6,0.167,1,5,0.2,2,2,1,0.293,0,2,2,4,0,1,3,2,7,0.4,-7.9,G,FR
19,Marcus Paige,8,1/29/13,North Carolina,@,Boston College,W 82-70,*,32,2,6,0.333,1,3,0.333,1,3,0.333,3,3,1,0.539,1,3,4,6,0,0,1,1,8,9,5.5,G,FR
20,Marcus Paige,19,2/2/13,North Carolina,,Virginia Tech,W 72-60 (OT),*,39,6,14,0.429,2,4,0.5,4,10,0.4,3,4,0.75,0.597,1,4,5,5,1,0,2,3,19,14.4,11.6,G,FR
21,Marcus Paige,7,2/5/13,North Carolina,,Wake Forest,W 87-62,*,25,3,6,0.5,2,3,0.667,1,3,0.333,0,1,0,0.541,0,6,6,4,0,0,4,0,7,4.2,-0.9,G,FR
22,Marcus Paige,2,2/9/13,North Carolina,@,Miami (FL),L 61-87,*,31,1,9,0.111,1,4,0.25,0,5,0,0,0,,0.111,0,3,3,4,2,0,0,2,2,1,-3.7,G,FR
23,Marcus Paige,4,2/13/13,North Carolina,@,Duke,L 68-73,*,30,2,9,0.222,2,8,0.25,0,1,0,0,0,,0.222,2,3,5,1,2,1,1,3,4,2,1.3,G,FR
24,Marcus Paige,17,2/16/13,North Carolina,,Virginia,W 93-81,*,30,4,9,0.444,1,4,0.25,3,5,0.6,6,6,1,0.717,1,3,4,3,2,0,2,0,17,16,10.4,G,FR
25,Marcus Paige,8,2/19/13,North Carolina,@,Georgia Tech,W 70-58,*,30,0,4,0,0,1,0,0,3,0,8,8,1,0.513,0,1,1,5,4,0,2,0,8,11,8.6,G,FR
26,Marcus Paige,14,2/23/13,North Carolina,,NC State,W 76-65,*,31,4,10,0.4,2,6,0.333,2,4,0.5,4,5,0.8,0.566,0,3,3,8,3,0,0,1,14,17.3,18.6,G,FR
