Rk,Player,PTS,Date▲,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Class
125,Marcus Paige,12,2/9/16,North Carolina,@,Boston College,W 68-65,*,31,3,8,0.375,0,2,0,3,6,0.5,3,5,0.6,0.578,0,1,1,1,0,1,2,3,12,5.3,1.5,G,SR
126,Marcus Paige,15,2/14/16,North Carolina,,Pittsburgh,W 85-64,*,33,5,8,0.625,2,2,1,3,6,0.5,2,2,1,0.838,0,0,0,3,2,0,1,0,15,14.5,11.6,G,SR
127,Marcus Paige,7,2/17/16,North Carolina,,Duke,L 73-74,*,35,2,10,0.2,2,4,0.5,0,6,0,3,4,0.75,0.294,0,0,0,3,0,3,3,1,7,1.2,-1.7,G,SR
128,Marcus Paige,7,2/20/16,North Carolina,,Miami (FL),W 96-71,*,30,2,8,0.25,1,3,0.333,1,5,0.2,2,2,1,0.391,0,2,2,2,0,1,1,0,7,3.9,0,G,SR
129,Marcus Paige,10,2/24/16,North Carolina,@,NC State,W 80-68,*,33,4,9,0.444,2,4,0.5,2,5,0.4,0,0,,0.556,0,1,1,2,2,0,2,1,10,6.6,5.4,G,SR
130,Marcus Paige,13,2/27/16,North Carolina,@,Virginia,L 74-79,*,35,4,13,0.308,1,6,0.167,3,7,0.429,2,2,1,0.466,1,4,5,4,1,0,1,3,13,9,5.1,G,SR
131,Marcus Paige,6,2/29/16,North Carolina,,Syracuse,W 75-70,*,37,2,10,0.2,1,3,0.333,1,7,0.143,1,1,1,0.286,0,2,2,8,0,1,1,3,6,4.5,3.6,G,SR
132,Marcus Paige,11,3/5/16,North Carolina,@,Duke,W 76-72,*,33,3,10,0.3,2,2,1,1,8,0.125,4,4,1,0.462,0,6,6,3,1,1,2,1,11,8.4,8.5,G,SR
133,Marcus Paige,8,3/10/16,North Carolina,N,Pittsburgh,W 88-71,*,34,3,7,0.429,1,2,0.5,2,5,0.4,0,0,,0.571,0,2,2,3,0,1,3,0,8,4.7,1.7,G,SR
134,Marcus Paige,16,3/11/16,North Carolina,N,Notre Dame,W 78-47,*,32,5,9,0.556,1,2,0.5,4,7,0.571,2,2,1,0.804,0,3,3,7,2,0,0,1,16,19.1,26.8,G,SR
135,Marcus Paige,13,3/12/16,North Carolina,N,Virginia,W 61-57,*,34,5,13,0.385,5,6,0.833,0,7,0,3,5,0.6,0.423,0,2,2,2,2,0,1,0,13,8.1,3.9,G,SR
136,Marcus Paige,10,2016-03-17 NCAA,North Carolina,N,Florida Gulf Coast,W 83-67,*,32,3,11,0.273,0,4,0,3,7,0.429,1,2,0.5,0.418,0,4,4,5,1,0,1,0,10,7.8,4,G,SR
137,Marcus Paige,12,2016-03-19 NCAA,North Carolina,N,Providence,W 85-66,*,29,4,10,0.4,2,5,0.4,2,5,0.4,2,2,1,0.548,1,2,3,1,2,0,2,2,12,7.8,8.1,G,SR
138,Marcus Paige,21,2016-03-25 NCAA,North Carolina,N,Indiana,W 101-86,*,27,7,12,0.583,1,3,0.333,6,9,0.667,1,2,0.5,0.811,0,1,1,6,0,0,0,3,21,18.3,20.7,G,SR
139,Marcus Paige,13,2016-03-27 NCAA,North Carolina,N,Notre Dame,W 88-74,*,34,3,8,0.375,1,2,0.5,2,6,0.333,5,5,1,0.627,0,2,2,2,1,0,1,1,13,10.2,5.1,G,SR
140,Marcus Paige,13,2016-04-02 NCAA,North Carolina,N,Syracuse,W 83-66,*,34,5,11,0.455,2,4,0.5,3,7,0.429,0,0,,0.591,0,2,2,3,1,1,3,0,13,8.7,7.9,G,SR
141,Marcus Paige,21,2016-04-04 NCAA,North Carolina,N,Villanova,L 74-77,*,34,7,17,0.412,3,10,0.3,4,7,0.571,3,4,0.75,0.556,2,3,5,6,1,0,1,3,21,16.8,17.4,G,SR
