"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"23","Boston UniversityNortheastern11-3",2025-11-03,"nc","Boston University","Northeastern","Pat","CAA","A","W","76-75",0.174398967643473,0.388514282615746,0.789142831518436,0.854871054916742,0.145128945083258,36.7,"played",NA,NA,NA,248,"Q4"
"24","Boston UniversityNortheastern11-3",2025-11-03,"nc","Northeastern","Boston University","CAA","Pat","H","L","75-76",0.388514282615746,0.174398967643473,0.87694452176131,0.971211674153622,-0.971211674153622,18.8,"played",NA,NA,NA,292,"Q4"
"25","BradleySt. Bonaventure11-3",2025-11-03,"nc","Bradley","St. Bonaventure","MVC","A10","N","L","63-69",0.550584440680856,0.46239681983773,0.837778001870703,0.857231633020149,-0.857231633020149,21.1,"played",NA,NA,NA,158,"Q3"
"26","BradleySt. Bonaventure11-3",2025-11-03,"nc","St. Bonaventure","Bradley","A10","MVC","N","W","69-63",0.46239681983773,0.550584440680856,0.837778001870703,0.808261788724703,0.191738211275297,79.8,"played",NA,NA,NA,126,"Q3"
"27","BryantSiena11-3",2025-11-03,"nc","Bryant","Siena","AE","MAAC","A","L","66-82",0.0699887969361933,0.549663368791621,0.789142831518436,0.75407323317206,-0.75407323317206,8.6,"played",NA,NA,NA,172,"Q3"
"28","BryantSiena11-3",2025-11-03,"nc","Siena","Bryant","MAAC","AE","H","W","82-66",0.549663368791621,0.0699887969361933,0.87694452176131,0.989550223006967,0.0104497769930332,49.3,"played",NA,NA,NA,345,"Q4"
"29","BYUVillanova11-3",2025-11-03,"nc","BYU","Villanova","B12","BE","N","W","71-66",0.923089389197606,0.885103101216464,0.837778001870703,0.40134079966504,0.59865920033496,96.3,"played",NA,NA,NA,33,"Q1"
"30","BYUVillanova11-3",2025-11-03,"nc","Villanova","BYU","BE","B12","N","L","66-71",0.885103101216464,0.923089389197606,0.837778001870703,0.300841308355734,-0.300841308355734,78.2,"played",NA,NA,NA,12,"Q1"
"31","Cal PolyUSC11-3",2025-11-03,"nc","Cal Poly","USC","BW","B10","A","L","64-94",0.224949637089134,0.849986641911142,0.789142831518436,0.397778515715165,-0.397778515715165,18.3,"played",NA,NA,NA,56,"Q1"
"32","Cal PolyUSC11-3",2025-11-03,"nc","USC","Cal Poly","B10","BW","H","W","94-64",0.849986641911142,0.224949637089134,0.87694452176131,0.960866624115781,0.0391333758842192,88,"played",NA,NA,NA,258,"Q4"
"33","Cal St. BakersfieldCalifornia11-3",2025-11-03,"nc","Cal St. Bakersfield","California","BW","ACC","A","L","60-87",0.158033683335283,0.829287248229245,0.789142831518436,0.435162658542679,-0.435162658542679,12.1,"played",NA,NA,NA,60,"Q1"
"34","Cal St. BakersfieldCalifornia11-3",2025-11-03,"nc","California","Cal St. Bakersfield","ACC","BW","H","W","87-60",0.829287248229245,0.158033683335283,0.87694452176131,0.974337831999651,0.0256621680003494,86.9,"played",NA,NA,NA,302,"Q4"
"35","CampbellWisconsin11-3",2025-11-03,"nc","Campbell","Wisconsin","CAA","B10","A","L","64-96",0.328144124718356,0.912547368005041,0.789142831518436,0.263981478359848,-0.263981478359848,35.8,"played",NA,NA,NA,37,"Q1"
