"","conf","home_win_pct","home_rec","avg_margin","games_remaining","away_wins","home_wins"
"1","B10",52.7,"39-35",12.5,106,"+0.95 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/275.png' style='height: 15px; width: auto; vertical-align: -15;'>  91-88 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/130.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.90 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/158.png' style='height: 15px; width: auto; vertical-align: -15;'>  83-80 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/356.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.84 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/356.png' style='height: 15px; width: auto; vertical-align: -15;'>  75-69 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png' style='height: 12px; width: auto; vertical-align: -15;'> ","+0.70 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/26.png' style='height: 15px; width: auto; vertical-align: -15;'>  69-67 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.66 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/158.png' style='height: 15px; width: auto; vertical-align: -15;'>  58-56 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/127.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.59 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/127.png' style='height: 15px; width: auto; vertical-align: -15;'>  71-52 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png' style='height: 12px; width: auto; vertical-align: -15;'> "
"2","ACC",50.9,"28-27",10.5,107,"+0.87 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 15px; width: auto; vertical-align: -15;'>  84-73 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/97.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.87 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/258.png' style='height: 15px; width: auto; vertical-align: -15;'>  79-70 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/97.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.80 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/152.png' style='height: 15px; width: auto; vertical-align: -15;'>  80-76 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/228.png' style='height: 12px; width: auto; vertical-align: -15;'> ","+0.69 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/259.png' style='height: 15px; width: auto; vertical-align: -15;'>  95-85 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/258.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.64 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/24.png' style='height: 15px; width: auto; vertical-align: -15;'>  80-76 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/97.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.45 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/228.png' style='height: 15px; width: auto; vertical-align: -15;'>  74-70 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png' style='height: 12px; width: auto; vertical-align: -15;'> "
"3","MWC",58.3,"28-20",15.1,72,"+0.73 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png' style='height: 15px; width: auto; vertical-align: -15;'>  86-76 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/328.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.59 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/36.png' style='height: 15px; width: auto; vertical-align: -15;'>  70-60 <img src='https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.59 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/21.png' style='height: 15px; width: auto; vertical-align: -15;'>  73-68 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png' style='height: 12px; width: auto; vertical-align: -15;'> ","+0.43 <img src='https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png' style='height: 15px; width: auto; vertical-align: -15;'>  84-74 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/328.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.37 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/68.png' style='height: 15px; width: auto; vertical-align: -15;'>  62-53 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/167.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.37 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/21.png' style='height: 15px; width: auto; vertical-align: -15;'>  83-79 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/167.png' style='height: 12px; width: auto; vertical-align: -15;'> "
"4","SEC",59.6,"28-19",10.2,97,"+0.87 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/57.png' style='height: 15px; width: auto; vertical-align: -15;'>  98-94 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/238.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.85 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/251.png' style='height: 15px; width: auto; vertical-align: -15;'>  92-88 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/333.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.84 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/96.png' style='height: 15px; width: auto; vertical-align: -15;'>  80-78 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png' style='height: 12px; width: auto; vertical-align: -15;'> ","+0.69 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/142.png' style='height: 15px; width: auto; vertical-align: -15;'>  76-74 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/57.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.64 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/251.png' style='height: 15px; width: auto; vertical-align: -15;'>  80-64 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/238.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.64 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/8.png' style='height: 15px; width: auto; vertical-align: -15;'>  93-68 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/238.png' style='height: 12px; width: auto; vertical-align: -15;'> "
"5","BE",52.2,"24-22",9.7,64,"+0.81 <img src='https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png' style='height: 15px; width: auto; vertical-align: -15;'>  77-71 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2599.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.74 <img src='https://a.espncdn.com/i/teamlogos/ncaa/500/156.png' style='height: 15px; width: auto; vertical-align: -15;'>  76-72 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/222.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.74 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2599.png' style='height: 15px; width: auto; vertical-align: -15;'>  86-79 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/222.png' style='height: 12px; width: auto; vertical-align: -15;'> ","+0.34 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2599.png' style='height: 15px; width: auto; vertical-align: -15;'>  65-60 <img src='https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.31 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/41.png' style='height: 15px; width: auto; vertical-align: -15;'>  79-60 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.31 <img src='https://a.espncdn.com/i/teamlogos/ncaa/500/156.png' style='height: 15px; width: auto; vertical-align: -15;'>  89-85 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png' style='height: 12px; width: auto; vertical-align: -15;'> "
"6","B12",68.1,"32-15",12,97,"+0.65 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/248.png' style='height: 15px; width: auto; vertical-align: -15;'>  67-60 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.63 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/12.png' style='height: 15px; width: auto; vertical-align: -15;'>  84-77 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.63 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/12.png' style='height: 15px; width: auto; vertical-align: -15;'>  86-73 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png' style='height: 12px; width: auto; vertical-align: -15;'> ","+0.66 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png' style='height: 15px; width: auto; vertical-align: -15;'>  84-63 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/66.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.66 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png' style='height: 15px; width: auto; vertical-align: -15;'>  79-70 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/66.png' style='height: 12px; width: auto; vertical-align: -15;'> <br>+0.63 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png' style='height: 15px; width: auto; vertical-align: -15;'>  81-75 <img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png' style='height: 12px; width: auto; vertical-align: -15;'> "
