team,SP+,Off. SP+,Def. SP+,ST SP+
84. Arkansas St. (6-7),-6.3,25.8 (70),32.8 (106),0.7 (49)
85. USF (7-6),-6.6,28.4 (55),34.5 (117),-0.4 (81)
86. N. Texas (5-7),-6.7,32.9 (27),41.3 (133),1.7 (13)
87. Cincinnati (3-9),-6.8,21.3 (96),28.3 (83),0.2 (65)
88. Michigan St. (4-8),-6.8,15.7 (122),24.0 (44),1.6 (16)
89. Georgia St. (7-6),-6.8,28.2 (59),33.3 (109),-1.7 (116)
90. Purdue (4-8),-7.3,21.8 (91),27.1 (70),-2.0 (127)
91. Pittsburgh (3-9),-7.3,19.3 (108),26.0 (59),-0.6 (87)
92. Indiana (3-9),-7.4,19.6 (105),27.2 (73),0.3 (63)
93. NIU (7-6),-7.5,18.3 (115),24.2 (46),-1.7 (115)
94. BGSU (7-6),-7.8,21.5 (94),27.4 (76),-1.8 (121)
95. Houston (4-8),-7.8,25.6 (71),32.2 (102),-1.2 (101)
96. Wake Forest (4-8),-7.9,20.2 (102),26.9 (68),-1.2 (102)
97. Baylor (3-9),-8.3,24.5 (78),32.6 (103),-0.2 (79)
98. Colorado St. (5-7),-8.9,21.9 (90),32.0 (100),1.2 (32)
99. Marshall (6-7),-9,24.4 (79),31.5 (98),-1.8 (119)
100. FAU (4-8),-9.4,19.8 (104),27.9 (80),-1.2 (103)
101. MTSU (4-8),-9.5,21.5 (93),30.0 (90),-1.0 (92)
102. ODU (6-7),-10.1,23.1 (84),31.3 (97),-1.9 (125)
103. Rice (6-7),-10.2,26.0 (69),34.4 (114),-1.8 (118)
104. San Diego St. (4-8),-10.3,19.4 (107),30.2 (93),0.5 (56)
105. Virginia (3-9),-10.8,21.0 (98),31.7 (99),-0.1 (70)
106. Utah St. (6-7),-10.9,28.6 (54),38.6 (131),-0.9 (91)
107. Arizona St. (3-9),-11.3,20.2 (101),29.9 (89),-1.6 (111)
108. Stanford (3-9),-11.9,21.4 (95),34.5 (116),1.1 (36)
109. EMU (6-7),-12.3,13.0 (130),26.8 (67),1.5 (21)
110. Vanderbilt (2-10),-12.7,23.6 (80),36.3 (124),-0.1 (71)
111. ECU (2-10),-12.8,15.4 (124),28.1 (81),-0.1 (75)
112. La. Tech (3-9),-12.9,22.1 (89),36.0 (122),1.0 (41)
113. Navy (5-7),-13.7,15.0 (126),27.2 (71),-1.5 (107)
114. Tulsa (4-8),-13.7,20.9 (99),34.7 (118),0.1 (67)
115. SHSU (3-9),-13.8,16.0 (120),28.8 (85),-1.1 (96)
116. So. Miss (3-9),-14.4,23.5 (82),36.4 (125),-1.5 (106)
117. UAB (4-8),-14.7,26.9 (64),39.6 (132),-2.1 (133)
118. Ball St. (4-8),-14.9,12.6 (131),26.3 (65),-1.1 (97)
119. Buffalo (3-9),-15.2,15.3 (125),29.5 (87),-1.0 (93)
120. UConn (3-9),-15.6,17.0 (117),31.0 (96),-1.6 (110)
121. WMU (4-8),-15.9,19.1 (109),33.2 (108),-1.9 (124)
122. UTEP (3-9),-16.2,16.9 (118),32.0 (101),-1.2 (100)
123. Hawaii (5-8),-16.4,19.4 (106),35.7 (121),-0.1 (74)
124. New Mexico (4-8),-16.5,22.5 (85),37.2 (128),-1.8 (120)
125. UMass (3-9),-17.5,20.8 (100),36.2 (123),-2.1 (132)
126. CMU (5-7),-19.1,16.8 (119),34.0 (112),-1.9 (126)
127. Temple (3-9),-21,18.6 (110),37.8 (130),-1.9 (122)
128. FIU (4-8),-21.2,16.0 (121),35.6 (120),-1.6 (109)
129. Charlotte (3-9),-21.4,14.8 (127),34.4 (115),-1.8 (117)
130. Akron (2-10),-21.6,10.5 (132),30.1 (92),-2.0 (130)
131. ULM (2-10),-21.6,17.6 (116),37.5 (129),-1.7 (114)
132. Nevada (2-10),-22,14.6 (128),37.0 (127),0.4 (58)
133. Kent St. (1-11),-26.3,8.2 (133),34.8 (119),0.3 (61)
