"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"289",2025,3,3,"Abdul Carter","Giants","DE","Penn State","Penn State","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png"
"290",2025,4,4,"Will Campbell","Patriots","T","Louisiana State","LSU","http://a.espncdn.com/i/teamlogos/ncaa/500/99.png"
"291",2025,5,5,"Mason Graham","Browns","DT","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"292",2025,6,6,"Ashton Jeanty","Raiders","RB","Boise State","Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"293",2025,7,7,"Armand Membou","Jets","T","Missouri","Missouri","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png"
"294",2025,8,8,"Tetairoa McMillan","Panthers","WR","Arizona","Arizona","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png"
"295",2025,9,9,"Kelvin Banks","Saints","T","Texas","Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"
"296",2025,10,10,"Colston Loveland","Bears","TE","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"297",2025,11,11,"Mykel Williams","49ers","DE","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"298",2025,12,12,"Tyler Booker","Cowboys","G","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"299",2025,13,13,"Kenneth Grant","Dolphins","DT","Michigan","Michigan","http://a.espncdn.com/i/teamlogos/ncaa/500/130.png"
"300",2025,14,14,"Tyler Warren","Colts","TE","Penn State","Penn State","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png"
"301",2025,15,15,"Jalon Walker","Falcons","LB","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"302",2025,16,16,"Walter Nolen","Cardinals","DT","Mississippi","Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"303",2025,17,17,"Shemar Stewart","Bengals","DE","Texas A&M","Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png"
"304",2025,18,18,"Grey Zabel","Seahawks","G","North Dakota State","North Dakota State","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2449.png"
"305",2025,19,19,"Emeka Egbuka","Buccaneers","WR","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"306",2025,20,20,"Jahdae Barron","Broncos","DB","Texas","Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"
"307",2025,21,21,"Derrick Harmon","Steelers","DT","Oregon","Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"
"308",2025,22,22,"Omarion Hampton","Chargers","RB","North Carolina","North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png"
"309",2025,23,23,"Matthew Golden","Packers","WR","Texas","Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"
"310",2025,24,24,"Donovan Jackson","Vikings","G","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"311",2025,25,25,"Jaxson Dart","Giants","QB","Mississippi","Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"
"312",2025,26,26,"James Pearce","Falcons","DE","Tennessee","Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png"
"313",2025,27,27,"Malaki Starks","Ravens","DB","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"314",2025,28,28,"Tyleik Williams","Lions","DT","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"315",2025,29,29,"Josh Conerly","Commanders","T","Oregon","Oregon","http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"
"316",2025,30,30,"Maxwell Hairston","Bills","DB","Kentucky","Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png"
"317",2025,31,31,"Jihaad Campbell","Eagles","LB","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"318",2025,32,32,"Josh Simmons","Chiefs","T","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
