all,game_num,date,opp,score_sen,opp_tpm,opp_tpa,opp_tp_pct,opp_twom,opp_twoa,opp_efg,pps
2-3 overall,1,12/30/25,Florida St.,"W, 79-66",12,40,0.3,11,26,0.4394,0.8788
2-3 overall,2,1/3/26,SMU,"L, 83-97",14,27,0.518518519,22,33,0.7167,1.4334
2-3 overall,3,1/10/26,Wake Forest,"W, 87-84",14,35,0.4,17,29,0.5938,1.1876
2-3 overall,4,1/14/26,Stanford,"L, 90-95",16,28,0.571428571,16,28,0.7143,1.4286
2-3 overall,5,1/17/26,California,"L, 78-84",14,26,0.538461538,15,32,0.6207,1.2414
Totals,-,-,North Carolina,2-3 (417-426),70,156,0.448717949,81,148,0.6117,1.2234
