Rk,Coach,Yrs,From▼,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
434,Andy Salata,1,1930,1930,9,1,7,1,.125,-6,0,0,0,0,,11.0,11,0,0,0
435,Alfred McGall,1,1930,1930,3,0,3,0,.000,-3,0,0,0,0,,11.0,11,0,0,0
436,Bull Behman,3,1929,1931,40,13,20,7,.394,-7,0,0,0,0,,7.0,3,0,0,0
437,Jack Depler,3,1929,1931,38,12,21,5,.364,-9,0,0,0,0,,7.0,4,0,0,0
438,Doug Wycoff,2,1929,1930,22,8,9,5,.471,-1,0,0,0,0,,6.0,6,0,0,0
439,Herb Joesting,1,1929,1929,10,1,9,0,.100,-8,0,0,0,0,,11.0,11,0,0,0
440,Al Jolley,2,1929,1933,12,1,10,1,.091,-9,0,0,0,0,,7.0,4,0,0,0
441,Fred Gillies,1,1928,1928,6,1,5,0,.167,-4,0,0,0,0,,9.0,9,0,0,0
442,Fay Abbott,2,1928,1929,13,0,13,0,.000,-13,0,0,0,0,,11.0,10,0,0,0
443,Ed Weir,2,1927,1928,26,15,7,4,.682,8,0,0,0,0,,4.5,2,0,0,0
444,Ernie Nevers+,4,1927,1939,41,12,27,2,.308,-15,0,0,0,0,,6.8,4,0,0,0
445,Ralph Scott,1,1927,1927,16,7,8,1,.467,-1,0,0,0,0,,6.0,6,0,0,0
446,Russ Daugherty,1,1927,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
447,Charley Rogers,1,1927,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
448,Swede Youngstrom,1,1927,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
449,Charley Moran,1,1927,1927,8,2,5,1,.286,-3,0,0,0,0,,7.0,7,0,0,0
450,Lou Mahrt,1,1927,1927,8,1,6,1,.143,-5,0,0,0,0,,10.0,10,0,0,0
451,Dim Batterson,1,1927,1927,5,0,5,0,.000,-5,0,0,0,0,,12.0,12,0,0,0
452,Tut Imlay,1,1926,1926,10,6,3,1,.667,3,0,0,0,0,,6.0,6,0,0,0
453,Brick Muller,1,1926,1926,10,6,3,1,.667,3,0,0,0,0,,6.0,6,0,0,0
454,Jim Laird,1,1926,1926,13,5,7,1,.417,-2,0,0,0,0,,11.0,11,0,0,0
455,Pete Henry+,2,1926,1928,23,3,17,3,.150,-14,0,0,0,0,,14.0,8,0,0,0
456,Jack Keogh,1,1926,1926,10,3,7,0,.300,-4,0,0,0,0,,13.0,13,0,0,0
457,Shorty Barr,1,1926,1926,3,1,2,0,.333,-1,0,0,0,0,,16.0,16,0,0,0
458,Jack Heldt,1,1926,1926,7,1,6,0,.143,-5,0,0,0,0,,19.0,19,0,0,0
459,Frank Nied,1,1926,1926,6,1,3,2,.250,-2,0,0,0,0,,16.0,16,0,0,0
460,Wally McIlwain,1,1926,1926,2,0,2,0,.000,-2,0,0,0,0,,16.0,16,0,0,0
461,Al Nesser,1,1926,1926,2,0,1,1,.000,-1,0,0,0,0,,16.0,16,0,0,0
462,Lenny Sachs,1,1926,1926,4,0,4,0,.000,-4,0,0,0,0,,21.0,21,0,0,0
463,Dick Rauch,5,1925,1929,60,33,24,3,.579,9,0,0,0,0,,4.8,2,0,0,0
464,Norm Barry,2,1925,1926,26,16,8,2,.667,8,0,0,0,0,,5.5,1,1,0,0
465,Bob Folwell,1,1925,1925,12,8,4,0,.667,4,0,0,0,0,,4.0,4,,,
466,Archie Golembeski,1,1925,1925,12,6,5,1,.545,1,0,0,0,0,,10.0,10,0,0,0
467,Harry Robb,2,1925,1926,18,5,13,0,.278,-8,0,0,0,0,,15.5,11,0,0,0
468,Scotty Bierce,1,1925,1925,8,4,2,2,.667,2,0,0,0,0,,4.0,4,0,0,0
469,Johnny Bryan,2,1925,1926,15,2,13,0,.133,-11,0,0,0,0,,15.5,15,0,0,0
470,Walt Koppisch,1,1925,1925,9,1,6,2,.143,-5,0,0,0,0,,15.0,15,0,0,0
471,Doc Young,2,1925,1926,8,1,7,0,.125,-6,0,0,0,0,,17.5,14,0,0,0
472,Tex Grigg,1,1925,1925,7,0,6,1,.000,-6,0,0,0,0,,16.0,16,0,0,0
473,Roy Andrews,8,1924,1931,82,51,27,4,.654,24,0,0,0,0,,5.9,2,0,0,0
474,Dewey Scanlon,4,1924,1929,36,17,15,4,.531,2,0,0,0,0,,8.0,4,0,0,0
475,Earl Potteiger,3,1924,1928,31,15,12,4,.556,3,0,0,0,0,,7.7,1,1,0,0
476,Punk Berryman,2,1924,1926,25,14,10,1,.583,4,0,0,0,0,,8.5,3,0,0,0
477,John Armstrong,1,1924,1924,9,5,2,2,.714,3,0,0,0,0,,5.0,5,0,0,0
478,Hal Erickson,1,1924,1924,13,5,8,0,.385,-3,0,0,0,0,,12.0,12,0,0,0
479,Red Weaver,2,1924,1925,17,4,13,0,.235,-9,0,0,0,0,,13.0,10,0,0,0
480,Joe Brandy,1,1924,1924,6,0,6,0,.000,-6,0,0,0,0,,16.0,16,0,0,0
481,Bo Hanley,1,1924,1924,5,0,4,1,.000,-4,0,0,0,0,,16.0,16,0,0,0
482,Johnny Murphy,1,1924,1924,4,0,4,0,.000,-4,0,0,0,0,,16.0,16,0,0,0
483,Arnie Horween,2,1923,1924,22,13,8,1,.619,5,0,0,0,0,,7.0,6,0,0,0
484,Jim Kendrick,2,1923,1926,13,4,7,2,.364,-3,0,0,0,0,,14.0,9,0,0,0
485,Joey Sternaman,1,1923,1923,7,4,3,0,.571,1,0,0,0,0,,7.0,7,0,0,0
486,Wayne Brenkert,2,1923,1924,10,3,7,0,.300,-4,0,0,0,0,,14.5,13,0,0,0
487,Pete Stinchcomb,1,1923,1923,7,3,3,1,.500,0,0,0,0,0,,8.0,8,0,0,0
488,Harry Mehre,1,1923,1923,9,2,5,2,.286,-3,0,0,0,0,,13.0,13,0,0,0
489,Herb Sies,1,1923,1923,8,2,3,3,.400,-1,0,0,0,0,,12.0,12,0,0,0
490,Gus Tebell,1,1923,1923,3,2,1,0,.667,1,0,0,0,0,,8.0,8,0,0,0
491,Ollie Kraehe,1,1923,1923,7,1,4,2,.200,-3,0,0,0,0,,14.0,14,0,0,0
492,Dutch Hendrian,1,1923,1923,5,0,5,0,.000,-5,0,0,0,0,,16.0,16,0,0,0
493,Leo Lyons,2,1923,1924,7,0,7,0,.000,-7,0,0,0,0,,17.5,16,0,0,0
494,Guy Chamberlin+,6,1922,1927,81,58,16,7,.784,42,0,0,0,0,,3.2,1,4,0,0
495,Babe Ruetz,3,1922,1924,31,14,11,6,.560,3,0,0,0,0,,7.7,6,0,0,0
496,Doc Alexander,2,1922,1926,18,8,8,2,.500,0,0,0,0,0,,10.5,6,0,0,0
497,Carl Storck,5,1922,1926,38,8,26,4,.235,-18,0,0,0,0,,13.6,7,0,0,0
498,Untz Brewer,1,1922,1922,10,3,5,2,.375,-2,0,0,0,0,,10.0,10,0,0,0
499,Wally Hess,3,1922,1924,18,3,12,3,.200,-9,0,0,0,0,,13.3,10,0,0,0
500,Budge Garrett,1,1922,1922,6,2,1,3,.667,1,0,0,0,0,,11.0,11,0,0,0
501,Russell Tollefson,1,1922,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
502,Hubert Wiggs,1,1922,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
503,Herb Dell,1,1922,1922,8,0,8,0,.000,-8,0,0,0,0,,15.0,15,0,0,0
504,Curly Lambeau+,33,1921,1953,380,226,132,22,.631,94,5,5,3,2,.600,3.2,1,6,0,0
505,Jimmy Conzelman+,15,1921,1948,167,87,63,17,.580,24,2,2,1,1,.500,4.7,1,2,0,0
506,Cap Edwards,3,1921,1925,31,13,11,7,.542,2,0,0,0,0,,7.0,4,0,0,0
507,Fritz Pollard+,2,1921,1925,13,8,4,1,.667,4,0,0,0,0,,8.5,3,0,0,0
508,Frank Fausch,2,1921,1922,8,3,5,0,.375,-2,0,0,0,0,,10.5,6,0,0,0
509,Mel Doherty,1,1921,1921,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
510,Jack Hegarty,1,1921,1921,3,1,2,0,.333,-1,0,0,0,0,,12.0,12,0,0,0
511,Max Hicks,1,1921,1921,5,1,3,1,.250,-2,0,0,0,0,,13.0,13,0,0,0
512,Charlie Brickley,1,1921,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
513,Coonie Checkaye,1,1921,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
514,Frank Coughlin,1,1921,1921,2,0,1,1,.000,-1,0,0,0,0,,5.0,5,0,0,0
515,Austin Higgins,1,1921,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
516,Tam Rose,1,1921,1921,1,0,1,0,.000,-1,0,0,0,0,,18.0,18,0,0,0
517,George Halas+,40,1920,1967,497,318,148,31,.682,170,8,9,6,3,.667,2.7,1,6,0,0
518,Tommy Hughitt,5,1920,1924,56,34,15,7,.694,19,0,0,0,0,,6.2,2,0,0,0
519,Paddy Driscoll+,5,1920,1957,53,31,17,5,.646,14,1,1,0,1,.000,4.2,1,0,0,0
520,Elgie Tobin,2,1920,1921,23,16,3,4,.842,13,0,0,0,0,,2.0,1,1,0,0
521,Jim Thorpe+,4,1920,1923,41,14,25,2,.359,-11,0,0,0,0,,12.0,8,0,0,0
522,Rube Ursella,3,1920,1925,24,12,8,5,.600,4,0,0,0,0,,8.3,4,0,0,0
523,Guil Falcon,3,1920,1923,25,10,10,5,.500,0,0,0,0,0,,8.3,4,0,0,0
524,Nelson Talbot,2,1920,1921,18,9,6,3,.600,3,0,0,0,0,,7.0,6,0,0,0
525,Jack Forsyth,2,1920,1921,16,8,6,2,.571,2,0,0,0,0,,8.5,7,0,0,0
526,Billy Marshall,2,1920,1921,15,3,8,4,.273,-5,0,0,0,0,,12.5,9,0,0,0
527,Ted Nesser,2,1920,1921,19,3,14,2,.176,-11,0,0,0,0,,15.0,13,0,0,0
528,Hank Gillo,1,1920,1920,7,2,5,0,.286,-3,0,0,0,0,,11.0,11,0,0,0
529,Al Pierotti,1,1920,1920,5,2,2,1,.500,0,0,0,0,0,,10.0,10,0,0,0
530,Stan Cofall,1,1920,1920,3,0,2,1,.000,-2,0,0,0,0,,10.0,10,0,0,0
531,Ken Huffine,1,1920,1920,1,0,1,0,.000,-1,0,0,0,0,,14.0,14,0,0,0
