Rk,Coach,Yrs,From▼,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
231,Red Miller,4,1977,1980,62,40,22,0,.645,18,3,5,2,3,.400,2.0,1,0,0,1
232,Walt Michaels,6,1977,1982,87,39,47,1,.454,-8,2,4,2,2,.500,3.3,2,0,0,0
233,Ken Meyer,1,1977,1977,14,5,9,0,.357,-4,0,0,0,0,,3.0,3,0,0,0
234,Tom Bettis,1,1977,1977,7,1,6,0,.143,-5,0,0,0,0,,5.0,5,0,0,0
235,Dick Modzelewski,1,1977,1977,1,0,1,0,.000,-1,0,0,0,0,,4.0,4,,,
236,Dick Vermeil+,15,1976,2005,229,120,109,0,.524,11,6,11,6,5,.545,3.0,1,1,1,2
237,Monte Clark,8,1976,1984,119,51,67,1,.433,-16,2,2,0,2,.000,2.9,1,0,0,0
238,John McKay,9,1976,1984,133,44,88,1,.335,-44,3,4,1,3,.250,3.6,1,0,0,0
239,Jack Patera,7,1976,1982,94,35,59,0,.372,-24,0,0,0,0,,4.0,3,0,0,0
240,Bill Johnson,3,1976,1978,33,18,15,0,.545,3,0,0,0,0,,2.7,2,0,0,0
241,John McVay,3,1976,1978,37,14,23,0,.378,-9,0,0,0,0,,5.0,5,,,
242,Tommy Hudspeth,2,1976,1977,24,11,13,0,.458,-2,0,0,0,0,,3.0,3,0,0,0
243,Lou Holtz,1,1976,1976,13,3,10,0,.231,-7,0,0,0,0,,4.0,4,0,0,0
244,Pat Peppler,1,1976,1976,9,3,6,0,.333,-3,0,0,0,0,,3.0,3,0,0,0
245,Jim Ringo+,2,1976,1977,23,3,20,0,.130,-17,0,0,0,0,,4.5,4,0,0,0
246,Ted Marchibroda,12,1975,1998,186,87,98,1,.470,-11,4,6,2,4,.333,3.3,1,0,0,0
247,Jack Pardee,11,1975,1994,164,87,77,0,.530,10,5,6,1,5,.167,2.4,1,0,0,0
248,Bum Phillips,11,1975,1985,159,82,77,0,.516,5,3,7,4,3,.571,2.8,2,0,0,0
249,Forrest Gregg+,11,1975,1987,161,75,85,1,.469,-10,2,4,2,2,.500,2.8,1,0,0,1
250,Bart Starr+,9,1975,1983,131,52,76,3,.408,-24,1,2,1,1,.500,3.2,1,0,0,0
251,Paul Wiggin,3,1975,1977,35,11,24,0,.314,-13,0,0,0,0,,4.0,3,0,0,0
252,Ernie Hefferle,1,1975,1975,8,1,7,0,.125,-6,0,0,0,0,,4.0,4,0,0,0
253,Ken Shipp,1,1975,1975,5,1,4,0,.200,-3,0,0,0,0,,4.0,4,0,0,0
254,Marion Campbell,9,1974,1989,115,34,80,1,.300,-46,0,0,0,0,,3.9,3,0,0,0
255,Rick Forzano,3,1974,1976,32,15,17,0,.469,-2,0,0,0,0,,2.3,2,0,0,0
256,Bill Arnsparger,3,1974,1976,35,7,28,0,.200,-21,0,0,0,0,,4.7,4,,,
257,Joe Thomas,1,1974,1974,11,2,9,0,.182,-7,0,0,0,0,,5.0,5,0,0,0
258,Chuck Knox,22,1973,1994,334,186,147,1,.558,39,11,18,7,11,.389,2.6,1,0,0,0
259,Don Coryell+,14,1973,1986,195,111,83,1,.572,28,6,9,3,6,.333,2.8,1,0,0,0
260,Chuck Fairbanks,6,1973,1978,85,46,39,0,.541,7,2,2,0,2,.000,2.8,1,0,0,0
261,Mike McCormack+,6,1973,1982,81,29,51,1,.364,-22,0,0,0,0,,3.8,3,0,0,0
262,John North,3,1973,1975,34,11,23,0,.324,-12,0,0,0,0,,3.7,3,0,0,0
263,Howard Schnellenberger,2,1973,1974,17,4,13,0,.235,-9,0,0,0,0,,5.0,5,0,0,0
264,Ron Waller,1,1973,1973,6,1,5,0,.167,-4,0,0,0,0,,4.0,4,0,0,0
265,John Ralston,5,1972,1976,70,34,33,3,.507,1,0,0,0,0,,2.4,2,0,0,0
266,Abe Gibron,3,1972,1974,42,11,30,1,.274,-19,0,0,0,0,,4.0,4,0,0,0
267,John Sandusky,1,1972,1972,9,4,5,0,.444,-1,0,0,0,0,,3.0,3,0,0,0
268,Bill Peterson,2,1972,1973,19,1,18,0,.053,-17,0,0,0,0,,4.0,4,0,0,0
269,Tommy Prothro,7,1971,1978,88,35,51,2,.408,-16,0,0,0,0,,3.3,2,0,0,0
270,Dan Devine,4,1971,1974,56,25,27,4,.481,-2,1,1,0,1,.000,2.8,1,0,0,0
271,Bob Hollway,2,1971,1972,28,8,18,2,.315,-10,0,0,0,0,,4.0,4,0,0,0
272,Ed Khayat,2,1971,1972,25,8,15,2,.354,-7,0,0,0,0,,4.0,3,0,0,0
273,Ed Hughes,1,1971,1971,14,4,9,1,.308,-5,0,0,0,0,,3.0,3,0,0,0
274,Jerry Smith,1,1971,1971,5,2,3,0,.400,-1,0,0,0,0,,4.0,4,0,0,0
275,Don McCafferty,4,1970,1973,47,28,17,2,.620,11,2,5,4,1,.800,2.0,1,1,1,1
276,John Mazur,3,1970,1972,30,9,21,0,.300,-12,0,0,0,0,,4.3,3,0,0,0
277,J.D. Roberts,3,1970,1972,35,7,25,3,.227,-18,0,0,0,0,,4.0,4,0,0,0
278,Chuck Noll+,23,1969,1991,342,193,148,1,.566,45,12,24,16,8,.667,2.1,1,4,4,4
