"","team","Win_Pct","overall_rec","GB","home_rec","away_rec","total_rs","total_ra","run_diff","home_rs","home_ra","away_rs","away_ra"
"1","Georgia Tech",0.792,"19-5",0,"11-1","8-4",212,121,"+91",110,50,102,71
"2","North Carolina",0.708,"17-7",2,"7-5","10-2",173,118,"+55",66,64,107,54
"3","Boston College",0.63,"17-10",3.5,"10-2","7-8",180,130,"+50",90,44,90,86
"4","Florida St.",0.625,"15-9",4,"10-2","5-7",163,123,"+40",99,60,64,63
"5","Miami (FL)",0.542,"13-11",6,"7-5","6-6",151,144,"+7",69,50,82,94
"6","Wake Forest",0.519,"14-13",6.5,"10-5","4-8",203,170,"+33",122,90,81,80
"7","NC State",0.5,"12-12",7,"9-3","3-9",152,174,"-22",99,64,53,110
"8","Virginia",0.5,"12-12",7,"7-5","5-7",147,145,"+2",73,70,74,75
"9","Virginia Tech",0.481,"13-14",7.5,"7-5","6-9",159,190,"-31",77,66,82,124
"10","Louisville",0.417,"10-14",9,"7-5","3-9",170,173,"-3",105,94,65,79
"11","Pittsburgh",0.417,"10-14",9,"5-7","5-7",151,199,"-48",75,112,76,87
"12","Stanford",0.417,"10-14",9,"6-6","4-8",156,186,"-30",76,83,80,103
"13","Notre Dame",0.407,"11-16",9.5,"8-7","3-9",183,220,"-37",110,123,73,97
"14","Duke",0.375,"9-15",10,"6-6","3-9",122,180,"-58",63,82,59,98
"15","California",0.333,"8-16",11,"3-9","5-7",117,145,"-28",43,94,74,51
"16","Clemson",0.333,"8-16",11,"5-7","3-9",142,163,"-21",72,86,70,77
