ncaa_id,base_url,urls
29548,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29548
29508,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29508
29468,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29468
29408,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29408
29368,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29368
29328,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29328
29308,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29308
29268,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29268
29248,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29248
29228,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29228
29188,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29188
29148,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29148
29108,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29108
29068,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29068
29028,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29028
29008,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/29008
28968,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28968
28948,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28948
28908,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28908
28868,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28868
28828,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28828
28788,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28788
28748,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28748
28708,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28708
28688,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28688
28669,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28669
28628,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28628
28588,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28588
28568,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28568
28528,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28528
28488,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28488
28448,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28448
28408,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28408
28388,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28388
28348,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28348
28309,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28309
28268,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28268
28249,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28249
28229,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28229
28188,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28188
28148,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28148
28109,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28109
28106,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28106
28104,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28104
28103,https://stats.ncaa.org/selection_rankings/nitty_gritties/,https://stats.ncaa.org/selection_rankings/nitty_gritties/28103
