seed_left,host_left,regional_left,team_1,team_2,team_3,team_4,seed_right,host_right,regional_right,team_5,team_6,team_7,team_8
1,Vanderbilt,Nashville,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/238.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/97.png' style='height: 25px; width: auto; vertical-align: -30%;'>,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2750.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",2,Texas,Austin,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/251.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",<img src='https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
16,Southern Miss,Hattiesburg,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","	
<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png' style='height: 25px; width: auto; vertical-align: -30%;'> ","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/171.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",15,UCLA,Los Angeles,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/26.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/300.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/9.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/278.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
8,Oregon State,Corvallis,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/204.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/30.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2608.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",7,Georgia,Athens,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/150.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/197.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2066.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
9,Florida State,Tallahassee,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/52.png' style='height: 25px; width: auto; vertical-align: -30%;'>,"
<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/111.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/344.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",10,Ole Miss,Oxford,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/145.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/59.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/98.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/93.png' style='height: 25px; width: auto; vertical-align: -30%;'> 
5,North Carolina,Chapel Hill,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/153.png' style='height: 25px; width: auto; vertical-align: -30%;'>,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/201.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/158.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/107.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",6,LSU,Baton Rouge,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/99.png' style='height: 25px; width: auto; vertical-align: -30%;'>,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2164.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/227.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2031.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
12,Oregon,Eugene,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/12.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/13.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/3084.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",11,Clemson,Clemson,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/277.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/96.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2908.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
4,Auburn,Auburn,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2.png' style='height: 25px; width: auto; vertical-align: -30%;'>,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/152.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/56.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",3,Arkansas,Fayetteville,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/8.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","
<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/156.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2449.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
13,Coastal Carolina,Conway,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/324.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/151.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2217.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">",14,Tennessee,Knoxville,<img src='http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png' style='height: 25px; width: auto; vertical-align: -30%;'> ,"<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/154.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">","<img src=""http://a.espncdn.com/i/teamlogos/ncaa/500/193.png"" style=""height: 25px; width: auto; vertical-align: -30%; opacity: 0.3;"">"
