Rk,Team,Date,,Opp,Result
142,North Carolina,1969-03-08,N,Duke,W 85-74
143,North Carolina,1969-03-01,@,Duke,L 81-87
144,North Carolina,1969-01-04,,Duke,W 94-70
145,North Carolina,1968-03-02,@,Duke,L 86-87 (3OT)
146,North Carolina,1968-01-06,,Duke,W 75-72
147,North Carolina,1967-03-11,N,Duke,W 82-73
148,North Carolina,1967-03-04,,Duke,W 92-79
149,North Carolina,1967-01-07,@,Duke,W 59-56
150,North Carolina,1966-03-04,N,Duke,L 20-21
151,North Carolina,1966-02-26,@,Duke,L 63-77
152,North Carolina,1966-01-08,,Duke,L 77-88
153,North Carolina,1965-02-27,,Duke,W 71-66
154,North Carolina,1965-01-09,@,Duke,W 65-62
155,North Carolina,1964-03-06,N,Duke,L 49-65
156,North Carolina,1964-02-29,,Duke,L 69-104
157,North Carolina,1964-01-11,@,Duke,L 64-84
158,North Carolina,1963-02-23,@,Duke,L 93-106
159,North Carolina,1963-02-02,,Duke,L 69-77
160,North Carolina,1962-02-24,,Duke,L 74-82
161,North Carolina,1962-02-03,@,Duke,L 57-79
162,North Carolina,1961-02-25,,Duke,W 69-66 (OT)
163,North Carolina,1961-02-04,@,Duke,L 77-81
164,North Carolina,1960-12-31,N,Duke,W 76-71
165,North Carolina,1960-03-04,N,Duke,L 69-71
166,North Carolina,1960-02-27,@,Duke,W 75-50
167,North Carolina,1960-02-13,,Duke,W 84-57
168,North Carolina,1959-12-29,N,Duke,W 75-53
169,North Carolina,1959-03-06,N,Duke,W 74-71
170,North Carolina,1959-02-28,,Duke,W 72-62
171,North Carolina,1959-02-06,@,Duke,W 89-80
172,North Carolina,1958-02-28,@,Duke,L 46-59
173,North Carolina,1958-02-08,,Duke,L 75-91
174,North Carolina,1957-12-27,N,Duke,W 76-62
175,North Carolina,1957-03-01,@,Duke,W 86-72
176,North Carolina,1957-02-09,,Duke,W 75-73
177,North Carolina,1956-12-28,N,Duke,W 87-71
178,North Carolina,1956-02-24,,Duke,W 73-65
179,North Carolina,1956-02-04,@,Duke,L 59-64
180,North Carolina,1955-12-30,N,Duke,W 74-64
181,North Carolina,1955-02-25,@,Duke,L 74-96
182,North Carolina,1955-02-04,,Duke,L 68-91
183,North Carolina,1954-12-29,N,Duke,W 65-52
184,North Carolina,1954-02-20,,Duke,L 63-67
185,North Carolina,1954-02-04,@,Duke,L 47-63
186,North Carolina,1953-02-27,@,Duke,L 58-83
187,North Carolina,1953-02-06,,Duke,L 89-95
188,North Carolina,1952-02-29,@,Duke,L 64-94
189,North Carolina,1952-02-01,,Duke,L 66-73
190,North Carolina,1951-12-05,@,Duke,L 59-77
191,North Carolina,1951-02-23,@,Duke,L 72-84
192,North Carolina,1951-02-02,,Duke,W 71-68
193,North Carolina,1950-12-29,N,Duke,L 63-71
194,North Carolina,1950-02-24,@,Duke,W 64-46
195,North Carolina,1950-02-17,,Duke,W 58-55
196,North Carolina,1949-12-29,N,Duke,W 59-52
