"","date","type","game_id","year","location","team","opponent"
"58",2023-11-06,"nond1","Penn St.-Wilkes BarreNorfolk St.11-6",2024,"home","Norfolk St.","Penn St.-Wilkes Barre"
"59",2023-11-06,"nond1","CovenantChattanooga11-6",2024,"home","Chattanooga","Covenant"
"60",2023-11-06,"nc","Northern ArizonaConnecticut11-6",2024,"home","Connecticut","Northern Arizona"
"61",2023-11-06,"nc","LindenwoodNebraska11-6",2024,"home","Nebraska","Lindenwood"
"62",2023-11-06,"nond1","VassarYale11-6",2024,"home","Yale","Vassar"
"63",2023-11-06,"nond1","Champion Chris.Tennessee Martin11-6",2024,"home","Tennessee Martin","Champion Chris."
"64",2023-11-06,"nc","Morehead St.Alabama11-6",2024,"home","Alabama","Morehead St."
"65",2023-11-06,"nc","Tennessee TechTennessee11-6",2024,"home","Tennessee","Tennessee Tech"
"66",2023-11-06,"nc","Texas St.Little Rock11-6",2024,"home","Little Rock","Texas St."
"67",2023-11-06,"nc","Alabama St.Mississippi11-6",2024,"home","Mississippi","Alabama St."
"68",2023-11-06,"nc","Bethune CookmanMinnesota11-6",2024,"home","Minnesota","Bethune Cookman"
"69",2023-11-06,"nc","Eastern IllinoisIllinois11-6",2024,"home","Illinois","Eastern Illinois"
"70",2023-11-06,"nond1","McMurryUTEP11-6",2024,"home","UTEP","McMurry"
"71",2023-11-06,"nc","Maryland Eastern ShoreTemple11-6",2024,"home","Temple","Maryland Eastern Shore"
"72",2023-11-06,"nc","Fairleigh DickinsonBuffalo11-6",2024,"home","Buffalo","Fairleigh Dickinson"
"73",2023-11-06,"nc","CornellLehigh11-6",2024,"home","Lehigh","Cornell"
"74",2023-11-06,"nc","Cleveland St.Duquesne11-6",2024,"home","Duquesne","Cleveland St."
"75",2023-11-06,"nc","QueensMarshall11-6",2024,"home","Marshall","Queens"
"76",2023-11-06,"nond1","Kentucky St.Southern Illinois11-6",2024,"home","Southern Illinois","Kentucky St."
"77",2023-11-06,"nc","Cal St. FullertonSan Diego St.11-6",2024,"home","San Diego St.","Cal St. Fullerton"
"78",2023-11-06,"nond1","DoaneNebraska Omaha11-6",2024,"home","Nebraska Omaha","Doane"
"79",2023-11-06,"nond1","S'western AdventistUT Rio Grande Valley11-6",2024,"home","UT Rio Grande Valley","S'western Adventist"
"80",2023-11-06,"nond1","Mt. MartySouth Dakota11-6",2024,"home","South Dakota","Mt. Marty"
"81",2023-11-06,"nond1","Northwest IndianMontana St.11-6",2024,"home","Montana St.","Northwest Indian"
"82",2023-11-06,"nc","WagnerFordham11-6",2024,"home","Fordham","Wagner"
"83",2023-11-06,"nond1","BrevardWofford11-6",2024,"home","Wofford","Brevard"
"84",2023-11-06,"nond1","La VerneCal Poly11-6",2024,"home","Cal Poly","La Verne"
"85",2023-11-06,"nc","TowsonColorado11-6",2024,"home","Colorado","Towson"
"86",2023-11-06,"nond1","Kansas ChristianPrairie View A&M11-6",2024,"home","Prairie View A&M","Kansas Christian"
"87",2023-11-06,"nc","Alcorn St.Arkansas11-6",2024,"home","Arkansas","Alcorn St."
"88",2023-11-06,"nond1","Mid-Atlantic Christ.Liberty11-6",2024,"home","Liberty","Mid-Atlantic Christ."
"89",2023-11-06,"nond1","Mount OliveUNC Wilmington11-6",2024,"home","UNC Wilmington","Mount Olive"
"90",2023-11-06,"nc","BellarmineWashington11-6",2024,"home","Washington","Bellarmine"
"91",2023-11-06,"nond1","FerrumEast Carolina11-6",2024,"home","East Carolina","Ferrum"
"92",2023-11-06,"nc","BinghamtonNorthwestern11-6",2024,"home","Northwestern","Binghamton"
