"","tram_rank","team","conf","tram","raw_em","adj_em","off_svi","def_svi","off_e_fg_pct","off_to_pct","off_or_pct","off_ft_rate","def_e_fg_pct","def_to_pct","def_or_pct","def_ft_rate"
"43",43,"UNC Wilmington","CAA",5.5231957,9.8,4.2,100.5149687,94.991773,51.7,0.161,0.353,40.7,50.6,0.183,0.29,31.5
"44",44,"Penn St.","B10",5.4627058,11.8,13.6,97.55305,92.0903442,54.1,0.165,0.3,38.5,51.4,0.211,0.298,29.4
"45",45,"South Alabama","SB",5.30287159999999,9.90000000000001,3.40000000000001,98.2765436,92.973672,51.2,0.149,0.276,29.5,47.5,0.208,0.31,24.4
"46",46,"BYU","B12",5.26342469999999,17.5,19,98.2823325,93.0189078,57,0.175,0.341,29.5,49.9,0.181,0.242,31.1
"47",47,"Yale","Ivy",5.1912433,16.8,12.1,100.5832126,95.3919693,54.5,0.162,0.357,33.5,48.3,0.163,0.249,32.5
"48",48,"Stanford","ACC",5.15727820000001,7.8,9.59999999999999,99.6462374,94.4889592,51.1,0.158,0.327,32.3,50.6,0.177,0.264,37
"49",49,"Cleveland St.","Horz",4.99804180000001,4.40000000000001,0.900000000000006,97.593968,92.5959262,49.5,0.185,0.352,32.3,50.9,0.222,0.339,36.4
"50",50,"Texas","SEC",4.8247454,17,19.7,100.2605902,95.4358448,54.2,0.141,0.298,35.5,47,0.176,0.282,33.9
"51",51,"Princeton","Ivy",4.8193002,3.40000000000001,2.8,98.16106,93.3417598,52.5,0.15,0.276,27.5,52.3,0.183,0.254,33.3
"52",52,"TCU","B12",4.8141653,1.90000000000001,9.89999999999999,98.583607,93.7694417,47.8,0.165,0.322,33,50.1,0.197,0.299,27.7
"53",53,"Southern","SWAC",4.6531215,-1.3,-4.59999999999999,96.232556,91.5794345,47.3,0.188,0.33,35.9,50.5,0.215,0.297,42.6
"54",54,"SMU","ACC",4.50069959999999,15.3,16.2,100.9997516,96.499052,54.8,0.164,0.371,36,46.9,0.176,0.305,31.5
