"","team","conf","tram","raw_em","adj_em","old_svi_diff","off_svi","def_svi","old_svi_off","old_svi_def","to_pct","or_pct","d_to_pct","d_or_pct","raw_o","raw_d","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"31","Ohio St.","B10",1.0686664,11.6,21.8,0.00800000000000978,97.9674747,96.8988083,100.132,100.124,0.157,0.289,0.167,0.291,112.4,100.8,117.5,95.7,54.3,35,46.2,40.9
"32","Texas A&M","SEC",10.3674745,13.8,24.7,0.177999999999997,101.9368776,91.5694031,100.25,100.072,0.178,0.428,0.209,0.281,111.1,97.3,117.5,92.8,48.4,41.6,47.5,33.7
"33","Tennessee","SEC",7.86954310000002,23.3,30.5,0.117000000000004,101.6840331,93.81449,100.22,100.103,0.163,0.383,0.197,0.3,114,90.7,117.4,86.9,52,32.6,42.5,27.7
"34","SMU","ACC",4.50069959999999,15.3,16.2,0.0779999999999887,100.9997516,96.499052,100.207,100.129,0.164,0.371,0.176,0.305,117.5,102.2,117.3,101.1,54.8,36,46.9,31.5
"35","Kansas","B12",2.06616649999999,16,27,0.0409999999999968,98.5381169,96.4719504,100.15,100.109,0.161,0.311,0.163,0.272,110.4,94.4,117.3,90.3,53.4,23.5,43.8,29.1
"36","Utah St.","MWC",7.09656219999999,15.1,15.2,0.0829999999999842,99.1706672,92.074105,100.168,100.085,0.164,0.332,0.21,0.295,116.5,101.4,117.1,101.9,55.3,37.6,51,31.3
"37","Saint Mary's","WCC",10.3595872,20.4,22.4,0.177999999999997,104.503165,94.1435778,100.259,100.081,0.15,0.409,0.178,0.259,115.8,95.4,117.1,94.7,51.2,32,46,26.1
"38","Texas","SEC",4.8247454,17,19.7,0.0510000000000019,100.2605902,95.4358448,100.157,100.106,0.141,0.298,0.176,0.282,115.4,98.4,116.8,97.1,54.2,35.5,47,33.9
"39","Oregon St.","WCC",2.29923570000001,14.3,12.6,0.0450000000000017,97.5496735,95.2504378,100.144,100.099,0.171,0.315,0.174,0.273,116.3,102,116.7,104.1,55.8,38.8,49.8,31.9
"40","North Carolina","ACC",0.196907500000009,6.09999999999999,17.2,0.00699999999999079,98.1472261,97.9503186,100.13,100.123,0.153,0.283,0.151,0.274,111,104.9,116.7,99.5,52.8,35.3,49.2,30.5
"41","North Dakota St.","Sum",-7.26866819999999,8.3,4.2,-0.0710000000000122,96.838627,104.1072952,100.111,100.182,0.159,0.27,0.102,0.284,120,111.7,116.3,112.1,58.8,33.3,50.7,26.6
"42","Oregon","B10",2.00677760000001,7.2,17.6,0.0220000000000056,97.6233696,95.616592,100.138,100.116,0.166,0.304,0.18,0.296,109.5,102.3,116.3,98.7,52.3,35.3,49,28.5
"43","Vanderbilt","SEC",9.89536129999999,13.2,15.1,0.0960000000000036,100.7748256,90.8794643,100.172,100.076,0.144,0.316,0.221,0.297,114.6,101.4,116.2,101.1,52.9,32.5,52.1,36
"44","Boise St.","MWC",3.43302200000001,14.4,15.2,0.0879999999999939,98.36579,94.932768,100.16,100.072,0.17,0.33,0.16,0.232,114.3,99.9,116.2,101,53.3,39.7,48.9,30.8
"45","UAB","Amer",5.8087798,9.40000000000001,5.2,0.107000000000014,103.845119,98.0363392,100.239,100.132,0.146,0.385,0.156,0.288,116.9,107.5,115.9,110.7,51.4,31.9,51.1,29.8
"46","UCF","B12",1.8370558,1.5,12.6,0.0100000000000051,98.6994798,96.862424,100.161,100.151,0.166,0.327,0.185,0.336,108.4,106.9,115.9,103.3,49.2,36.4,51.5,30.2
"47","Dayton","A10",3.98909559999998,7.3,10.8,0.0439999999999969,98.4323263,94.4432307,100.136,100.092,0.153,0.289,0.181,0.273,112.6,105.3,115.9,105.1,53.6,37,51.4,28.2
"48","Creighton","BE",-7.46693259999999,10.6,19.9,-0.0710000000000122,93.0903424,100.557275,100.07,100.141,0.186,0.256,0.125,0.266,109.8,99.2,115.7,95.8,56,28.9,45.8,17
"49","Santa Clara","WCC",2.3055119,11.3,13.5,0.0509999999999877,98.505479,96.1999671,100.163,100.112,0.17,0.333,0.169,0.281,113.8,102.5,115.6,102.1,55,28.7,49,30.8
"50","USC","B10",1.03953469999999,5.3,13.2,-0.00300000000000011,96.3097916,95.2702569,100.107,100.11,0.164,0.271,0.181,0.291,110.1,104.8,115.5,102.3,54,37.9,50.6,34.9
"51","UCLA","B10",10.3700234,16.7,21.4,0.106999999999999,98.8197354,88.449712,100.159,100.052,0.163,0.322,0.24,0.292,112.2,95.5,115.4,94,53,34.6,49.7,37.4
"52","Butler","BE",-7.27130840000001,3,11.4,-0.0679999999999978,95.7597732,103.0310816,100.107,100.175,0.172,0.279,0.113,0.288,109.8,106.8,115.4,104,53,41.4,47.7,22.8
"53","Penn St.","B10",5.4627058,11.8,13.6,0.0479999999999876,97.55305,92.0903442,100.135,100.087,0.165,0.3,0.211,0.298,113.4,101.6,115.1,101.5,54.1,38.5,51.4,29.4
"54","Yale","Ivy",5.1912433,16.8,12.1,0.108999999999995,100.5832126,95.3919693,100.195,100.086,0.162,0.357,0.163,0.249,117.8,101,115,102.9,54.5,33.5,48.3,32.5
"55","St. Thomas","Sum",-0.00362560000000656,7.90000000000001,4.2,-0.063999999999993,96.1006332,96.1042588,100.072,100.136,0.142,0.214,0.186,0.322,117.7,109.8,114.8,110.6,58.3,32.9,52.8,36.3
