"","team","conf","tram","raw_em","adj_em","old_svi_diff","off_svi","def_svi","old_svi_off","old_svi_def","to_pct","or_pct","d_to_pct","d_or_pct","raw_o","raw_d","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"129","San Jose St.","MWC",-1.78885020000001,-1.40000000000001,0.0999999999999943,-0.046999999999997,96.72348,98.5123302,100.11,100.157,0.16,0.27,0.166,0.323,107.3,108.7,109,108.9,51.2,33.1,51.3,28.5
"130","Washington","B10",0.811916000000011,-1.90000000000001,7.2,0.0100000000000051,96.154463,95.342547,100.117,100.107,0.173,0.29,0.178,0.285,103.3,105.2,109,101.8,49.7,36.2,50.9,36
"131","South Carolina","SEC",-2.01340260000002,2.30000000000001,10.6,0.007000000000005,95.1597452,97.1731478,100.128,100.121,0.194,0.322,0.161,0.282,104.9,102.6,109,98.4,49.9,42.2,49.6,30.5
"132","Miami OH","MAC",2.47615399999999,5.8,0.400000000000006,0.0189999999999912,95.27397,92.797816,100.101,100.082,0.175,0.276,0.198,0.28,110.8,105,108.9,108.5,55.6,28.7,52.9,35.3
"133","UT Arlington","WAC",-1.9758507,-2,-3.89999999999999,-0.0100000000000051,96.5609128,98.5367635,100.146,100.156,0.186,0.332,0.165,0.321,107.4,109.4,108.9,112.8,51.5,36.8,50.9,36.9
"134","Montana","BSky",-4.28266170000001,-4,-2.69999999999999,-0.078000000000003,94.2271615,98.5098232,100.064,100.142,0.165,0.229,0.156,0.298,108.7,112.7,108.9,111.6,54.9,33,53.5,30.7
"135","Louisiana Tech","CUSA",-5.703643,2.5,3.2,-0.0400000000000063,93.81449,99.518133,100.103,100.143,0.197,0.3,0.142,0.285,106.6,104.1,108.8,105.6,52.8,33.2,48.2,28.1
"136","Idaho","BSky",-4.4664733,-6.5,-8.09999999999999,-0.0579999999999927,94.9670592,99.4335325,100.108,100.166,0.184,0.292,0.159,0.325,108.4,114.9,108.7,116.8,52.5,32.7,54.3,39.2
"137","N.C. State","ACC",3.91721039999999,1.60000000000001,5.7,0.0109999999999957,99.766372,95.8491616,100.151,100.14,0.144,0.295,0.192,0.332,106.2,104.6,108.7,103,48.7,31.8,49.6,29.8
"138","Cincinnati","B12",6.56445020000001,9.8,13.8,0.0739999999999981,100.5222792,93.957829,100.177,100.103,0.151,0.328,0.195,0.298,106.7,96.9,108.7,94.9,50.9,25,46.4,25.6
"139","Saint Louis","A10",-7.8569416,2.8,4.69999999999999,-0.100999999999999,91.7242408,99.5811824,100.049,100.15,0.192,0.241,0.146,0.296,106.3,103.5,108.6,103.9,55.7,32.9,47.1,25.4
"140","UMass Lowell","AE",-6.1499817,0,-4.30000000000001,-0.090999999999994,94.4591508,100.6091325,100.079,100.17,0.172,0.251,0.145,0.315,107.7,107.7,108.6,112.9,52.5,34.8,50.1,25.7
"141","DePaul","BE",-1.85986920000001,0.200000000000003,3.2,-0.00400000000000489,95.125007,96.9848762,100.113,100.117,0.185,0.298,0.161,0.278,106.3,106.1,108.5,105.3,52.6,29.6,51.1,29
"142","Delaware","CAA",-6.5796534,-4.2,-7.8,-0.122,94.1334745,100.7131279,100.062,100.184,0.165,0.227,0.153,0.337,108.2,112.4,108.5,116.3,53.8,31.8,51.4,32.7
"143","Florida Gulf Coast","ASun",-1.47876439999999,3.40000000000001,0.5,-0.0109999999999957,96.5940468,98.0728112,100.116,100.127,0.166,0.282,0.152,0.279,109,105.6,108.5,108,54.3,22.6,50.2,29.1
"144","Wright St.","Horz",-3.6036132,-0.700000000000003,-2.59999999999999,-0.0289999999999964,94.90371,98.5073232,100.093,100.122,0.175,0.268,0.142,0.264,108.2,108.9,108.5,111.1,54.7,27.8,51.9,34.3
"145","Virginia","ACC",-4.18250389999999,-1.40000000000001,4.80000000000001,-0.0690000000000168,93.6430939,97.8255978,100.06,100.129,0.171,0.231,0.157,0.286,104.5,105.9,108.4,103.6,52.6,26.9,49.6,28
"146","Cal Baptist","WAC",2.8753371,2,0.300000000000011,0.0480000000000018,99.0988855,96.2235484,100.168,100.12,0.165,0.333,0.174,0.294,106.5,104.5,108.4,108.1,48.7,30.4,50.3,32.2
"147","Grand Canyon","WAC",5.536281,13,8.59999999999999,0.0750000000000028,96.9104298,91.3741488,100.141,100.066,0.178,0.319,0.208,0.274,107,94,108.3,99.7,50.1,44.7,46.4,30.5
"148","East Tennessee St.","SC",6.9862416,7.40000000000001,2.7,0.103999999999999,101.4563267,94.4700851,100.212,100.108,0.161,0.373,0.191,0.299,110.2,102.8,108.2,105.5,50.2,31.4,50.4,36.8
"149","UNC Greensboro","SC",1.36419419999999,5.09999999999999,2.40000000000001,0.019999999999996,99.2668822,97.902688,100.167,100.147,0.162,0.329,0.168,0.315,109.8,104.7,108.2,105.8,51.1,28.9,48.1,31.5
"150","Furman","SC",-0.561396200000004,2.40000000000001,0.400000000000006,-0.00900000000000034,97.387967,97.9493632,100.139,100.148,0.17,0.309,0.168,0.316,108,105.6,108.2,107.8,52,33.8,48.9,30.5
"151","Seattle","WAC",3.82828499999998,1.69999999999999,2.5,0.0649999999999977,96.9186274,93.0903424,100.135,100.07,0.174,0.309,0.186,0.256,106.1,104.4,108.2,105.7,49.1,39.7,53.5,34.2
"152","UC Riverside","BW",-0.22582700000001,-3.8,0.700000000000003,0.0159999999999911,98.254016,98.479843,100.153,100.137,0.167,0.32,0.153,0.29,104.9,108.7,108.2,107.5,48.6,26.3,51.2,32.3
"153","Norfolk St.","MEAC",-1.10205119999999,3.7,-0.700000000000003,-0.0290000000000248,96.012928,97.1149792,100.134,100.163,0.186,0.32,0.189,0.352,109.5,105.8,108.1,108.8,52.2,38.5,50,34.5
"154","Bryant","AE",0.956026400000013,5.3,1,0.0219999999999914,98.836192,97.8801656,100.167,100.145,0.168,0.335,0.167,0.312,109,103.7,108,107,50.9,30.4,48,31.8
"155","Oklahoma St.","B12",4.1259814,-3.5,5.2,0.0710000000000122,95.6678464,91.541865,100.136,100.065,0.192,0.328,0.205,0.27,103,106.5,108,102.8,48.8,43.5,54.6,36.5
"156","Troy","SB",2.0771148,7.59999999999999,5.40000000000001,0.0620000000000118,96.0848588,94.007744,100.179,100.117,0.212,0.391,0.203,0.32,107.5,99.9,107.9,102.5,50.8,35.1,48.6,26.6
"157","Wichita St.","Amer",1.0979734,0.200000000000003,1.7,0.012999999999991,98.4151264,97.317153,100.14,100.127,0.156,0.296,0.163,0.29,105.5,105.3,107.9,106.2,49.7,34.1,51,26.5
"158","Longwood","BSth",6.04925410000001,3.09999999999999,-1.10000000000001,0.0649999999999835,97.9217287,91.8724746,100.152,100.087,0.171,0.323,0.214,0.301,110.1,107,107.8,108.9,50.9,45.7,55.1,40.9
"159","Nebraska Omaha","Sum",0.224599900000001,-1,-3.90000000000001,0.0250000000000057,96.8988083,96.6742084,100.124,100.099,0.167,0.291,0.153,0.252,109.4,110.4,107.8,111.7,52.1,37,54,38.7
"160","Middle Tennessee","CUSA",0.490680399999988,1.5,2.89999999999999,0.00900000000001455,97.6932404,97.20256,100.141,100.132,0.167,0.308,0.168,0.3,105.6,104.1,107.8,104.9,50.5,31.7,48.7,30.5
"161","Georgia Tech","ACC",0.00302240000000609,1.5,6.39999999999999,0.00599999999998602,96.9225088,96.9194864,100.126,100.12,0.168,0.294,0.164,0.284,104.7,103.2,107.8,101.4,50.5,32.6,49.2,30.9
"162","Winthrop","BSth",1.55852280000001,1.40000000000001,-2.09999999999999,0.00100000000000477,96.9895676,95.4310448,100.135,100.134,0.173,0.308,0.194,0.328,108.5,107.1,107.7,109.8,51.7,50.3,51.4,39.1
"163","UTSA","Amer",1.21220340000001,-6.40000000000001,-3.2,-0.0439999999999969,96.5141972,95.3019938,100.107,100.151,0.161,0.268,0.206,0.357,105.3,111.7,107.7,110.9,49.2,30,54.3,41.8
"164","Milwaukee","Horz",4.09876250000001,6.10000000000001,2.8,0.129999999999995,98.4008,94.3020375,100.21,100.08,0.2,0.41,0.175,0.255,109.4,103.3,107.7,104.9,51.5,37.6,50.7,32.8
"165","Rhode Island","A10",-1.76538630000002,6.09999999999999,3.5,-0.0109999999999957,95.5489652,97.3143515,100.113,100.124,0.179,0.292,0.161,0.285,107.1,101,107.6,104.1,51.8,42.4,47.1,30.7
"166","UMBC","AE",-5.26536019999999,-2.10000000000001,-8.5,-0.127999999999986,92.8978422,98.1632024,100.037,100.165,0.166,0.203,0.176,0.341,107.8,109.9,107.5,116,55.4,33.7,52.8,28.2
"167","Ohio","MAC",1.09068560000001,4.3,-0.599999999999994,-0.0150000000000148,96.1035224,95.0128368,100.094,100.109,0.158,0.252,0.184,0.293,109.6,105.3,107.4,108,53.5,34,51.9,35.8
"168","Wake Forest","ACC",1.8782542,5.19999999999999,11.5,-0.007000000000005,95.2040992,93.325845,100.098,100.105,0.174,0.272,0.205,0.31,103.1,97.9,107.4,95.9,50,35.5,46.2,29.9
"169","Charleston","CAA",-1.0528585,3.5,0.900000000000006,-0.0210000000000008,95.9135275,96.966386,100.1,100.121,0.165,0.265,0.164,0.285,107.3,103.8,107.4,106.5,52.1,33.7,50.2,28.1
"170","Colorado","B12",-4.763109,-1.30000000000001,5.30000000000001,-0.0350000000000108,90.8346176,95.5977266,100.07,100.105,0.218,0.288,0.173,0.278,102.6,103.9,107.4,102.1,51.7,36.8,50.2,33.7
"171","Elon","CAA",-3.24836339999999,3.40000000000001,-0.5,0.00900000000000034,98.8418038,102.0901672,100.191,100.182,0.183,0.374,0.132,0.314,108.4,105,107.4,107.9,48.8,41.6,46.6,22.9
"172","Murray St.","MVC",1.01558180000001,-1.2,0,0.0189999999999912,95.4358448,94.420263,100.106,100.087,0.176,0.282,0.178,0.265,105.6,106.8,107.2,107.2,50.7,42.2,53,35.1
"173","Howard","MEAC",-9.19266329999999,-11.2,-12.6,-0.121999999999986,90.1872832,99.3799465,100.052,100.174,0.216,0.268,0.165,0.339,106.1,117.3,107.1,119.7,54.5,35.6,55.8,38.4
"174","Texas A&M Corpus Chris","Slnd",1.634491,2.59999999999999,0,0.0199999999999818,96.9821554,95.3476644,100.141,100.121,0.177,0.318,0.187,0.308,107.8,105.2,107.1,107.1,53.5,38.4,51.4,42.2
"175","Incarnate Word","Slnd",1.25114219999999,-2.59999999999999,-8.09999999999999,0.027000000000001,97.891738,96.6405958,100.156,100.129,0.174,0.33,0.174,0.303,108.2,110.8,107,115.1,52.4,24.4,54.1,37.1
"176","CSUN","BW",8.72825880000001,9.8,4.09999999999999,0.146999999999991,97.2002284,88.4719696,100.16,100.013,0.186,0.346,0.216,0.229,108.3,98.5,107,102.9,51.8,35.7,48.9,48.8
"177","Indiana St.","MVC",-5.15424169999999,-3.5,-3.90000000000001,-0.0409999999999968,91.2493491,96.4035908,100.068,100.109,0.211,0.279,0.164,0.273,106.5,110,107,110.9,54.3,36,53.7,38.5
"178","IU Indy","Horz",-2.51097109999999,-11,-13.6,-0.0370000000000061,96.8985769,99.409548,100.13,100.167,0.171,0.301,0.16,0.327,106.6,117.6,106.9,120.5,49.7,35.9,55.3,39
"179","Boston College","ACC",-1.7870777,-7.60000000000001,-3.40000000000001,-0.00400000000000489,96.5235975,98.3106752,100.128,100.132,0.175,0.303,0.152,0.284,103.6,111.2,106.8,110.2,49.1,32.3,52.8,38.3
"180","Oakland","Horz",-1.02222260000001,-5.8,-2.40000000000001,-1.4210854715202e-14,97.741795,98.7640176,100.167,100.167,0.183,0.35,0.169,0.336,103.9,109.7,106.8,109.2,48.2,27.3,51.9,28.2
"181","TCU","B12",4.8141653,1.90000000000001,9.89999999999999,0.0549999999999926,98.583607,93.7694417,100.157,100.102,0.165,0.322,0.197,0.299,102,100.1,106.8,96.9,47.8,33,50.1,27.7
"182","Georgetown","BE",3.54818469999999,6.90000000000001,9.7,0.0529999999999973,96.2050372,92.6568525,100.143,100.09,0.189,0.332,0.205,0.295,103.5,96.6,106.7,97,50.6,25.4,46.7,27.6
"183","Cal Poly","BW",-6.58675700000001,-7.89999999999999,-5.89999999999999,-0.0949999999999847,90.6591368,97.2458938,100.066,100.161,0.218,0.284,0.186,0.347,103.7,111.6,106.4,112.3,53.4,28.4,53.3,32.9
"184","Loyola Chicago","A10",1.4013587,5.10000000000001,3.40000000000001,0.0229999999999961,95.1452854,93.7439267,100.115,100.092,0.186,0.301,0.191,0.283,105.7,100.6,106.4,103,52.7,33.4,49.2,34.1
"185","Manhattan","MAAC",-2.361284,-1,-8.19999999999999,-0.019999999999996,97.6390934,100.0003774,100.149,100.169,0.173,0.322,0.153,0.322,107.9,108.9,106.4,114.6,50.1,29.9,50.5,26.6
"186","Cal St. Bakersfield","BW",2.23089540000001,-6.8,-7.39999999999999,0.054000000000002,96.6359904,94.405095,100.159,100.105,0.193,0.352,0.19,0.295,105.7,112.5,106.2,113.6,48.5,36.7,55.2,50.9
"187","UC Irvine","BW",0.295999399999999,14.1,13,0.0169999999999959,94.393463,94.0974636,100.097,100.08,0.185,0.282,0.178,0.258,105.5,91.4,106.2,93.2,50.8,36.4,44.5,21
"188","Fordham","A10",-0.683678400000005,-4.5,-3,-0.00100000000000477,95.399336,96.0830144,100.119,100.12,0.185,0.304,0.176,0.296,103.2,107.7,106.2,109.2,49.4,32.5,52.4,36.4
"189","UTEP","CUSA",3.4072666,1.3,1.40000000000001,-0.0319999999999965,93.79293,90.3856634,100.069,100.101,0.175,0.244,0.242,0.343,104.1,102.8,106,104.6,51,36.4,52.3,40.6
"190","South Florida","Amer",-0.315036599999999,-0.0999999999999943,-2.2,-0.0249999999999915,96.6876216,97.0026582,100.118,100.143,0.166,0.284,0.178,0.321,106.7,106.8,106,108.2,51.5,33.9,49.8,35.4
"191","South Alabama","SB",5.30287159999999,9.90000000000001,3.40000000000001,0.0249999999999915,98.2765436,92.973672,100.127,100.102,0.149,0.276,0.208,0.31,107.5,97.6,106,102.6,51.2,29.5,47.5,24.4
"192","Nicholls","Slnd",-0.0758069000000035,-1.90000000000001,-1.3,-0.0119999999999862,98.6739455,98.7497524,100.144,100.156,0.155,0.299,0.162,0.318,103.8,105.7,106,107.3,47.7,31,48.3,39.2
"193","East Carolina","Amer",4.4084852,0.599999999999994,-0.299999999999997,0.063999999999993,100.1130946,95.7046094,100.185,100.121,0.162,0.347,0.182,0.303,105.8,105.2,106,106.3,47.1,35.7,51.4,32.9
"194","Valparaiso","MVC",2.84479760000001,-5.3,-5.7,0.0179999999999865,98.7667226,95.921925,100.133,100.115,0.146,0.279,0.175,0.29,105.3,110.6,106,111.7,47.4,37,54.3,37.9
"195","George Washington","A10",1.0512228,8.60000000000001,3.10000000000001,0.00399999999999068,96.4648503,95.4136275,100.136,100.132,0.181,0.317,0.193,0.325,106.7,98.1,105.9,102.8,50.3,40.6,46.9,28.1
"196","Marshall","SB",2.56945709999998,2.7,-1.09999999999999,0.0370000000000061,98.3910648,95.8216077,100.159,100.122,0.169,0.328,0.181,0.303,107.3,104.6,105.9,107,49.7,37.1,50.2,39.1
"197","Rice","Amer",-2.18249849999999,2.80000000000001,-0.699999999999989,0.0130000000000052,96.2285361,98.4110346,100.15,100.137,0.193,0.343,0.154,0.291,105.4,102.6,105.9,106.6,48.7,43.9,46.8,35.9
"198","Cleveland St.","Horz",4.99804180000001,4.40000000000001,0.900000000000006,0.0499999999999972,97.593968,92.5959262,100.167,100.117,0.185,0.352,0.222,0.339,106,101.6,105.7,104.8,49.5,32.3,50.9,36.4
"199","Montana St.","BSky",-3.1976106,-1.10000000000001,-2.30000000000001,-0.0720000000000027,94.6097214,97.807332,100.061,100.133,0.157,0.218,0.16,0.293,105.3,106.4,105.6,107.9,52,30.9,49.4,32.4
"200","Ball St.","MAC",-4.80922149999999,-2.8,-8.60000000000001,-0.061000000000007,95.772997,100.5822185,100.097,100.158,0.165,0.262,0.137,0.295,108,110.8,105.6,114.2,52.2,47,51.5,32.5
"201","Brown","Ivy",-3.00049439999999,-3.60000000000001,-5.2,-0.0279999999999916,96.264831,99.2653254,100.127,100.155,0.178,0.305,0.154,0.309,105.1,108.7,105.6,110.8,51.7,28.1,50.9,28.4
"202","Oral Roberts","Sum",-8.48542469999998,-17.2,-14.2,-0.140000000000001,93.9221353,102.40756,100.066,100.206,0.171,0.237,0.144,0.35,105.1,122.3,105.6,119.8,50.9,35.7,56.8,38.7
"203","Kennesaw St.","CUSA",-3.48201989999998,-1.2,0.599999999999994,0.00400000000000489,95.3043833,98.7864032,100.146,100.142,0.203,0.349,0.152,0.294,102.3,103.5,105.5,104.9,48,38.7,47.4,39.6
"204","Tulane","Amer",0.409030300000012,4.90000000000001,1.40000000000001,-0.0200000000000102,95.802304,95.3932737,100.102,100.122,0.168,0.27,0.187,0.309,105.9,101,105.5,104.1,50.8,34.8,47.5,33.6
"205","Southern Illinois","MVC",-1.6516821,-3.69999999999999,-1.5,0.00100000000000477,95.3860894,97.0377715,100.125,100.124,0.189,0.314,0.165,0.289,104.4,108.1,105.3,106.8,50.5,34.8,52.6,35.2
"206","Idaho St.","BSky",5.73207360000001,-1.2,-5,0.124000000000009,100.6132016,94.881128,100.218,100.094,0.176,0.394,0.176,0.27,107,108.2,105.2,110.2,48,36.1,52.9,35.5
"207","Queens","ASun",-2.0063796,-0.399999999999991,-3,-0.00199999999999534,95.5680778,97.5744574,100.129,100.131,0.189,0.318,0.162,0.293,105.2,105.6,105.1,108.1,51.6,31.5,50.7,32
"208","George Mason","A10",-0.343400299999999,13,11.4,0.0289999999999964,94.3516335,94.6950338,100.128,100.099,0.205,0.333,0.182,0.281,105.1,92.1,105,93.6,51.1,43.6,43,29.1
"209","Sacred Heart","MAAC",1.19896920000001,-1.7,-9.09999999999999,0.0259999999999962,96.3109452,95.111976,100.128,100.102,0.178,0.306,0.178,0.28,107.2,108.9,105,114.1,51.8,27.8,53.6,28.5
"210","Georgia St.","SB",-3.8074087,-9.8,-9.59999999999999,-0.021000000000015,97.8246722,101.6320809,100.153,100.174,0.173,0.326,0.133,0.307,104,113.8,104.9,114.5,49.5,31.7,52.6,26.8
"211","Duquesne","A10",3.100966,-0.5,0.400000000000006,0.0330000000000013,97.417686,94.31672,100.152,100.119,0.178,0.33,0.2,0.319,102.8,103.3,104.9,104.5,49,28.9,49.7,40.4
"212","Northeastern","CAA",-1.51094999999999,0.0999999999999943,-2.39999999999999,0,95.222323,96.733273,100.131,100.131,0.195,0.326,0.174,0.305,104.1,104,104.9,107.3,51.3,28.8,49.9,31.4
"213","Colgate","PL",-2.9000246,-5.40000000000001,-8.2,-0.0459999999999923,94.221683,97.1217076,100.071,100.117,0.17,0.241,0.159,0.276,104.1,109.5,104.8,113,52.9,22,53.4,26.4
"214","Hawaii","BW",-4.85044260000001,0.0999999999999943,-2.7,-0.00100000000000477,93.861039,98.7114816,100.117,100.118,0.205,0.322,0.136,0.254,105.1,105,104.7,107.4,51.8,41.7,48.8,34.8
"215","Gardner Webb","BSth",-6.31896879999999,-5.3,-5.59999999999999,-0.0330000000000013,93.3580324,99.6770012,100.119,100.152,0.213,0.332,0.146,0.298,105.2,110.5,104.7,110.3,53,36.8,51.4,37.6
"216","La Salle","A10",3.2578444,-4.8,-2.8,0.0409999999999968,99.7378592,96.4800148,100.162,100.121,0.152,0.314,0.171,0.292,102.7,107.5,104.7,107.5,46.4,31.2,52.8,27.8
"217","UT Rio Grande Valley","Slnd",-0.426984099999999,-3.40000000000001,-6.39999999999999,-0.0029999999999859,95.8410604,96.2680445,100.135,100.138,0.189,0.324,0.185,0.323,105.1,108.5,104.7,111.1,50.8,26.8,52.4,31.5
"218","Wyoming","MWC",-4.08603459999999,-4.5,0,-0.0229999999999961,93.2029334,97.288968,100.099,100.122,0.203,0.302,0.16,0.282,102,106.5,104.6,104.6,51,32.6,49.6,38.4
"219","Utah Valley","WAC",2.87996009999999,3.69999999999999,2.69999999999999,0.0530000000000115,97.5985401,94.71858,100.142,100.089,0.169,0.311,0.175,0.264,105.6,101.9,104.6,101.9,49.6,37.8,49.9,31.1
"220","Robert Morris","Horz",3.52028900000001,6.09999999999999,-1.3,0.0649999999999835,96.768027,93.247738,100.157,100.092,0.19,0.347,0.198,0.29,107,100.9,104.5,105.8,49.6,39.2,50.3,31.9
"221","Towson","CAA",6.235152,-0.199999999999989,-0.5,0.0829999999999984,101.80827,95.573118,100.195,100.112,0.145,0.34,0.178,0.29,102.9,103.1,104.4,104.9,46.1,28.9,49.8,30.5
"222","Western Kentucky","CUSA",-0.0143003000000164,1.5,3.90000000000001,-0.0280000000000058,94.612714,94.6270143,100.068,100.096,0.162,0.23,0.181,0.277,101.3,99.8,104.4,100.5,48.8,33.9,47,40.4
"223","New Mexico St.","CUSA",-1.6135604,-2.5,0,-1.4210854715202e-14,98.2760896,99.88965,100.155,100.155,0.168,0.323,0.145,0.3,101.6,104.1,104.3,104.3,47.3,30.9,48,37.2
"224","North Carolina Central","MEAC",1.7672621,-7.90000000000001,-11.3,-0.0150000000000006,97.2176457,95.4503836,100.162,100.177,0.187,0.349,0.219,0.396,105.3,113.2,104.3,115.6,49.8,38.5,55,46.1
"225","American","PL",-2.6673148,-4.8,-7.2,-0.0470000000000113,94.0203068,96.6876216,100.071,100.118,0.173,0.244,0.166,0.284,104.5,109.3,104.3,111.5,51.7,31.5,53.4,35.6
"226","Presbyterian","BSth",-0.374246600000006,-6.10000000000001,-8.7,-0.00499999999999545,97.0113046,97.3855512,100.137,100.142,0.174,0.311,0.172,0.314,106.3,112.4,104.2,112.9,50.9,31.6,53.5,37.7
"227","Loyola Marymount","WCC",-3.425331,-1.59999999999999,2.69999999999999,-0.068000000000012,95.650152,99.075483,100.083,100.151,0.157,0.24,0.154,0.305,101.4,103,104.1,101.4,49.3,30.5,46.7,28.1
"228","Massachusetts","A10",3.215538,-1.40000000000001,-1.2,0.0459999999999923,99.614164,96.398626,100.179,100.133,0.165,0.344,0.18,0.313,101.6,103,104.1,105.3,45.9,37,48.5,39.6
"229","Charlotte","Amer",-2.5844937,-7,-7.3,-0.0580000000000069,97.6409148,100.2254085,100.104,100.162,0.142,0.246,0.145,0.307,104.6,111.6,103.9,111.2,47.4,44.9,52.7,34.6
"230","Northern Arizona","BSky",2.5051473,-1.5,-7.10000000000001,0.0729999999999933,100.4248931,97.9197458,100.172,100.099,0.149,0.321,0.134,0.233,107.3,108.8,103.8,110.9,49.5,29.3,52.1,35.1
"231","Penn","Ivy",-5.4280273,-12.7,-11.1,-0.0779999999999887,95.8270143,101.2550416,100.104,100.182,0.169,0.273,0.144,0.326,101.1,113.8,103.7,114.8,48.7,30.2,52.6,25.3
"232","Drexel","CAA",-3.7025525,3.30000000000001,-2,0.000999999999990564,96.3762509,100.0788034,100.15,100.149,0.191,0.341,0.138,0.287,105.9,102.6,103.6,105.6,51.8,24,46.9,29.6
"233","Campbell","CAA",2.64952400000001,4,0.0999999999999943,0.00600000000000023,95.782271,93.132747,100.083,100.077,0.155,0.238,0.19,0.267,104.8,100.8,103.5,103.4,50.4,30.4,50.7,32.3
"234","Mercer","SC",0.793888600000002,-2.89999999999999,-5,0.00199999999999534,96.8988083,96.1049197,100.124,100.122,0.167,0.291,0.177,0.299,103.9,106.8,103.3,108.3,50.4,30.4,51.7,34.3
"235","Navy","PL",2.45720979999999,-3.2,-9.8,0.0509999999999877,98.396233,95.9390232,100.153,100.102,0.165,0.318,0.166,0.268,104.8,108,103.3,113.1,48.3,31,52.7,35.2
"236","Central Michigan","MAC",1.07643280000001,-5.39999999999999,-4,0.0360000000000014,96.1870028,95.11057,100.141,100.105,0.188,0.329,0.18,0.285,101.9,107.3,103.2,107.2,48.6,31.1,52.9,33.5
"237","Pepperdine","WCC",-1.3926404,-6.7,-5.5,-0.0180000000000007,95.711699,97.1043394,100.103,100.121,0.17,0.273,0.162,0.283,100.8,107.5,103.1,108.6,48.9,32.7,51,29
"238","Houston Christian","Slnd",-3.5113726,-8.8,-8.90000000000001,-0.0609999999999928,93.6852864,97.196659,100.08,100.141,0.184,0.264,0.174,0.315,100.9,109.7,103,111.9,49.5,32.8,53.4,28.6
"239","Richmond","A10",-3.70638500000001,-10.7,-5.7,-0.0800000000000125,93.064219,96.770604,100.031,100.111,0.159,0.19,0.16,0.271,99.3,110,103,108.7,47.8,34.3,52.7,38.4
"240","Portland St.","BSky",2.86053720000001,0.400000000000006,-3.69999999999999,0.0390000000000015,96.807162,93.9466248,100.153,100.114,0.187,0.34,0.202,0.316,106,105.6,102.9,106.6,51.4,36.3,51.4,34.4
"241","Alabama St.","SWAC",2.87026519999999,-6.59999999999999,-10.9,-0.00400000000000489,100.0573802,97.187115,100.143,100.147,0.134,0.277,0.178,0.325,103.5,110.1,102.9,113.8,47.1,31.4,52.6,41.5
"242","Morgan St.","MEAC",-3.41862350000001,-11,-15.1,-0.0470000000000113,96.95065,100.3692735,100.145,100.192,0.18,0.325,0.163,0.355,104.6,115.6,102.9,118,50,34.7,53.9,42.1
"243","Eastern Washington","BSky",-2.17083860000001,-8,-7.59999999999999,-0.0539999999999878,93.7969482,95.9677868,100.087,100.141,0.187,0.274,0.191,0.332,102.7,110.7,102.9,110.5,50.8,30.9,53.4,39.5
"244","Lamar","Slnd",-1.3778896,-0.900000000000006,-3,-0.01400000000001,97.1088976,98.4867872,100.158,100.172,0.186,0.344,0.176,0.348,102.6,103.5,102.8,105.8,47.5,29.4,47.9,34.6
"245","Siena","MAAC",-1.2887362,-0.899999999999991,-6.3,-0.0219999999999914,94.2530412,95.5417774,100.097,100.119,0.187,0.284,0.183,0.302,103.4,104.3,102.8,109.1,49.9,36.7,51.3,32.4
"246","Bellarmine","ASun",-8.05977119999999,-19.8,-20.2,-0.129000000000005,91.3450784,99.4048496,100.026,100.155,0.182,0.208,0.152,0.307,102.5,122.3,102.8,123,52.4,26.6,59.3,34.1
"247","Jacksonville","ASun",1.76691860000001,0.600000000000009,0.700000000000003,0.0459999999999923,95.6173652,93.8504466,100.153,100.107,0.203,0.356,0.199,0.306,102.9,102.3,102.8,102.1,50,27.6,50.6,33.9
"248","Southeastern Louisiana","Slnd",0.343642299999985,1,-3.5,0.00600000000000023,94.541418,94.1977757,100.108,100.102,0.19,0.298,0.191,0.293,103.3,102.3,102.7,106.2,49.8,33.6,50.1,39.4
"249","Weber St.","BSky",-3.9356902,-11.7,-11.2,-0.0649999999999977,94.6962224,98.6319126,100.09,100.155,0.176,0.266,0.163,0.318,102.4,114.1,102.7,113.9,50,37,53.3,39.2
"250","Appalachian St.","SB",-4.46067219999999,3.59999999999999,1.69999999999999,-0.0540000000000163,94.6274701,99.0881423,100.09,100.144,0.177,0.267,0.149,0.293,103.5,99.9,102.6,100.9,51.1,35.4,45.6,23.1
"251","Southeast Missouri","OVC",1.77500740000001,1.60000000000001,-5.39999999999999,-0.0120000000000005,96.4841416,94.7091342,100.095,100.107,0.153,0.248,0.187,0.294,103.9,102.3,102.4,107.8,51,29.7,48.7,45.7
"252","Albany","AE",6.55157700000001,-2.60000000000001,-8.3,0.0729999999999933,98.985432,92.433855,100.158,100.085,0.16,0.318,0.205,0.29,104.8,107.4,102.4,110.7,48.7,29.6,55.1,37.6
"253","Portland","WCC",-9.75586869999999,-19.2,-13.2,-0.119,91.7012661,101.4571348,100.05,100.169,0.193,0.243,0.132,0.301,98,117.2,102.4,115.6,47.9,33.9,55.3,23.8
"254","Holy Cross","PL",-5.730955,-8.19999999999999,-13,-0.0730000000000075,93.756053,99.487008,100.061,100.134,0.17,0.231,0.136,0.27,102.9,111.1,102.3,115.3,52.6,21.1,53.3,25.8
"255","Missouri St.","MVC",-0.0690468000000095,-6.60000000000001,-6,0.0130000000000052,93.9791032,94.04815,100.118,100.105,0.204,0.322,0.195,0.3,102.8,109.4,102.2,108.2,51.2,36.2,54.5,41.4
