regional,seed,national.seed,team,city,latitude,longitude,dest_lat,dest_long,distance,conf
STILLWATER,4,NA,Oral Roberts,"Tulsa, Oklahoma",36.1539,-95.9928,36.1156,-97.0584,59.58783106,Summit
STILLWATER,3,NA,Washington,"Seattle, Washington",47.6062,-122.3321,36.1156,-97.0584,1514.988748,Pac-12
TERRE HAUTE,1,14,Indiana State,"Terre Haute, Indiana",39.4667,-87.4139,39.4667,-87.4139,0,Missouri Valley
TERRE HAUTE,2,NA,Iowa,"Iowa City, Iowa",41.6611,-91.5302,39.4667,-87.4139,264.1957899,Big Ten
TERRE HAUTE,3,NA,North Carolina,"Chapel Hill, North Carolina",35.9132,-79.0558,39.4667,-87.4139,519.0314069,ACC
TERRE HAUTE,4,NA,Wright State,"Dayton, Ohio",39.7589,-84.1916,39.4667,-87.4139,172.8827617,Horizon
TUSCALOOSA,1,16,Alabama,"Tuscaloosa, Alabama",33.2098,-87.5692,33.2098,-87.5692,0,SEC
TUSCALOOSA,2,NA,Boston College,"Chestnut Hill, Massachusetts",42.3358,-71.1674,33.2098,-87.5692,1093.549904,ACC
TUSCALOOSA,4,NA,Nicholls,"Thibodaux, Louisiana",29.7958,-90.8227,33.2098,-87.5692,304.2328721,Southland
TUSCALOOSA,3,NA,Troy,"Troy, Alabama",31.8088,-85.9672,33.2098,-87.5692,134.6200139,Sun Belt
WINSTON-SALEM,4,NA,George Mason,"Fairfax, Virginia",38.8462,-77.308,36.0999,-80.2442,249.1017201,A10
WINSTON-SALEM,2,NA,Maryland,"College Park, Maryland",38.9869,-76.9439,36.0999,-80.2442,269.4782155,Big Ten
WINSTON-SALEM,3,NA,Northeastern,"Boston, Massachusetts",42.3601,-71.0589,36.0999,-80.2442,654.8223645,Colonial
WINSTON-SALEM,1,1,Wake Forest,"Winston-Salem, North Carolina",36.0999,-80.2442,36.0999,-80.2442,0,ACC
