,,,,,,,,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,,
Rk,Team,Date,TD,Day,G#,,Opp.,Result,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
54,North Carolina,2022-12-28,3,Wed,14,N,Oregon,L 27-28,3,3,3,100.0,3,2,66.7,0,0
55,North Carolina,2022-11-25,3,Fri,12,,North Carolina State,L 27-30 (2OT),3,3,3,100.0,4,2,50.0,0,0
56,North Carolina,2022-10-08,3,Sat,6,@,Miami (FL),W 27-24,3,3,3,100.0,2,2,100.0,0,0
57,North Carolina,2021-11-26,3,Fri,12,@,North Carolina State,L 30-34,3,3,3,100.0,3,3,100.0,0,0
58,North Carolina,2021-11-11,3,Thu,10,@,Pitt,L 23-30,3,2,2,100.0,1,1,100.0,0,0
59,North Carolina,2021-10-09,3,Sat,6,,Florida State,L 25-35,3,2,2,100.0,1,1,100.0,1,0
60,North Carolina,2021-09-25,3,Sat,4,N,Georgia Tech,L 22-45,3,2,2,100.0,1,0,0.0,1,0
61,North Carolina,2021-01-02,3,Sat,12,N,Texas A&M,L 27-41,3,3,3,100.0,2,2,100.0,0,0
62,North Carolina,2020-10-03,3,Sat,2,@,Boston College,W 26-22,3,3,3,100.0,2,1,50.0,0,0
63,North Carolina,2019-11-14,3,Thu,10,@,Pitt,L 27-34 (OT),3,3,3,100.0,2,2,100.0,0,0
64,North Carolina,2019-09-28,3,Sat,5,,Clemson,L 20-21,3,2,2,100.0,0,0,,0,0
65,North Carolina,2019-09-07,3,Sat,2,,Miami (FL),W 28-25,3,2,2,100.0,3,2,66.7,1,0
66,North Carolina,2018-11-24,3,Sat,11,,North Carolina State,L 28-34 (OT),3,2,2,100.0,3,2,66.7,1,0
67,North Carolina,2018-11-03,3,Sat,8,,Georgia Tech,L 28-38,3,2,2,100.0,2,2,100.0,1,0
68,North Carolina,2018-10-27,3,Sat,7,@,Virginia,L 21-31,3,3,3,100.0,0,0,,0,0
69,North Carolina,2017-11-25,3,Sat,12,@,North Carolina State,L 21-33,3,3,3,100.0,0,0,,0,0
70,North Carolina,2016-12-30,3,Fri,13,N,Stanford,L 23-25,3,2,2,100.0,2,1,50.0,0,0
71,North Carolina,2016-11-25,3,Fri,12,,North Carolina State,L 21-28,3,3,3,100.0,0,0,,0,0
72,North Carolina,2016-11-10,3,Thu,10,@,Duke,L 27-28,3,3,3,100.0,2,2,100.0,0,0
73,North Carolina,2016-09-03,3,Sat,1,N,Georgia,L 24-33,3,3,3,100.0,1,1,100.0,0,0
74,North Carolina,2015-10-24,3,Sat,7,,Virginia,W 26-13,3,2,2,100.0,2,2,100.0,0,0
75,North Carolina,2014-12-26,3,Fri,13,N,Rutgers,L 21-40,3,3,3,100.0,1,0,0.0,0,0
76,North Carolina,2013-11-30,3,Sat,12,,Duke,L 25-27,3,2,2,100.0,2,1,50.0,1,0
77,North Carolina,2013-09-21,3,Sat,3,@,Georgia Tech,L 20-28,3,2,2,100.0,0,0,,0,0
78,North Carolina,2012-10-20,3,Sat,8,@,Duke,L 30-33,3,3,3,100.0,3,3,100.0,0,0
79,North Carolina,2012-09-22,3,Sat,4,,East Carolina,W 27-6,3,3,3,100.0,3,2,66.7,0,0
80,North Carolina,2012-09-08,3,Sat,2,@,Wake Forest,L 27-28,3,3,3,100.0,2,2,100.0,0,0
81,North Carolina,2011-12-26,3,Mon,13,N,Missouri,L 24-41,3,3,3,100.0,1,1,100.0,0,0
82,North Carolina,2011-11-17,3,Thu,11,@,Virginia Tech,L 21-24,3,3,3,100.0,2,0,0.0,0,0
83,North Carolina,2011-10-15,3,Sat,7,,Miami (FL),L 24-30,3,3,3,100.0,1,1,100.0,0,0
84,North Carolina,2011-09-10,3,Sat,2,,Rutgers,W 24-22,3,3,3,100.0,1,1,100.0,0,0
85,North Carolina,2010-12-30,3,Thu,13,N,Tennessee,W 30-27 (2OT),3,3,3,100.0,3,3,100.0,0,0
86,North Carolina,2010-11-27,3,Sat,12,@,Duke,W 24-19,3,3,3,100.0,2,1,50.0,0,0
87,North Carolina,2010-10-30,3,Sat,8,,William & Mary,W 21-17,3,3,3,100.0,1,0,0.0,0,0
88,North Carolina,2010-10-09,3,Sat,5,,Clemson,W 21-16,3,3,3,100.0,0,0,,0,0
89,North Carolina,2010-09-18,3,Sat,2,,Georgia Tech,L 24-30,3,3,3,100.0,1,1,100.0,0,0
90,North Carolina,2010-09-04,3,Sat,1,N,LSU,L 24-30,3,3,3,100.0,1,1,100.0,0,0
91,North Carolina,2024-11-30,4,Sat,12,,North Carolina State,L 30-35,4,4,3,75.0,2,1,50.0,0,0
92,North Carolina,2024-11-16,4,Sat,10,,Wake Forest,W 31-24,4,4,4,100.0,2,1,50.0,0,0
93,North Carolina,2024-10-12,4,Sat,7,,Georgia Tech,L 34-41,4,4,4,100.0,3,2,66.7,0,0
94,North Carolina,2023-11-11,4,Sat,10,,Duke,W 47-45 (2OT),4,3,3,100.0,6,6,100.0,1,0
95,North Carolina,2023-10-07,4,Sat,5,,Syracuse,W 40-7,4,4,4,100.0,4,4,100.0,0,0
96,North Carolina,2023-09-16,4,Sat,3,,Minnesota,W 31-13,4,4,4,100.0,1,1,100.0,0,0
97,North Carolina,2023-09-02,4,Sat,1,N,South Carolina,W 31-17,4,4,4,100.0,1,1,100.0,0,0
98,North Carolina,2022-11-05,4,Sat,9,@,Virginia,W 31-28,4,4,4,100.0,1,1,100.0,0,0
99,North Carolina,2021-11-20,4,Sat,11,,Wofford,W 34-14,4,4,4,100.0,2,2,100.0,0,0
100,North Carolina,2021-10-30,4,Sat,8,@,Notre Dame,L 34-44,4,4,4,100.0,2,2,100.0,0,0
101,North Carolina,2020-10-17,4,Sat,4,@,Florida State,L 28-31,4,2,2,100.0,1,0,0.0,1,0
102,North Carolina,2020-09-12,4,Sat,1,,Syracuse,W 31-6,4,4,4,100.0,2,1,50.0,0,0
103,North Carolina,2019-11-02,4,Sat,9,,Virginia,L 31-38,4,4,4,100.0,1,1,100.0,0,0
104,North Carolina,2019-09-21,4,Sat,4,,Appalachian State,L 31-34,4,4,4,100.0,2,1,50.0,0,0
105,North Carolina,2018-10-20,4,Sat,6,@,Syracuse,L 37-40 (2OT),4,4,4,100.0,5,3,60.0,0,0
106,North Carolina,2017-11-09,4,Thu,10,@,Pitt,W 34-31,4,4,4,100.0,3,2,66.7,0,0
107,North Carolina,2017-09-02,4,Sat,1,,California,L 30-35,4,3,3,100.0,2,1,50.0,0,0
108,North Carolina,2015-11-21,4,Sat,11,@,Virginia Tech,W 30-27 (OT),4,3,3,100.0,1,1,100.0,0,0
109,North Carolina,2014-10-25,4,Sat,8,@,Virginia,W 28-27,4,4,4,100.0,2,0,0.0,0,0
110,North Carolina,2014-09-06,4,Sat,2,,San Diego State,W 31-27,4,4,4,100.0,2,1,50.0,0,0
111,North Carolina,2013-11-16,4,Sat,10,@,Pitt,W 34-27,4,4,4,100.0,2,2,100.0,0,0
112,North Carolina,2013-11-02,4,Sat,8,@,North Carolina State,W 27-19,4,4,3,75.0,1,0,0.0,0,0
113,North Carolina,2013-09-28,4,Sat,4,,East Carolina,L 31-55,4,4,4,100.0,1,1,100.0,0,0
114,North Carolina,2011-11-26,4,Sat,12,,Duke,W 37-21,4,4,4,100.0,3,3,100.0,0,0
115,North Carolina,2011-09-24,4,Sat,4,@,Georgia Tech,L 28-35,4,4,4,100.0,0,0,,0,0
116,North Carolina,2011-09-17,4,Sat,3,,Virginia,W 28-17,4,4,4,100.0,0,0,,0,0
117,North Carolina,2010-11-06,4,Sat,9,@,Florida State,W 37-35,4,4,4,100.0,3,3,100.0,0,0
118,North Carolina,2025-09-13,5,Sat,3,,Richmond,W 41-6,5,5,5,100.0,2,2,100.0,0,0
119,North Carolina,2024-11-02,5,Sat,9,@,Florida State,W 35-11,5,5,5,100.0,1,0,0.0,0,0
