team_name,W,L,pd,1,2,3,4,5,6,7,8,9,10,11,12,13
Boston College,3,2,-5,Northern Illinois,Holy Cross,Florida State,Louisville,Virginia,Army,ACC,Georgia Tech,Connecticut,Syracuse,Virginia Tech,Pittsburgh,Miami
Clemson,2,4,-21,Duke,Charleston Southern,Florida Atlantic,Florida State,Syracuse,Wake Forest,ACC,Miami,NC State,Notre Dame,Georgia Tech,North Carolina,South Carolina
Duke,3,2,4,Clemson,Lafayette,Northwestern,Connecticut,Notre Dame,ACC,NC State,Florida State,Louisville,Wake Forest,North Carolina,Virginia,Pittsburgh
Florida State,7,0,129,LSU,Southern Mississippi,Boston College,Clemson,ACC,Virginia Tech,Syracuse,Duke,Wake Forest,Pittsburgh,Miami,North Alabama,Florida
Georgia Tech,4,2,29,Louisville,South Carolina State,Ole Miss,Wake Forest,Bowling Green,Miami,ACC,Boston College,North Carolina,Virginia,Clemson,Syracuse,Georgia
Louisville,5,1,73,Georgia Tech,Murray State,Indiana,Boston College,NC State,Notre Dame,Pittsburgh,ACC,Duke,Virginia Tech,Virginia,Miami,Kentucky
Miami,2,3,-16,Miami (OH),Texas A&M,Bethune-Cookman,Temple,ACC,Georgia Tech,North Carolina,Clemson,Virginia,NC State,Florida State,Louisville,Boston College
NC State,3,2,0,Connecticut,Notre Dame,VMI,Virginia,Louisville,Marshall,Duke,ACC,Clemson,Miami,Wake Forest,Virginia Tech,North Carolina
North Carolina,3,2,52,South Carolina,Appalachian State,Minnesota,Pittsburgh,ACC,Syracuse,Miami,Virginia,Georgia Tech,Campbell,Duke,Clemson,NC State
Pittsburgh,1,4,-38,Wofford,Cincinnati,West Virginia,North Carolina,Virginia Tech,ACC,Louisville,Wake Forest,Notre Dame,Florida State,Syracuse,Boston College,Duke
Syracuse,0,5,-123,Colgate,Western Michigan,Purdue,Army,Clemson,North Carolina,Florida State,ACC,Virginia Tech,Boston College,Pittsburgh,Georgia Tech,Wake Forest
Virginia,1,4,-33,Tennessee,James Madison,Maryland,NC State,Boston College,William & Mary,ACC,North Carolina,Miami,Georgia Tech,Louisville,Duke,Virginia Tech
Virginia Tech,3,2,9,Old Dominion,Purdue,Rutgers,Marshall,Pittsburgh,Florida State,Wake Forest,ACC,Syracuse,Louisville,Boston College,NC State,Virginia
Wake Forest,1,5,-60,Elon,Vanderbilt,Old Dominion,Georgia Tech,ACC,Clemson,Virginia Tech,Pittsburgh,Florida State,Duke,NC State,Notre Dame,Syracuse
