Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4
Evansville,MVC,349,349,172,188,5-26,1-19,4-7,1-14,228,273,0-2,0-5,0-10,5-9
Bethune-Cookman,SWAC,350,350,348,258,9-19,7-10,2-9,3-13,323,149,0-3,0-0,0-3,9-13
Delaware St.,MEAC,351,352,271,219,5-21,4-10,1-11,2-14,186,57,0-4,0-1,0-7,5-9
Houston Christian,Southland,352,351,338,251,7-20,7-10,0-10,2-13,302,109,0-3,0-0,0-4,7-13
Presbyterian,Big South,353,353,294,227,3-26,1-17,2-9,0-15,324,286,0-1,0-2,0-9,3-14
St. Francis Brooklyn,NEC,354,354,361,291,12-15,7-9,5-6,4-10,360,301,0-1,0-1,0-4,12-9
VMI,SoCon,355,355,222,203,4-24,2-16,2-8,1-14,292,322,0-0,0-3,0-11,4-10
Monmouth,CAA,356,356,191,192,6-25,5-13,1-12,3-15,157,68,0-2,0-7,0-8,6-8
Mississippi Val.,SWAC,357,357,281,222,5-25,4-12,1-13,1-19,155,14,0-4,0-5,0-2,5-14
Lamar University,Southland,358,358,346,257,6-21,5-12,1-9,2-11,345,223,0-1,0-1,0-4,6-15
Florida A&M,SWAC,359,359,307,231,5-21,5-12,0-9,3-14,158,3,0-5,0-0,0-4,5-12
IUPUI,Horizon,360,360,297,228,3-27,2-19,1-8,0-15,317,262,0-2,0-1,0-7,3-17
Green Bay,Horizon,361,361,234,206,3-29,2-19,1-10,1-17,280,187,0-1,0-4,1-10,2-14
Hartford,DI Independent,362,362,344,256,2-23,0-0,2-23,0-11,353,357,0-0,0-3,0-4,2-16
LIU,NEC,363,363,343,255,1-25,1-15,0-10,1-13,267,25,0-3,0-2,0-2,1-18
