Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4
DePaul,Big East,166,166,32,107,9-20,3-15,6-5,2-11,41,132,1-9,0-7,3-4,5-0
Eastern Ky.,ASUN,167,177,172,188,17-12,13-6,4-6,5-9,178,110,0-2,1-3,6-3,10-4
Navy,Patriot,168,167,317,239,17-12,11-7,6-5,9-7,322,202,0-2,0-1,3-2,14-7
Portland,WCC,169,168,94,140,11-18,5-11,6-7,2-10,84,131,0-7,1-4,3-6,7-1
Western Ky.,C-USA,170,169,132,169,13-14,7-11,6-3,4-8,144,338,1-2,1-5,2-5,9-2
Norfolk St.,MEAC,171,171,331,245,16-9,9-4,7-5,6-7,180,37,0-4,0-0,1-2,15-3
Northern Ky.,Horizon,172,172,229,204,17-12,14-6,3-6,6-6,271,103,0-1,0-4,4-4,13-3
Wyoming,Mountain West,173,175,45,112,8-20,4-13,4-7,1-7,73,181,1-6,1-7,1-6,5-1
Cleveland St.,Horizon,174,173,289,225,18-11,14-6,4-5,7-9,320,213,0-0,0-4,3-5,15-2
Rice,C-USA,175,174,126,166,14-12,8-10,6-2,6-7,119,274,1-3,0-4,5-3,8-2
Bryant,America East,176,170,271,219,15-12,8-8,7-4,7-7,263,143,0-2,1-3,2-3,12-4
California Baptist,WAC,177,176,163,184,13-14,6-9,7-5,4-7,248,355,0-1,1-4,5-4,7-5
Brown,Ivy League,178,178,209,198,14-12,7-6,7-6,7-8,185,239,0-3,0-3,4-5,10-1
Utah Tech,WAC,179,179,120,163,9-17,4-12,5-5,3-13,110,54,0-3,0-6,3-5,6-3
FGCU,ASUN,180,180,219,202,16-15,7-12,9-3,6-9,208,105,1-3,0-0,6-7,9-5
Buffalo,MAC,181,193,118,162,12-16,8-9,4-7,3-9,111,29,0-4,0-5,4-4,8-3
Radford,Big South,182,181,283,223,16-13,12-6,4-7,7-10,265,119,0-3,0-0,2-5,14-5
St. Bonaventure,Atlantic 10,183,184,146,176,14-16,8-9,6-7,2-10,246,331,1-0,1-3,5-7,7-6
N.C. Central,MEAC,184,183,265,217,12-11,9-4,3-7,3-10,218,45,0-3,0-0,2-6,10-2
Wright St.,Horizon,185,182,303,230,16-14,11-10,5-4,7-7,347,324,0-0,0-2,2-7,14-5
Siena,MAAC,186,185,294,227,17-12,11-7,6-5,7-7,332,334,0-1,2-0,1-5,14-6
New Mexico St.,WAC,187,186,89,137,6-15,2-10,4-5,1-9,99,62,0-1,1-9,2-3,3-2
Notre Dame,ACC,188,190,90,138,10-19,2-16,8-3,0-9,102,304,0-5,1-5,2-8,7-1
Georgia Tech,ACC,189,206,85,135,11-17,5-14,6-3,2-9,80,170,0-8,3-5,1-3,7-1
App State,Sun Belt,190,187,157,182,13-15,9-9,4-6,6-7,210,270,0-0,1-5,2-7,10-3
Massachusetts,Atlantic 10,191,189,137,173,14-14,5-11,9-3,3-7,211,240,0-1,2-3,5-8,7-2
Gardner-Webb,Big South,192,188,271,219,13-15,10-8,3-7,6-10,303,182,0-1,0-2,2-7,11-5
UTEP,C-USA,193,194,107,153,11-16,6-12,5-4,3-10,106,228,0-5,1-4,1-6,9-1
Grambling,SWAC,194,192,350,261,18-8,13-3,5-5,9-6,301,69,0-3,2-1,0-0,16-4
Drexel,CAA,195,191,299,229,15-14,10-8,5-6,3-9,329,293,0-0,1-4,4-5,10-5
Northwestern St.,Southland,196,196,334,247,19-10,12-5,7-5,10-7,249,40,1-3,1-0,1-2,16-5
A&M-Corpus Christi,Southland,197,195,352,263,16-10,13-4,3-6,6-7,321,85,0-3,0-0,1-1,15-6
Chattanooga,SoCon,198,197,205,197,12-16,7-11,5-5,6-9,253,189,0-1,1-4,2-8,9-3
Pepperdine,WCC,199,198,75,127,7-21,2-14,5-7,0-12,83,114,0-4,0-9,2-6,5-2
SMU,AAC,200,199,88,136,10-19,5-11,5-8,1-10,71,53,1-7,1-5,2-6,6-1
St. Thomas (MN),Summit League,201,200,286,224,16-13,9-9,7-4,4-11,255,176,0-3,0-2,3-3,13-5
Weber St.,Big Sky,202,201,187,191,15-14,12-6,3-8,8-8,230,125,1-0,0-5,3-7,11-2
Ga. Southern,Sun Belt,203,202,178,190,13-15,9-9,4-6,3-11,193,289,0-0,0-6,4-5,9-4
Abilene Christian,WAC,204,203,118,162,9-15,5-10,4-5,4-7,132,156,0-2,1-4,1-7,7-2
Pacific,WCC,205,204,120,163,13-16,7-9,6-7,7-7,130,329,0-2,1-5,6-5,6-4
Queens (NC),ASUN,206,205,234,206,15-15,8-12,7-3,7-10,259,312,0-1,1-4,3-7,11-3
East Carolina,AAC,207,208,167,185,14-14,5-10,9-4,2-7,156,349,0-2,2-4,1-7,11-1
Detroit Mercy,Horizon,208,212,234,206,13-18,10-11,3-7,5-12,257,77,0-1,0-4,3-7,10-6
North Dakota St.,Summit League,209,207,205,197,12-16,11-7,1-9,5-10,141,18,0-4,0-3,2-3,10-6
Milwaukee,Horizon,210,209,253,213,17-10,14-6,3-4,6-7,275,75,0-2,0-1,6-2,11-5
George Washington,Atlantic 10,211,210,178,190,14-14,9-7,5-7,4-6,291,330,0-0,2-2,1-10,11-2
Rider,MAAC,212,211,299,229,14-12,12-6,2-6,7-6,285,152,1-2,0-0,0-4,13-6
Oregon St.,Pac-12,213,214,66,122,9-19,4-14,5-5,1-10,43,209,0-10,2-7,2-0,5-2
Saint Joseph's,Atlantic 10,214,213,175,189,13-16,7-10,6-6,4-7,194,249,0-2,1-3,2-9,10-2
Texas St.,Sun Belt,215,215,160,183,12-17,7-12,5-5,7-7,207,281,0-0,2-4,1-9,9-4
Delaware,CAA,216,216,222,203,15-15,8-10,7-5,4-10,235,211,0-2,2-2,4-7,9-4
Murray St.,MVC,217,217,160,183,15-14,11-9,4-5,3-11,152,214,1-2,1-6,3-5,10-1
Florida St.,ACC,218,218,52,115,9-21,7-12,2-9,4-6,68,137,2-7,0-8,1-6,6-0
UNI,MVC,219,219,145,175,12-17,9-11,3-6,4-7,203,323,0-2,0-5,3-8,9-2
Morehead St.,OVC,220,220,320,240,17-10,14-4,3-6,7-8,289,46,0-2,0-2,2-1,15-5
Sacramento St.,Big Sky,221,221,187,191,12-17,7-11,5-6,5-10,220,117,0-1,0-4,3-8,9-4
SIUE,OVC,222,222,338,251,15-13,9-9,6-4,7-8,346,218,0-1,1-1,2-2,12-9
San Diego,WCC,223,223,98,146,9-19,4-12,5-7,3-8,104,287,0-5,1-2,4-7,4-5
FIU,C-USA,224,224,123,165,11-16,7-11,4-5,2-9,123,327,0-5,2-2,3-4,6-5
Georgetown,Big East,225,226,52,115,7-23,2-17,5-6,1-10,55,284,0-9,1-6,0-6,6-2
Wofford,SoCon,226,225,240,208,13-15,8-10,5-5,4-11,229,157,1-1,0-4,3-5,9-5
UMES,MEAC,227,227,257,214,12-12,8-5,4-7,6-9,172,33,0-3,1-2,1-4,10-3
UMBC,America East,228,234,326,243,17-13,8-8,9-5,5-10,327,306,0-1,0-4,1-4,16-4
Mercer,SoCon,229,231,246,211,11-18,6-12,5-6,4-10,313,337,0-0,0-3,1-11,10-4
North Florida,ASUN,230,232,191,192,12-17,9-10,3-7,3-14,128,9,0-4,0-4,4-4,8-5
Northern Colo.,Big Sky,231,233,163,184,11-18,6-12,5-6,3-12,136,21,0-4,1-2,0-8,10-4
Purdue Fort Wayne,Horizon,232,230,265,217,15-15,9-12,6-3,7-8,288,159,0-2,1-1,2-6,12-6
La Salle,Atlantic 10,233,228,152,180,13-17,7-10,6-7,5-8,205,278,0-2,0-5,5-5,8-5
South Carolina,SEC,234,238,61,120,10-20,3-14,7-6,4-8,50,292,1-9,2-4,2-6,5-1
Jacksonville,ASUN,235,235,178,190,10-16,6-12,4-4,6-10,181,52,1-2,0-2,2-8,7-4
Howard,MEAC,236,236,289,225,15-12,10-3,5-9,6-8,273,177,0-3,0-0,3-6,12-3
North Ala.,ASUN,237,229,243,210,15-14,10-9,5-5,8-10,226,167,0-3,1-1,5-7,9-3
Western Caro.,SoCon,238,239,259,216,14-14,10-8,4-6,6-9,270,255,0-1,0-3,3-6,11-4
Minnesota,Big Ten,239,237,37,108,7-20,1-16,6-4,1-9,23,307,1-11,0-7,1-1,5-1
Jacksonville St.,ASUN,240,240,196,194,10-18,6-12,4-6,3-12,146,88,0-4,0-3,2-5,8-6
Western Ill.,Summit League,241,241,292,226,13-13,9-9,4-4,5-9,310,308,0-2,0-1,1-5,12-5
UT Arlington,WAC,242,244,104,150,8-18,6-10,2-8,4-7,133,148,0-2,3-3,2-8,3-5
Winthrop,Big South,243,243,243,210,13-16,10-8,3-8,4-11,245,104,0-2,0-3,4-5,9-6
Alcorn,SWAC,244,246,312,236,16-12,13-3,3-9,8-9,213,17,0-3,2-4,1-2,13-3
Niagara,MAAC,245,245,308,232,14-13,10-9,4-4,4-9,304,251,0-2,0-2,3-1,11-8
UT Martin,OVC,246,249,346,257,14-13,10-8,4-5,4-11,349,221,0-1,0-2,0-3,14-7
Campbell,Big South,247,247,275,220,11-17,8-10,3-7,4-10,330,277,0-1,0-0,3-9,8-7
Army West Point,Patriot,248,250,350,261,14-15,10-8,4-7,7-7,359,361,0-0,0-1,1-4,13-10
Rhode Island,Atlantic 10,249,251,126,166,8-20,4-12,4-8,0-10,206,275,0-1,1-6,2-7,5-6
Southern Ind.,OVC,250,252,341,252,13-15,9-9,4-6,5-11,351,269,0-1,0-0,3-4,10-10
Robert Morris,Horizon,251,242,292,226,14-16,11-10,3-6,5-9,318,215,0-2,0-1,3-6,11-7
Idaho St.,Big Sky,252,253,240,208,9-20,8-10,1-10,4-12,278,244,0-1,0-5,2-6,7-8
UTRGV,WAC,253,254,142,174,11-15,5-11,6-4,3-9,142,192,0-3,1-3,1-5,9-4
Nicholls,Southland,254,255,299,229,11-14,10-7,1-7,4-11,163,1,0-4,0-2,0-3,11-5
Portland St.,Big Sky,255,256,163,184,10-18,6-11,4-7,5-9,197,95,0-2,0-4,3-8,7-4
Northern Ariz.,Big Sky,256,257,142,174,7-22,5-13,2-9,3-13,135,22,0-3,0-4,4-7,3-8
ETSU,SoCon,257,258,246,211,10-19,8-10,2-9,4-9,316,343,0-0,0-4,3-8,7-7
Southeastern La.,Southland,258,259,317,239,14-13,11-6,3-7,6-8,293,81,0-2,0-2,2-4,12-5
NIU,MAC,259,248,229,204,11-17,8-9,3-8,7-10,154,65,0-3,2-2,0-8,9-4
Bellarmine,ASUN,260,260,151,179,12-18,10-10,2-8,6-12,115,15,0-6,0-2,4-6,8-4
Southern U.,SWAC,261,262,326,243,12-15,10-6,2-9,5-12,198,13,0-4,0-2,0-2,12-7
Fairfield,MAAC,262,261,286,224,11-17,8-11,3-6,4-10,281,196,0-2,0-3,2-2,9-10
Boston U.,Patriot,263,263,331,245,14-16,8-10,6-6,6-10,333,276,0-1,0-2,0-5,14-8
Canisius,MAAC,264,265,222,203,8-19,7-12,1-7,3-12,254,120,0-2,0-3,1-5,7-9
Southeast Mo. St.,OVC,265,266,314,237,13-16,10-8,3-8,5-11,307,123,0-3,0-0,2-4,11-9
USC Upstate,Big South,266,264,268,218,13-14,10-8,3-6,4-12,272,124,0-2,0-1,4-6,9-5
American,Patriot,267,267,352,263,16-14,8-11,8-3,8-8,357,359,0-0,0-2,4-0,12-12
Lehigh,Patriot,268,268,314,237,14-13,11-7,3-6,7-8,314,183,0-2,0-3,1-2,13-6
Maine,America East,269,269,278,221,11-16,7-9,4-7,5-11,279,195,0-1,0-4,2-6,9-5
Loyola Chicago,Atlantic 10,270,270,132,169,9-19,3-13,6-6,2-8,137,229,0-3,1-5,2-7,6-4
Illinois St.,MVC,271,271,214,200,11-20,6-14,5-6,3-9,277,358,0-2,0-4,4-6,7-8
Bowling Green,MAC,272,280,251,212,9-19,5-12,4-7,4-10,297,352,0-1,0-2,2-9,7-7
Oakland,Horizon,273,272,196,194,12-18,11-9,1-9,5-9,215,42,0-2,0-5,3-6,9-5
Tennessee St.,OVC,274,275,357,269,14-13,10-8,4-5,4-8,362,350,0-0,0-2,1-2,13-9
UC San Diego,Big West,275,274,148,177,8-20,5-13,3-7,6-9,168,142,0-2,1-2,2-13,5-3
Morgan St.,MEAC,276,277,278,221,11-14,8-6,3-8,3-12,192,41,0-3,1-2,1-4,9-5
New Hampshire,America East,277,273,311,235,12-14,9-7,3-7,4-10,336,318,0-0,0-3,3-5,9-6
Mount St. Mary's,MAAC,278,276,283,223,10-19,7-12,3-7,6-10,276,204,0-3,0-1,3-3,7-12
Tennessee Tech,OVC,279,278,316,238,12-16,11-7,1-9,4-11,305,111,0-1,0-2,0-5,12-8
Prairie View,SWAC,280,279,323,242,10-18,8-9,2-9,4-14,256,36,0-4,0-0,1-3,9-11
Valparaiso,MVC,281,281,193,193,10-20,5-15,5-5,2-12,191,267,0-2,1-7,0-7,9-4
Denver,Summit League,282,283,322,241,13-16,6-12,7-4,4-11,312,326,0-2,0-1,0-6,13-7
North Dakota,Summit League,283,284,240,208,10-19,6-12,4-7,4-11,250,185,0-3,0-1,1-7,9-8
Lafayette,Patriot,284,282,275,220,9-22,7-11,2-11,4-15,260,130,0-2,0-4,2-6,7-10
Chicago St.,DI Independent,285,285,259,216,7-18,0-0,7-18,3-18,134,201,0-3,0-3,0-7,7-5
UIC,MVC,286,286,219,202,11-19,4-16,7-3,3-11,222,346,0-3,0-5,0-7,11-4
Dartmouth,Ivy League,287,288,187,191,7-18,5-8,2-10,3-11,237,336,1-0,0-3,3-9,3-6
Arkansas St.,Sun Belt,288,295,234,206,10-19,5-14,5-5,2-11,269,356,0-0,0-3,1-12,9-4
Miami (OH),MAC,289,296,222,203,9-18,6-11,3-7,3-8,238,217,0-1,0-4,1-6,8-7
High Point,Big South,290,289,289,225,12-16,6-12,6-4,2-11,334,297,0-0,1-1,0-8,11-7
Georgia St.,Sun Belt,291,290,148,177,7-21,3-16,4-5,0-11,233,325,0-1,0-3,2-9,5-8
ULM,Sun Belt,292,291,135,172,8-20,7-11,1-9,4-10,120,108,0-2,1-6,2-7,5-5
Coastal Carolina,Sun Belt,293,287,175,189,8-20,5-14,3-6,3-11,234,282,0-1,0-3,3-8,5-8
Marist,MAAC,294,293,336,248,10-17,6-12,4-5,4-8,358,362,0-0,0-1,0-5,10-11
CSU Bakersfield,Big West,295,297,178,190,8-19,6-12,2-7,3-10,258,261,0-1,0-4,2-9,6-5
South Dakota,Summit League,296,294,219,202,10-18,7-11,3-7,2-11,224,127,0-3,1-2,2-5,7-8
