seed_left,host_left,regional_left,team_1,team_2,team_3,team_4,seed_right,host_right,regional_right,team_5,team_6,team_7,team_8
1,Vanderbilt,Nashville,1,0,,,2,Texas,Austin,1,,,
16,Southern Miss,Hattiesburg,,1,0,,15,UCLA,Los Angeles,,,,
8,Oregon State,Corvallis,,,,,7,Georgia,Athens,1,0,,
9,Florida State,Tallahassee,0,,1,,10,Ole Miss,Oxford,1,0,,
5,North Carolina,Chapel Hill,0,1,,,6,LSU,Baton Rouge,1,,,
12,Oregon,Eugene,,,,,11,Clemson,Clemson,0,,1,
4,Auburn,Auburn,1,0,,,3,Arkansas,Fayetteville,1,,,
13,Coastal Carolina,Conway,,1,,,14,Tennessee,Knoxville,1,0,,
