,conference,total_bids,total_1s,total_2s,total_3s,total_4s,total_bids_after,total_1s_after,total_2s_after,total_3s_after,total_4s_after
4,Big Ten,4,2,0,2,0,1,1,0,0,0
7,Sun Belt,2,2,0,0,0,1,1,0,0,0
8,The American,2,0,1,1,0,1,0,1,0,0
15,DI Independent,1,1,0,0,0,1,1,0,0,0
20,MVC,1,0,0,0,1,1,0,0,0,1
3,Big 12,8,0,4,4,0,2,0,2,0,0
1,SEC,13,8,3,2,0,4,4,0,0,0
2,ACC,9,3,5,1,0,5,2,2,1,0
