"","conf","games","avg_diff","close_pct","blowout_pct","home_win_pct"
"1","ACC",12,10.1666666666667,0.583333333333333,0.25,0.727272727272727
"2","American",10,20.8,0.1,0.6,0.6
"3","Big 12",15,13.2666666666667,0.4,0.333333333333333,0.533333333333333
"4","Big Ten",14,14.2142857142857,0.357142857142857,0.357142857142857,0.5
"5","CUSA",5,15.8,0.4,0.6,0.6
"6","MAC",4,11.25,0.5,0.5,0.5
"7","Mountain West",4,21,0,0.25,0.5
"8","SEC",13,9.53846153846154,0.538461538461538,0.153846153846154,0.25
"9","Sun Belt",3,18.3333333333333,0.333333333333333,0.333333333333333,0
