year,opponent,rushing_attempts_allowed,rushing_yards_allowed,yards_per_rush_attempt_allowed,result,score
2014,Georgia Tech,51,376,7.37,W,48-43
2023,Georgia Tech,48,348,7.25,L,42-46
2014,East Carolina,46,343,7.46,L,41-70
2015,Duke,44,327,7.43,W,66-31
2017,Louisville,44,312,7.09,L,35-47
2022,Duke,42,297,7.07,W,38-35
2021,Notre Dame,42,296,7.05,L,34-44
2018,Duke,35,268,7.66,L,35-42
2015,Baylor,84,645,7.68,L,38-49
2014,Rutgers,42,340,8.10,L,21-40
2011,Missouri,46,337,7.33,L,24-41
