team,pts,w,l,t,gf,ga
Florida State,22,7,0,1,27,10
Clemson,19,6,1,1,20,6
Notre Dame,17,5,1,2,21,11
North Carolina,16,4,0,4,13,6
Pittsburgh,16,5,2,1,21,9
Wake Forest,10,2,2,4,11,12
Virginia,9,2,3,3,8,8
Duke,9,2,3,3,7,7
NC State,9,2,3,3,6,12
Virginia Tech,9,3,5,0,10,10
Louisville,8,2,4,2,7,14
Miami,7,2,5,1,5,17
Boston College,2,0,7,2,4,19
Syracuse,1,0,7,1,7,26
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
