"","label_group","category","PercentMins","NETRTG","ORTG","DRTG","ORBper"
"1","First 24 games  
14-10 overall","2-Guard",0.177,0.11,1.14,1.03,0.319
"2","First 24 games  
14-10 overall","3-Guard",0.709,0.07,1.11,1.04,0.292
"3","First 24 games  
14-10 overall","4-Guard",0.113,-0.03,1.1,1.13,0.288
"4","Last 5 games  
4-1 overall","2-Guard",0.379,0.3,1.37,1.07,0.462
"5","Last 5 games  
4-1 overall","3-Guard",0.621,0.01,1.19,1.18,0.387
"6","Last 5 games  
4-1 overall","4-Guard",0,0,0,0,0
