"","year","svi","def_svi","diff"
"1",2018,100.7775062,95.6737035,5.1038027
"2",2019,99.1971324,92.1500836,7.0470488
"3",2020,98.1189027,95.404008,2.7148947
"4",2021,97.8641404,92.996424,4.86771639999999
"5",2022,98.5609724,96.8696064,1.69136599999999
"6",2023,99.2621312,96.2236763,3.0384549
"7",2024,101.802667,96.5279364,5.27473060000001
"8",2025,98.2765436,97.9364286,0.340114999999997
