school,top_ten
Florida,30
North Carolina,25
Texas,25
UCLA,24
Texas A&M,23
Michigan,23
Tennessee,20
Florida State,20
Nebraska,19
Ohio State,15
Arizona State,12
Penn State,12
Georgia,12
LSU,11
Virginia,10
California,8
Arizona,8
Arkansas,7
Washington,6
Oklahoma,6
Alabama,6
Minnesota,4
Oregon,3
Kentucky,3
