Season,Date,Location,,,,Favorite
2022,1/9/23,"Inglewood, CA",Georgia (-13.5) vs TCU,65-7,Georgia,Yes
2002,1/3/03,"Tempe, AZ",Miami (-11.5) vs Ohio State,31-24,Ohio State,No
2013,1/6/14,"Pasadena, CA",Florida State (-11) vs Auburn,34-31,Florida State,No
2000,1/3/01,"Miami, FL",Florida State (-10.5) vs Oklahoma,13-2,Oklahoma,No
2012,1/7/13,"Miami, FL",Alabama (-10) vs Notre Dame,42-14,Alabama,Yes
2020,1/11/21,"Miami, FL",Alabama (-9.5) vs Ohio State,52-24,Alabama,Yes
2024,1/20/25,"Atlanta, GA",Ohio State (-8.5) vs Notre Dame,,Duke,
2001,1/3/02,"Pasadena, CA",Miami (-8) vs Nebraska,37-14,Miami,Yes
