"","x"
"1","UL Monroe"
"2","Wisconsin"
"3","Vanderbilt"
"4","Tennessee"
"5","LSU"
"6","Oklahoma"
"7","Florida State"
"8","Georgia"
"9","Missouri"
"10","South Carolina"
"11","Auburn"
