"","x"
"1","San José State"
"2","UTEP"
"3","Sam Houston"
"4","Oklahoma"
"5","Vanderbilt"
"6","Arkansas"
"7","Texas A&M"
"8","Ohio State"
"9","Florida"
"10","Kentucky"
"11","Mississippi State"
"12","Georgia"
