"","x"
"1","Nevada"
"2","Florida International"
"3","Oregon"
"4","Northwestern"
"5","Indiana"
"6","Nebraska"
"7","UCLA"
"8","Iowa"
"9","Ohio State"
"10","Michigan State"
"11","Rutgers"
