"","x"
"1","Texas"
"2","Ohio"
"3","Minnesota"
"4","Penn State"
"5","UCLA"
"6","Rutgers"
"7","Washington"
"8","Illinois"
"9","Wisconsin"
"10","Purdue"
"11","Michigan"
