"","year","n_transfers","total","pct","bar_right","bar_left","season_label","year_f","full_label"
"1",2023,289,2279,12.7,12.7,-12.7,"2022–23","2023","2022–23
12.7%
289 of 2,279 players"
"2",2024,335,2276,14.7,14.7,-14.7,"2023–24","2024","2023–24
14.7%
335 of 2,276 players"
"3",2025,458,2318,19.8,19.8,-19.8,"2024–25","2025","2024–25
19.8%
458 of 2,318 players"
"4",2026,523,2301,22.7,22.7,-22.7,"2025–26","2026","2025–26
22.7%
523 of 2,301 players"
