Season,Bench,B_Rank,Continuity,C_Rank
2008,30.4,194,66.6,60
2009,27.4,247,67.7,50
2010,36.5,62,30.5,319
2011,31.2,157,34.8,303
2012,27.3,247,70.2,35
2013,28.8,203,34,294
2014,31.1,163,55.9,140
2015,32.1,182,65.6,56
2016,33.9,142,75.7,12
2017,36.6,69,64.4,51
2018,27.3,277,40.8,246
2019,26.3,274,59.2,89
2020,31.5,140,24.3,325
2021,34.8,84,47,159
2022,19.8,348,58.9,100
2023,20.7,355,69.6,14
