Rank,Institution,Conference,Division,fall_final,w_cc_rank,w_cc_pts,m_cc_rank,m_cc_pts,w_fh_rank,w_fh_pts,fb_rank,fb_pts,w_soc_rank,w_soc_pts,m_soc_rank,m_soc_pts,w_vb_rank,w_vb_pts
57,Mississippi State,SEC,FBS,105,0,0,0,0,0,0,19,55,17,50,0,0,0,0
58,Iowa State,Big 12,FBS,103,32,26,32,27,0,0,0,0,0,0,0,0,17,50
59,Ole Miss,SEC,FBS,101,32,26,24,50,0,0,51,25,0,0,0,0,0,0
59,SMU,American,FBS,101,32,26,0,0,0,0,51,25,0,0,17,50,0,0
61,South Dakota State,Summit,FCS,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Utah State,Mountain West,FBS,98,0,0,26,48,0,0,51,25,0,0,0,0,33,25
63,California Baptist,WAC,DI,97,29,45,32,27,0,0,0,0,0,0,33,25,0,0
63,West Virginia,Big 12,FBS,97,27,47,0,0,0,0,0,0,17,50,0,0,0,0
65,Tulane,American,FBS,96,0,0,32,27,0,0,9,69,0,0,0,0,0,0
66,Colorado State,Mountain West,FBS,95,25,49,28,46,0,0,0,0,0,0,0,0,0,0
66,Western Kentucky,Conference USA,FBS,95,0,0,0,0,0,0,26,45,0,0,0,0,17,50
68,Cornell,Ivy League,FCS,91,0,0,32,27,0,0,0,0,0,0,9,64,0,0
68,Toledo,MAC,FBS,91,28,46,0,0,0,0,26,45,0,0,0,0,0,0
70,Indiana,Big Ten,FBS,90,0,0,0,0,0,0,0,0,0,0,2,90,0,0
70,New Mexico,Mountain West,FBS,90,2,90,0,0,0,0,0,0,0,0,0,0,0,0
70,North Dakota State,Summit,FCS,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Baylor,Big 12,FBS,89,0,0,0,0,0,0,51,25,0,0,0,0,9,64
73,Florida,SEC,FBS,89,0,0,0,0,0,0,51,25,0,0,0,0,9,64
75,Providence,Big East,DI,85.5,16,58.5,32,27,0,0,0,0,0,0,0,0,0,0
76,Incarnate Word,Southland,FCS,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Furman,SoCon,FCS,79,32,26,0,0,0,0,0,0,0,0,0,0,0,0
78,Liberty,ASUN,FBS,78,0,0,0,0,9,53,51,25,0,0,0,0,0,0
78,Miami (OH),MAC,FBS,78,0,0,0,0,9,53,51,25,0,0,0,0,0,0
78,Southeastern Louisiana,Southland,FCS,78,0,0,0,0,0,0,0,0,0,0,0,0,33,25
78,Texas A&M,SEC,FBS,78,32,26,32,27,0,0,0,0,33,25,0,0,0,0
