"","seed","team","conf","tram","adj_em","off_svi","def_svi","to_pct","or_pct","d_to_pct","d_or_pct","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"42",7,"Kentucky","SEC",2.74301450246648,21.4414,101.054343884217,98.3113293817505,0.150439,0.33777,0.158867,0.300885,120.48,99.039,53.1113,37.4818,48.7841,36.9727
"43",16,"Siena","MAAC",2.6352168046372,-2.1364,99.0388213701704,96.4036045655332,0.160022,0.319188,0.170964,0.290267,107.087,109.223,50.5579,34.2189,48.6118,27.2394
"44",14,"Penn","Ivy",2.61481591623379,1.3572,98.942412079993,96.3275961637592,0.15441,0.303207,0.177572,0.305274,107.336,105.979,50.3295,35.1708,51.72,27.4614
"45",5,"Wisconsin","B10",2.5573334188615,23.3911,101.594957914379,99.0376244955178,0.127961,0.294167,0.144798,0.281749,125.315,101.924,54.4634,31.9088,51.3304,30.479
"46",15,"Idaho","BSky",2.4302233935634,1.4482,98.7637952442358,96.3335718506724,0.150126,0.288947,0.151924,0.242259,108.748,107.3,51.8957,34.8078,50.3291,39.2211
"47",11,"Miami OH","MAC",2.19236229305511,9.298,98.1497689584851,95.95740666543,0.141977,0.256517,0.17194,0.283105,117.681,108.383,59.1115,40.0113,50.8681,30.6023
"48",1,"Michigan","B10",2.1754262290489,37.5828,99.8136960460144,97.6382698169655,0.167178,0.353832,0.154855,0.276799,126.578,88.995,58.0645,37.6833,44.7332,26.2645
"49",14,"Wright St.","Horz",2.15284586206019,2.0562,99.3108234839976,97.1579776219374,0.162847,0.332072,0.165103,0.291822,112.021,109.965,54.4212,37.9957,52.0844,33.5115
"50",12,"Northern Iowa","MVC",2.07108303619481,11.5746,96.01248979555,93.9414067593552,0.1455,0.220339,0.181414,0.263112,109.833,98.2587,54.1667,25.6989,47.2085,29.3377
"51",11,"Texas","SEC",1.90294278951301,19.123,101.570267550478,99.667324760965,0.15378,0.357009,0.132975,0.266546,124.121,104.998,53.8191,46.3164,50.9429,40.3556
"52",13,"Troy","SB",1.35198277610979,1.7877,99.2049539569378,97.852971180828,0.169878,0.347709,0.168955,0.316344,110.723,108.935,51.8827,36.3098,50.0798,32.1448
"53",14,"Kennesaw St.","CUSA",1.1813431905187,0.6369,99.831276312643,98.6499331221243,0.16737,0.354701,0.160693,0.312609,110.595,109.958,50.7192,45.1252,48.5014,47.4659
"54",6,"North Carolina","ACC",1.1084251124328,20.7912,101.100435789731,99.9920106772986,0.140383,0.313922,0.136294,0.281121,121.323,100.532,54.5646,37.4142,48.1674,23.8237
"55",13,"Hofstra","CAA",0.708238087637696,9.5386,100.259120584694,99.5508824970566,0.161501,0.348837,0.150101,0.305394,114.565,105.026,51.4722,32.4946,45.883,35.3738
"56",16,"UMBC","AE",0.674904571760507,-1.8966,97.9547791887856,97.2798746170251,0.140508,0.248988,0.150613,0.258993,108.777,110.674,54.1166,34.0766,49.3716,25.6831
"57",8,"Ohio St.","B10",0.664685018680586,22.2349,99.0665504116426,98.401865392962,0.154854,0.306921,0.157555,0.299556,124.27,102.035,56.5135,37.7838,50.3696,35.1109
"58",16,"LIU","NEC",0.658729047967299,-3.9572,96.5665973870894,95.9078683391221,0.190091,0.342806,0.189231,0.326069,105.609,109.567,53.2973,34.7244,49.7963,34.1141
"59",13,"Hawaii","BW",0.657570940969492,5.8571,95.342791233508,94.6852202925385,0.189372,0.31401,0.169245,0.249107,107.056,101.199,51.9759,42.4399,46.4206,36.0738
"60",9,"Saint Louis","A10",0.425070396859681,18.5735,97.0073173546715,96.5822469578118,0.174215,0.311459,0.161182,0.269891,119.52,100.946,59.7478,34.6821,44.7599,37.1709
"61",16,"Prairie View A&M","SWAC",0.346533828173605,-9.8763,96.7895800243136,96.44304619614,0.159584,0.270386,0.192616,0.346725,101.152,111.028,47.9398,42.1025,50.1321,43.2118
"62",10,"Missouri","SEC",0.249291798529896,15.3825,98.3747442790112,98.1254524804813,0.179642,0.355024,0.165579,0.313673,119.463,104.081,55.3483,42.4575,51.4454,35.0642
"63",5,"Texas Tech","B12",0.161724286215005,25.173,99.8539835115788,99.6922592253638,0.158531,0.332732,0.147077,0.300946,124.986,99.8126,56.1956,27.0865,49.4283,31.6008
"64",4,"Alabama","SEC",-0.894818938434085,25.6706,102.524432595306,103.41925153374,0.130135,0.318404,0.126393,0.327663,128.978,103.308,55.3843,37.1917,49.1837,32.6531
"65",15,"Queens","ASun",-0.983016100037588,-1.4221,99.7015674494172,100.684583549455,0.148372,0.304309,0.150497,0.330156,115.74,117.162,56.5948,36.3089,53.9742,38.7481
"66",4,"Kansas","B12",-2.11635140891441,24.3974,98.4595979189256,100.57594932784,0.155128,0.294793,0.139704,0.3014,118.302,93.9044,51.5657,32.5975,45.2347,27.682
"67",15,"Furman","SC",-3.2369413523322,-1.937,96.42627880566,99.6632201579922,0.17842,0.30957,0.136693,0.275286,107.455,109.392,54.793,32.1044,50.1078,28.9332
"68",16,"Lehigh","PL",-5.567295749081,-11.1371,93.0368799102678,98.6041756593488,0.176827,0.232126,0.161834,0.314488,101.858,112.995,52.9092,31.8108,50.5882,32.4808
