#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
570,Peter Dubie,BRWN,22,65.1,8.95,4.68,1.91,0.69,22.10%,11.60%,10.50%,0.235,1.42,0.298,67.40%,4.55,4.99,-0.45
571,Chris Diaz,FGCU,21,68,9.4,2.91,3.23,0.66,25.40%,7.90%,17.60%,0.216,1.12,0.282,64.50%,3.97,4.42,-0.45
572,Jase Evangelista,UNLV,21,44.2,12.49,3.22,3.88,1.61,31.30%,8.10%,23.20%,0.27,1.43,0.37,68.70%,5.44,5.89,-0.45
573,Ryan King,CSUB,,63.2,7.92,5.09,1.56,0.71,19.00%,12.20%,6.80%,0.272,1.63,0.333,66.70%,4.95,5.4,-0.45
574,Tyler Fay,ALA,22,85.1,10.44,2.11,4.95,1.69,28.10%,5.70%,22.40%,0.223,1.07,0.27,74.80%,4.43,4.88,-0.45
575,Connor Blue,CIN,,56,6.75,3.7,1.83,0.8,17.40%,9.50%,7.90%,0.258,1.39,0.301,63.60%,4.82,5.27,-0.45
576,Karsten Sweum,GONZ,,77.1,12.57,3.96,3.18,0.93,32.20%,10.10%,22.10%,0.214,1.25,0.309,70.00%,4.07,4.53,-0.45
577,Micah Hagler,SEA,21,62.1,5.05,3.61,1.4,1.16,11.30%,8.00%,3.20%,0.26,1.57,0.273,57.70%,5.92,6.37,-0.45
578,Jaxon Jelkin,UK,23,82.2,10.23,1.85,5.53,1.31,28.00%,5.10%,22.90%,0.22,1.04,0.275,67.80%,3.59,4.05,-0.46
579,Logan Knight,CIN,,65,8.31,2.22,3.75,1.66,21.30%,5.70%,15.60%,0.242,1.23,0.271,64.40%,4.98,5.44,-0.46
580,Tyler Bayer,KENN,20,47.2,6.23,4.15,1.5,2.08,14.40%,9.60%,4.80%,0.33,1.83,0.353,66.20%,7.36,7.83,-0.46
581,Jason Gerfers,LBSU,,72.1,8.59,5.1,1.68,0.87,19.20%,11.40%,7.80%,0.213,1.45,0.253,63.30%,5.35,5.82,-0.47
582,Cameron Johnson,OU,21,53.2,12.07,7.04,1.71,0.5,29.10%,17.00%,12.10%,0.199,1.51,0.298,69.90%,4.02,4.5,-0.47
583,Myles McDermott,UNH,,47.1,5.7,5.7,1,1.52,12.00%,12.00%,0.00%,0.308,1.99,0.329,51.70%,8.56,9.03,-0.47
584,David Lopez,HCU,,52,11.94,5.71,2.09,0.52,29.00%,13.90%,15.10%,0.215,1.46,0.313,71.60%,3.98,4.45,-0.47
585,Kyle Alivo,IOWA,20,46,11.74,4.5,2.61,0.59,29.10%,11.20%,18.00%,0.243,1.41,0.355,76.30%,3.72,4.19,-0.47
586,Maddox Meyer,OMA,20,64,7.45,1.13,6.63,1.27,18.70%,2.80%,15.90%,0.297,1.39,0.341,61.20%,4.78,5.26,-0.48
587,Joseph Ruller,QUC,,90.2,7.84,2.48,3.16,0.89,20.70%,6.50%,14.10%,0.256,1.26,0.308,66.10%,4.47,4.94,-0.48
588,Conor Hensley,CAM,23,48.1,11.54,3.91,2.95,0.93,28.30%,9.60%,18.70%,0.269,1.51,0.373,64.80%,4.28,4.76,-0.48
589,Josh McDevitt,MIZ,22,73.2,11.48,4.52,2.54,1.1,29.70%,11.70%,18.00%,0.196,1.22,0.262,68.30%,4.03,4.51,-0.48
590,Mitchell Heer,USA,,75.2,7.85,3.45,2.28,0.83,19.30%,8.50%,10.80%,0.267,1.44,0.322,68.60%,4.76,5.24,-0.48
591,Dylan Marionneaux,NWST,,84.2,8.61,1.91,4.5,0.64,23.30%,5.20%,18.20%,0.228,1.09,0.287,67.70%,3.51,3.99,-0.48
592,Maximus McCrary,MSM,22,52.2,9.23,3.25,2.84,1.03,24.40%,8.60%,15.80%,0.216,1.16,0.269,67.70%,4.78,5.27,-0.48
593,Drew Talavs,SDSU,,55,9,4.91,1.83,1.96,21.00%,11.50%,9.50%,0.276,1.67,0.316,59.60%,7.36,7.85,-0.48
594,Brayden Olson,STMN,22,70,8.49,4.89,1.74,1.03,19.40%,11.10%,8.20%,0.272,1.67,0.329,60.60%,5.91,6.4,-0.49
595,J.J. Gatti,ODU,22,57.2,8.58,4.37,1.96,0.47,21.40%,10.90%,10.50%,0.215,1.3,0.273,64.40%,4.37,4.86,-0.49
596,Ryan Parker,SHU,25,80.1,5.83,4.26,1.37,0.9,13.70%,10.00%,3.70%,0.284,1.64,0.317,61.20%,5.6,6.09,-0.49
597,Joshua Torres,UCR,21,62,5.08,4.94,1.03,0.73,11.60%,11.30%,0.30%,0.289,1.74,0.319,63.40%,5.66,6.16,-0.5
598,Brady Hoar,BUCK,,68.1,6.06,3.29,1.84,0.53,15.80%,8.60%,7.20%,0.224,1.21,0.258,59.20%,4.61,5.11,-0.5
599,Easten Smith,AMCC,,50,6.84,3.78,1.81,1.26,17.40%,9.60%,7.80%,0.232,1.32,0.255,64.20%,5.4,5.91,-0.51
600,Luke Richard,MVSU,,69.1,6.23,4.02,1.55,1.3,13.70%,8.80%,4.80%,0.347,2.02,0.387,56.80%,6.88,7.39,-0.51
601,Colin Linder,ASU,22,46.1,11.27,6.02,1.87,1.17,27.60%,14.80%,12.90%,0.218,1.49,0.291,70.10%,5.05,5.57,-0.52
602,Miles Gosztola,ORE,20,46,10.57,3.52,3,0.98,24.90%,8.30%,16.60%,0.197,1.22,0.246,76.40%,3.91,4.43,-0.52
603,Tanner Foerstch,OMA,20,59.1,7.58,3.49,2.17,1.06,18.50%,8.50%,10.00%,0.284,1.55,0.333,66.10%,5.31,5.83,-0.52
604,Jeremy Cheeseman,FDU,21,64.1,6.44,3.78,1.7,0.98,15.30%,9.00%,6.30%,0.317,1.73,0.363,62.60%,6.58,7.1,-0.53
605,Ryne Palmer,CBU,,50,10.26,4.5,2.28,0.9,25.90%,11.40%,14.50%,0.205,1.28,0.266,62.90%,4.5,5.03,-0.53
606,Collin Clarke,ORE,21,73.1,8.96,2.21,4.06,1.35,22.50%,5.50%,16.90%,0.235,1.19,0.278,68.90%,4.54,5.07,-0.53
607,Cristofer Cespedes,MD,20,51.2,12.19,4.18,2.92,1.22,29.90%,10.30%,19.70%,0.233,1.37,0.32,70.80%,4.18,4.71,-0.53
608,Will Sanford,ORE,20,68.1,12.64,4.74,2.67,1.05,31.80%,11.90%,19.90%,0.189,1.23,0.267,73.10%,4.08,4.62,-0.54
609,Tyler Ryden,SHSU,,51.2,6.79,5.05,1.34,1.05,15.70%,11.70%,4.00%,0.278,1.68,0.317,65.50%,5.92,6.46,-0.54
610,William Schmidt,LSU,20,64,11.95,4.36,2.74,1.41,30.10%,11.00%,19.10%,0.221,1.33,0.295,74.40%,4.22,4.76,-0.54
611,Jackson Miller,BGSU,19,44.2,9.67,4.63,2.09,1.41,23.80%,11.40%,12.40%,0.276,1.59,0.345,66.50%,5.84,6.39,-0.54
612,Luka Pintar,SJSU,,49.2,6.16,3.08,2,0.54,15.00%,7.50%,7.50%,0.26,1.41,0.299,64.10%,5.26,5.8,-0.54
613,Diego Cardenas,GMU,23,59.2,5.58,3.62,1.54,1.21,13.90%,9.00%,4.90%,0.254,1.41,0.272,58.40%,5.73,6.28,-0.54
614,Carlos Martinez,HOF,,64.2,11.41,3.48,3.28,0.56,30.90%,9.40%,21.50%,0.23,1.22,0.336,72.70%,3.48,4.03,-0.55
615,Cooper Corkrean,UNM,,52.2,9.23,3.76,2.45,1.03,23.00%,9.40%,13.60%,0.261,1.44,0.327,62.50%,5.47,6.02,-0.55
616,Mateo Gray,UCF,20,57.1,7.38,2.51,2.94,1.1,18.10%,6.20%,11.90%,0.283,1.43,0.33,69.70%,4.87,5.42,-0.55
617,Ryan Mealy,MONM,,71,7.1,2.66,2.67,1.52,17.30%,6.50%,10.80%,0.318,1.63,0.359,67.50%,5.45,6,-0.55
618,Zach Sohosky,M-OH,22,72.1,8.34,3.61,2.31,1,20.20%,8.70%,11.40%,0.273,1.53,0.329,57.40%,4.98,5.53,-0.55
619,Austin Beard,MONM,,42,6.21,4.71,1.32,0.64,15.30%,11.60%,3.70%,0.247,1.45,0.286,65.30%,5.57,6.13,-0.56
620,Jake Hilton,SMC,22,51,7.06,4.41,1.6,0.88,16.80%,10.50%,6.30%,0.245,1.49,0.282,68.90%,5.29,5.85,-0.56
621,Ty Brooks,INST,20,71.1,6.56,4.04,1.63,0.63,16.80%,10.40%,6.50%,0.239,1.36,0.279,63.20%,4.92,5.48,-0.56
622,Mick Uebelhor,WKU,21,44.1,11.98,2.03,5.9,0.41,34.50%,5.80%,28.70%,0.19,0.9,0.289,74.60%,2.44,3,-0.57
623,James Hays,STET,22,68.1,9.75,2.63,3.7,1.19,24.50%,6.60%,17.90%,0.263,1.35,0.33,69.80%,4.48,5.05,-0.57
624,Tyler Patrick,FRES,,57,4.58,2.53,1.81,2.05,10.20%,5.70%,4.60%,0.354,1.88,0.363,63.80%,7.74,8.31,-0.57
625,Mason Edwards,USC,,84.1,16.43,3.95,4.16,0.32,45.40%,10.90%,34.50%,0.144,0.95,0.284,84.00%,1.49,2.07,-0.58
626,Ryan Penney,PRIN,,34.2,7.01,3.12,2.25,1.04,17.10%,7.60%,9.50%,0.239,1.27,0.272,63.50%,5.45,6.03,-0.58
627,Brandon Kosel,UTU,21,51,7.94,4.06,1.96,1.24,19.70%,10.10%,9.60%,0.26,1.47,0.304,65.50%,5.29,5.87,-0.58
628,Cooper Golden,MCN,,68.1,7.64,3.82,2,1.19,18.80%,9.40%,9.40%,0.287,1.55,0.338,71.20%,5.4,5.98,-0.58
629,AJ Petraitis,LEM,22,77,6.19,4.56,1.36,1.64,14.50%,10.70%,3.80%,0.283,1.69,0.303,56.70%,7.6,8.18,-0.58
630,Noah Andrunas,SLU,,64,4.5,1.55,2.91,0.84,11.50%,4.00%,7.60%,0.267,1.27,0.286,59.30%,4.64,5.23,-0.59
631,Champ Davis,WOF,,45.1,7.74,4.17,1.86,0.6,18.20%,9.80%,8.40%,0.294,1.68,0.359,72.00%,4.17,4.77,-0.6
632,Austin McNabb,DAY,,48,9.56,4.13,2.32,1.31,22.40%,9.60%,12.70%,0.281,1.63,0.348,73.10%,5.25,5.85,-0.6
633,Aidan Donovan,MSU,20,79.2,6.33,2.26,2.8,0.79,16.50%,5.90%,10.60%,0.257,1.27,0.294,70.40%,3.84,4.44,-0.6
634,Cade Townsend,MISS,21,55.1,12.52,2.28,5.5,1.46,30.90%,5.60%,25.30%,0.181,1.01,0.226,75.40%,3.25,3.85,-0.6
635,Mikey Myro,BUCK,,39.1,7.09,7.55,0.94,1.6,15.20%,16.20%,-1.00%,0.294,2.06,0.328,59.30%,7.55,8.15,-0.6
636,Austin Klug,PUR,23,51.2,6.45,4.35,1.48,0.87,15.00%,10.20%,4.90%,0.24,1.49,0.269,66.20%,4.7,5.31,-0.61
637,Drew Deremer,MUR,21,52,5.54,3.98,1.39,1.21,12.50%,9.00%,3.50%,0.259,1.54,0.276,64.50%,6.4,7.01,-0.61
638,Spencer Seid,GTWN,23,79,9,3.19,2.82,0.57,23.70%,8.40%,15.30%,0.222,1.19,0.286,61.10%,3.99,4.6,-0.61
