#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
698,Andrelys Payamps,IONA,24,54,11.5,4.5,2.56,0.83,28.20%,11.00%,17.10%,0.25,1.48,0.348,64.60%,4,4.78,-0.78
699,Stormy Rhodes,OKST,21,51.1,8.77,3.33,2.63,0.7,19.40%,7.40%,12.00%,0.237,1.44,0.287,69.00%,3.86,4.64,-0.78
700,Ty Horn,NEB,21,75,9,2.76,3.26,1.32,23.70%,7.30%,16.40%,0.236,1.21,0.282,74.80%,4.08,4.87,-0.79
701,Cord Rager,OU,19,47.1,11.6,3.42,3.39,2.47,28.40%,8.40%,20.00%,0.188,1.14,0.197,76.60%,5.32,6.12,-0.79
702,Owen MacDonnell,LAS,,64,8.86,5.34,1.66,0.84,21.00%,12.70%,8.30%,0.266,1.61,0.337,63.10%,5.34,6.14,-0.8
703,Chase Frey,GCU,21,67.2,9.18,2.26,4.06,0.93,23.40%,5.80%,17.60%,0.226,1.14,0.279,61.90%,4.79,5.58,-0.8
704,Jackson Klein,MAN,,46,6.26,3.33,1.88,0.98,14.40%,7.70%,6.80%,0.343,1.85,0.391,68.20%,5.09,5.89,-0.8
705,Landon Stump,UCLA,21,49,7.16,4.04,1.77,1.1,18.60%,10.50%,8.10%,0.239,1.35,0.273,64.90%,4.59,5.39,-0.8
706,Kevin Reed,EVAN,,57.1,6.12,4.55,1.34,1.41,14.50%,10.80%,3.70%,0.284,1.66,0.31,67.50%,6.28,7.09,-0.81
707,Charles West,CONN,20,80.2,11.83,3.57,3.31,1,29.50%,8.90%,20.60%,0.256,1.4,0.358,72.70%,4.02,4.83,-0.81
708,Justin Kim,PRIN,,60,8.25,3.9,2.12,1.2,20.10%,9.50%,10.60%,0.244,1.42,0.285,71.10%,4.65,5.46,-0.81
709,Peter Lemke,DUKE,21,52.1,8.08,5.33,1.52,1.2,19.30%,12.70%,6.60%,0.243,1.53,0.284,62.80%,5.33,6.15,-0.81
710,Finnegan Wall,UCI,23,58,7.29,2.95,2.47,0.78,18.40%,7.50%,11.00%,0.291,1.48,0.348,71.80%,4.03,4.85,-0.82
711,Nick Reese,HOF,,40.1,6.69,5.8,1.15,0.89,15.90%,13.80%,2.10%,0.256,1.64,0.295,56.40%,5.8,6.62,-0.82
712,Gavin Seebold,IU,24,44.1,11.37,5.28,2.15,1.42,27.90%,12.90%,14.90%,0.237,1.49,0.311,74.00%,4.67,5.49,-0.82
713,Landon Fontenot,LT,,48.2,8.69,4.81,1.81,0.92,22.00%,12.10%,9.80%,0.221,1.36,0.271,69.70%,4.81,5.64,-0.83
714,Jack Molini,LEM,,46,6.26,6.07,1.03,1.57,13.50%,13.10%,0.40%,0.323,2.09,0.354,59.00%,7.83,8.66,-0.83
715,Matt Cuccias,WICH,21,70,9.13,3.73,2.45,0.39,23.40%,9.60%,13.90%,0.19,1.14,0.247,62.30%,3.09,3.92,-0.83
716,Sawyer Jensen,DAY,,74.1,7.39,2.78,2.65,1.33,18.40%,6.90%,11.50%,0.258,1.32,0.292,65.30%,5.33,6.16,-0.83
717,Aaron Jungers,LIN,22,49,7.9,2.2,3.58,0.37,21.10%,5.90%,15.20%,0.234,1.14,0.294,66.40%,3.12,3.96,-0.84
718,Torin Kassebaum,LIU,,43.1,6.02,3.12,1.93,0.62,14.10%,7.30%,6.80%,0.257,1.41,0.293,61.00%,6.02,6.87,-0.85
719,Cal Scolari,ORE,22,44,13.5,4.5,3,1.02,35.90%,12.00%,23.90%,0.21,1.25,0.326,81.10%,3.27,4.12,-0.85
720,Alex Walsh,JAX,22,68.2,9.04,4.06,2.23,0.66,22.30%,10.00%,12.30%,0.244,1.41,0.31,73.50%,4.06,4.91,-0.85
721,Brendan Garza,BALL,20,79.2,7.79,3.39,2.3,1.02,19.10%,8.30%,10.80%,0.276,1.49,0.327,66.70%,4.97,5.82,-0.85
722,Danny Cihocki,NIU,,80,7.76,3.04,2.56,1.24,20.10%,7.90%,12.20%,0.255,1.33,0.296,69.40%,5.06,5.92,-0.86
723,Ian Korn,WVU,23,54.2,8.23,1.32,6.25,0.49,23.70%,3.80%,19.90%,0.229,0.99,0.291,77.20%,2.63,3.49,-0.86
724,Jacob Price,EKU,,79.2,7.12,2.49,2.86,1.47,18.20%,6.40%,11.80%,0.254,1.29,0.28,63.50%,4.97,5.83,-0.86
725,Chase Mayer,AMCC,,45.1,10.52,3.18,3.31,0.99,28.20%,8.50%,19.70%,0.206,1.13,0.268,71.70%,3.57,4.45,-0.88
726,Christian Aiello,RID,23,48,11.81,3.56,3.32,0.75,30.40%,9.20%,21.30%,0.208,1.19,0.293,76.20%,3.38,4.26,-0.88
727,Steven Svenson,HALL,,65,6.65,2.49,2.67,0.69,16.80%,6.30%,10.50%,0.259,1.29,0.302,57.30%,4.43,5.31,-0.88
728,Jack Pineau,CREI,21,74.2,9.76,2.65,3.68,0.84,24.80%,6.70%,18.00%,0.225,1.17,0.289,71.90%,4.1,4.98,-0.88
729,Tanner Wiggins,RICE,21,78.1,5.63,1.84,3.06,0.92,14.20%,4.60%,9.50%,0.29,1.39,0.322,75.80%,4.02,4.92,-0.9
730,Sam Stockman,STMN,21,52,5.88,5.19,1.13,0.69,13.80%,12.10%,1.60%,0.256,1.6,0.29,60.60%,5.71,6.62,-0.9
731,Gage Wheaton,NIA,,61,6.49,6.79,0.96,0.59,14.90%,15.60%,-0.70%,0.266,1.82,0.311,67.00%,5.31,6.22,-0.91
732,Tyler Ray,UTU,,66.1,7.6,3.66,2.07,1.76,19.20%,9.20%,9.90%,0.25,1.4,0.272,59.40%,5.43,6.33,-0.91
733,Zane Brown,BEL,21,56.1,6.23,2.56,2.44,1.44,16.20%,6.60%,9.50%,0.237,1.21,0.251,63.50%,5.43,6.34,-0.91
734,Andrew Koshy,MD,21,44.2,8.46,6.04,1.4,1.21,19.50%,14.00%,5.60%,0.243,1.59,0.289,67.40%,5.84,6.76,-0.91
735,Dawson Richard,NICH,,48,7.69,5.44,1.41,0.75,18.50%,13.10%,5.40%,0.242,1.54,0.291,62.30%,4.88,5.79,-0.92
736,Tommy Scavone,PEPP,,71,7.61,2.28,3.33,0.76,20.30%,6.10%,14.20%,0.238,1.14,0.286,70.10%,4.18,5.1,-0.92
737,Justin Byrd,UGA,22,47,11.49,1.72,6.67,2.3,30.00%,4.50%,25.50%,0.186,0.94,0.198,82.80%,4.21,5.13,-0.92
738,Brandon Peterson,NJIT,22,43.2,7.63,5.36,1.42,0.41,18.60%,13.10%,5.50%,0.256,1.6,0.316,70.40%,3.92,4.84,-0.93
739,Kaden Segel,PORT,23,64,6.47,1.69,3.83,0.84,16.70%,4.40%,12.40%,0.277,1.31,0.317,72.50%,3.94,4.87,-0.93
740,Cade Smith,TXST,,55.2,6.14,0.81,7.6,1.13,15.30%,2.00%,13.30%,0.306,1.38,0.342,70.90%,4.2,5.14,-0.93
741,Clayton Poliey,RID,22,55,5.56,4.25,1.31,1.47,14.00%,10.70%,3.30%,0.282,1.58,0.301,62.30%,5.73,6.66,-0.94
742,Cole Roberts,GAST,22,61.2,7.88,3.21,2.45,2.04,20.10%,8.20%,11.90%,0.251,1.33,0.269,66.80%,5.84,6.77,-0.94
743,Hekili Robello,HAW,,82.1,8.09,1.86,4.35,0.55,22.00%,5.00%,16.90%,0.238,1.11,0.297,71.00%,3.06,4,-0.94
744,Trey Ates,ARMY,,60.1,6.27,5.37,1.17,0.3,15.30%,13.10%,2.20%,0.19,1.29,0.226,61.20%,5.07,6.01,-0.94
745,Lucas Hartman,UVA,23,60,9.45,3.45,2.74,0.9,24.30%,8.90%,15.40%,0.234,1.28,0.296,69.30%,3.45,4.39,-0.94
746,Cal Rutherford,EMU,20,46.1,7.19,5.05,1.42,1.75,17.90%,12.60%,5.30%,0.237,1.45,0.252,60.90%,6.8,7.75,-0.95
747,Thomas Harper,ILST,22,57.1,8.01,3.77,2.13,1.26,19.20%,9.00%,10.20%,0.27,1.48,0.317,70.20%,5.65,6.6,-0.95
748,Declan Dahl,LT,,78.2,10.98,2.17,5.05,1.03,29.40%,5.80%,23.60%,0.228,1.12,0.305,74.60%,3.2,4.16,-0.96
749,Brendan Callanan,IONA,20,64.1,5.04,4.76,1.06,0.56,12.00%,11.30%,0.70%,0.28,1.66,0.312,66.10%,4.9,5.85,-0.96
750,Nick Finarelli,LIU,,77.1,10.36,3.96,2.62,0.7,26.00%,9.90%,16.10%,0.245,1.38,0.33,67.20%,4.89,5.85,-0.96
751,Erik Hoffberg,GONZ,21,43.1,8.93,4.57,1.95,1.45,21.50%,11.00%,10.50%,0.271,1.57,0.325,69.50%,5.61,6.58,-0.97
752,Cooper Katskee,NEB,22,59,9.46,3.51,2.7,2.14,24.40%,9.10%,15.40%,0.229,1.27,0.252,64.00%,5.19,6.16,-0.97
753,Luke Teschke,ILST,,58.2,7.52,5.98,1.26,0.61,18.80%,14.90%,3.80%,0.202,1.41,0.242,61.40%,4.91,5.89,-0.98
754,Jayden Lopez,JKST,22,78,9.92,5.65,1.76,1.38,24.10%,13.70%,10.40%,0.241,1.55,0.299,61.80%,6.35,7.33,-0.98
755,Everett Garber,BUCK,20,48.2,9.25,5.18,1.79,0.92,22.40%,12.60%,9.90%,0.257,1.56,0.326,67.50%,4.81,5.79,-0.98
756,Gianni Gambradella,ME,22,65.2,4.39,4.39,1,1.37,10.60%,10.60%,0.00%,0.26,1.55,0.264,62.90%,5.62,6.6,-0.98
757,Ryan Piech,XAV,20,68.2,11.67,3.67,3.18,0.79,30.80%,9.70%,21.10%,0.203,1.17,0.286,75.70%,3.41,4.39,-0.98
758,Ty Davis,BRY,,50,8.28,5.04,1.64,1.08,20.00%,12.20%,7.80%,0.232,1.44,0.275,71.40%,5.22,6.21,-0.99
759,Tate Evans,YALE,22,79.1,8.85,1.59,5.57,0.45,23.60%,4.20%,19.30%,0.217,1.01,0.279,75.50%,2.72,3.72,-1
760,Aidan Coleman,ACU,21,69,6.13,2.35,2.61,2.22,15.20%,5.80%,9.40%,0.285,1.43,0.291,60.80%,6.13,7.14,-1
761,Isaiah Magdaleno,HAW,21,89,11.33,3.03,3.73,0.3,31.50%,8.50%,23.10%,0.162,0.91,0.24,74.90%,2.33,3.33,-1.01
762,Tadan Bell,ETSU,,60,8.25,3.15,2.62,1.35,20.50%,7.80%,12.70%,0.28,1.48,0.33,77.10%,4.2,5.21,-1.01
763,Landon Hood,GONZ,,47.2,13.22,3.59,3.68,0.57,35.40%,9.60%,25.80%,0.168,1.01,0.26,76.30%,2.83,3.84,-1.01
764,James Borsari,MRMK,,48.1,4.66,1.49,3.13,1.49,11.20%,3.60%,7.60%,0.313,1.51,0.326,71.60%,5.4,6.41,-1.01
765,Nate Vargo,MERC,21,68.2,6.03,3.15,1.92,0.52,14.60%,7.60%,7.00%,0.269,1.47,0.309,61.80%,5.11,6.12,-1.01
766,Christian Keel,BRWN,22,38.2,8.38,5.82,1.44,0.23,20.70%,14.40%,6.30%,0.197,1.37,0.257,68.30%,3.96,4.97,-1.01
767,Ben Moulin,PENN,19,34.2,6.75,4.41,1.53,0.52,16.10%,10.60%,5.60%,0.252,1.5,0.297,72.00%,4.15,5.17,-1.01
768,Cayden Suchy,CONN,20,86.1,10.84,2.19,4.95,0.52,29.80%,6.00%,23.80%,0.219,1.07,0.307,74.20%,2.61,3.62,-1.01
769,Jackson Gowan,QUC,,66.1,5.43,4.34,1.25,1.49,13.20%,10.50%,2.60%,0.282,1.6,0.299,67.60%,6.11,7.12,-1.01
770,Sam Cozart,TEX,19,45.1,13.1,2.38,5.5,0.6,39.30%,7.10%,32.10%,0.112,0.64,0.169,83.30%,1.59,2.61,-1.02
771,Mason Cook,KU,,55.2,9.22,3.4,2.71,1.29,23.30%,8.60%,14.70%,0.238,1.29,0.289,72.00%,4.53,5.55,-1.02
772,Luke VanMarter,LEM,,54.1,7.12,7.79,0.91,1.82,15.20%,16.60%,-1.40%,0.293,2.12,0.32,56.90%,8.28,9.3,-1.02
773,Bromley Thornton,UNCW,21,58,9.62,4.5,2.14,0.78,23.50%,11.00%,12.50%,0.228,1.36,0.296,71.60%,4.66,5.68,-1.02
774,Russ Smith,DBU,,57.2,8.74,5.31,1.65,1.56,21.20%,12.90%,8.30%,0.245,1.53,0.286,70.20%,5.77,6.8,-1.02
775,Harry Cain,KENN,,52.1,9.46,2.24,4.23,1.72,25.20%,6.00%,19.30%,0.223,1.11,0.255,68.10%,4.47,5.5,-1.02
776,Casey Euper,PEPP,,69.2,8.27,3.1,2.67,0.26,20.90%,7.80%,13.10%,0.235,1.26,0.301,69.30%,3.36,4.38,-1.03
777,Thomas Santana,COLU,,59.2,7.69,4.37,1.76,1.21,18.10%,10.30%,7.80%,0.263,1.53,0.305,68.90%,5.28,6.31,-1.03
778,Luke Lang,IONA,,52.1,9.29,4.3,2.16,0.52,23.30%,10.80%,12.50%,0.251,1.45,0.329,76.50%,3.61,4.64,-1.03
779,Andrew Berg,ARMY,,82.2,6.31,3.05,2.07,0.65,15.90%,7.70%,8.20%,0.254,1.35,0.292,63.00%,4.03,5.06,-1.04
780,Nic Schutte,MUR,22,75.2,8.92,4.04,2.21,0.48,21.70%,9.80%,11.80%,0.247,1.4,0.319,70.60%,4.28,5.32,-1.04
781,Zachary Peters,VCU,23,44.1,15.83,4.47,3.55,0.2,42.60%,12.00%,30.60%,0.157,1.06,0.3,79.80%,1.62,2.66,-1.04
782,Luc Rising,NE,22,70.2,8.66,2.42,3.58,0.38,22.90%,6.40%,16.50%,0.213,1.08,0.274,67.20%,3.18,4.23,-1.04
783,Richard De Jesus,UMES,,71,5.7,4.56,1.25,0.76,13.00%,10.40%,2.60%,0.272,1.63,0.305,59.40%,6.46,7.51,-1.04
784,Clayton Freshcorn,TA&M,21,42.2,10.34,1.05,9.8,0.84,26.90%,2.70%,24.20%,0.225,1.03,0.292,87.30%,2.11,3.16,-1.05
785,Jesus Campa,FAMU,24,49.2,5.44,5.07,1.07,0.91,12.30%,11.50%,0.80%,0.264,1.67,0.289,56.00%,6.52,7.58,-1.05
786,Jaden Wywoda,HC,22,79.2,7.68,2.37,3.24,0.56,20.50%,6.30%,14.20%,0.207,1.04,0.251,68.60%,3.5,4.57,-1.06
787,Tim Teixeira,SIUE,,80.1,7.95,3.25,2.45,1.12,20.60%,8.40%,12.20%,0.228,1.23,0.265,66.70%,4.37,5.44,-1.07
788,Kendall Lyons,UIC,22,52.1,6.54,5.5,1.19,1.03,15.20%,12.80%,2.40%,0.298,1.8,0.341,66.90%,5.85,6.92,-1.07
789,Titus Von Kapff,CHSO,,77.1,6.05,4.07,1.49,1.4,14.70%,9.90%,4.80%,0.273,1.54,0.295,68.60%,5.7,6.79,-1.09
790,Oliver De La Torre,CAL,,81.1,7.97,2.55,3.13,1.22,21.20%,6.80%,14.40%,0.225,1.14,0.259,67.00%,3.76,4.85,-1.09
791,Chris Messina,FDU,,48.1,8.75,1.68,5.22,0.74,23.60%,4.50%,19.10%,0.246,1.12,0.311,61.40%,4.47,5.56,-1.09
792,Kendall Hoffman,HOU,,79,6.27,2.16,2.89,1.25,15.70%,5.40%,10.30%,0.266,1.32,0.291,63.60%,4.56,5.65,-1.09
793,Tyler Weimer,ARST,20,56.1,8.47,2.08,4.08,0.8,23.30%,5.70%,17.60%,0.216,1.05,0.265,73.60%,3.04,4.13,-1.1
794,Pierce Herrenbruck,OSU,21,73.1,6.75,2.45,2.75,0.98,16.60%,6.00%,10.50%,0.256,1.31,0.291,69.10%,4.05,5.15,-1.1
795,Jason Kreiger,ME,,82.1,5.25,3.5,1.5,0.66,13.20%,8.80%,4.40%,0.269,1.43,0.301,70.70%,4.37,5.47,-1.1
796,Ryan Marohn,NCSU,21,45.1,12.31,4.37,2.82,0.99,33.50%,11.90%,21.60%,0.203,1.19,0.297,75.00%,3.18,4.28,-1.1
797,Jack Messmore,YSU,22,72.1,5.72,3.73,1.53,1.24,14.00%,9.10%,4.90%,0.276,1.53,0.298,64.40%,5.85,6.95,-1.1
798,Micah Worley,STBK,22,69.1,12.07,4.02,3,0.65,31.20%,10.40%,20.80%,0.215,1.25,0.313,67.40%,3.12,4.22,-1.11
799,Walker McDuffie,UNC,20,54,11.67,5.33,2.19,0.17,29.00%,13.30%,15.80%,0.163,1.2,0.244,80.70%,2.5,3.61,-1.11
800,Bradley Zayac,LIB,,70.1,7.42,1.92,3.87,0.51,19.00%,4.90%,14.10%,0.222,1.11,0.266,72.70%,3.07,4.18,-1.11
801,Gavin Kuzniewski,OSU,20,75.1,7.53,4.3,1.75,1.31,18.60%,10.60%,8.00%,0.239,1.39,0.27,69.50%,4.9,6.02,-1.12
802,Cooper Carlgren,LAM,,46,9.78,4.5,2.17,0.98,24.30%,11.20%,13.10%,0.223,1.35,0.283,71.40%,4.3,5.43,-1.12
803,Jacob Hustedde,MUR,,57.2,7.8,3.75,2.08,1.4,19.50%,9.40%,10.20%,0.25,1.39,0.285,67.60%,5.31,6.43,-1.13
804,Harrison Dubois,WIU,24,55,7.53,3.27,2.3,1.15,18.60%,8.10%,10.50%,0.288,1.51,0.337,67.70%,4.58,5.71,-1.13
805,James Geshel,EIU,23,44,9.61,3.68,2.61,1.43,23.20%,8.90%,14.30%,0.247,1.41,0.298,74.30%,4.7,5.84,-1.14
806,Matt Gallant,CHSO,,54.2,6.09,2.14,2.85,1.81,15.10%,5.30%,9.80%,0.303,1.5,0.322,68.00%,5.43,6.57,-1.14
807,Gavin Lyons,TA&M,20,57.2,6.87,2.81,2.44,1.87,16.20%,6.60%,9.60%,0.269,1.46,0.286,75.80%,4.99,6.13,-1.14
808,Traig Oughton,CSUN,,50.2,6.93,3.55,1.95,1.95,16.00%,8.20%,7.80%,0.295,1.6,0.318,66.60%,6.39,7.54,-1.14
809,Matt Scott,UGA,22,44.1,12.18,4.87,2.5,1.62,30.80%,12.30%,18.50%,0.207,1.33,0.267,84.30%,3.86,5,-1.14
810,Mateo Wells,HPU,20,45,10.4,3.2,3.25,1.4,27.20%,8.40%,18.80%,0.233,1.24,0.292,71.10%,4.2,5.35,-1.15
811,Gabe Gaeckle,ARK,21,61.2,10.36,4.52,2.29,1.75,24.50%,10.70%,13.80%,0.282,1.67,0.349,78.70%,4.38,5.53,-1.15
812,Tyler Grenn,NAVY,22,58.1,7.25,2.47,2.94,0.15,18.70%,6.30%,12.30%,0.237,1.22,0.293,62.50%,2.78,3.93,-1.15
813,James Voorhies,CSUN,,42.2,9.7,2.95,3.29,0.84,27.20%,8.30%,18.90%,0.178,0.96,0.225,72.90%,3.16,4.32,-1.16
814,Zach Vriesenga,WMU,,65.1,8.27,5.92,1.4,1.52,18.70%,13.40%,5.30%,0.275,1.79,0.318,63.30%,6.2,7.36,-1.16
815,Luke Meyers,WSU,,67.1,6.82,2.67,2.55,1.2,16.90%,6.60%,10.30%,0.293,1.5,0.333,61.40%,5.21,6.37,-1.16
816,Hunter Sipe,VMI,,76,7.22,2.13,3.39,1.07,19.00%,5.60%,13.40%,0.232,1.14,0.264,62.20%,3.55,4.72,-1.17
817,Brendan Holland,JAX,23,70.1,9.85,3.2,3.08,1.02,26.00%,8.40%,17.60%,0.243,1.28,0.311,77.00%,3.58,4.75,-1.17
818,Evan Lichtenauer,OHIO,,56,2.41,1.93,1.25,0.8,5.60%,4.40%,1.10%,0.265,1.41,0.266,61.00%,4.98,6.15,-1.17
819,Michael Malki,CBU,20,69.1,13.63,4.15,3.28,0.78,35.10%,10.70%,24.40%,0.221,1.3,0.344,82.00%,2.73,3.9,-1.18
820,Colby Allen,USM,23,59.2,10.86,2.56,4.24,0.75,28.20%,6.70%,21.60%,0.233,1.21,0.314,79.10%,2.56,3.75,-1.18
821,Ty Brachbill,HPU,,88.1,8.05,2.24,3.59,0.82,21.50%,6.00%,15.50%,0.24,1.18,0.29,70.20%,3.46,4.65,-1.18
822,Bobby Mahoney,CSUF,,57,6.16,3.95,1.56,0.63,15.40%,9.90%,5.50%,0.231,1.3,0.266,66.40%,4.58,5.76,-1.18
823,Maxwell Hilsenroth,UNH,20,60,6.75,3.9,1.73,0.45,15.80%,9.20%,6.70%,0.287,1.62,0.342,61.70%,5.25,6.44,-1.19
824,Ryker Walton,APSU,23,43.2,8.04,4.74,1.7,1.44,18.50%,10.90%,7.60%,0.286,1.72,0.331,63.20%,5.36,6.56,-1.2
825,Gauge Lockhart,SF,24,60.2,6.82,4.9,1.39,0.59,17.50%,12.50%,4.90%,0.211,1.3,0.25,65.60%,4.75,5.95,-1.2
826,Nuno Parache,NICH,,51.2,8.01,3.14,2.56,1.39,18.60%,7.30%,11.30%,0.232,1.35,0.259,62.70%,4.53,5.73,-1.2
827,Sam Houchens,URI,,50.1,7.69,3.22,2.39,1.79,19.20%,8.00%,11.20%,0.225,1.25,0.238,58.20%,5.36,6.57,-1.2
828,Wylan Moss,UCLA,20,56.2,11.28,3.18,3.55,0.64,31.00%,8.70%,22.30%,0.187,1.02,0.266,80.50%,2.38,3.59,-1.21
829,Camren Piwnicki,BRWN,,36,5,3,1.67,0.5,12.60%,7.50%,5.00%,0.236,1.25,0.263,73.20%,4,5.21,-1.21
830,Kurt Marton,SAC,,49.1,10.03,3.47,2.89,1.82,24.20%,8.40%,15.90%,0.261,1.44,0.313,77.30%,5.11,6.32,-1.21
831,Myles Upchurch,ALA,,57.2,9.68,5.62,1.72,0.62,21.80%,12.60%,9.10%,0.17,1.34,0.211,78.10%,3.43,4.64,-1.21
832,Shea Wendt,CREI,21,45.2,9.46,7.49,1.26,0.2,21.50%,17.00%,4.50%,0.206,1.62,0.278,72.60%,4.53,5.74,-1.21
833,Trey Morris,ORST,19,46.2,10.03,2.31,4.33,0.77,25.70%,5.90%,19.80%,0.141,0.81,0.172,72.90%,2.12,3.34,-1.21
834,Grant Govel,USC,,84.2,9.04,1.17,7.73,1.17,26.10%,3.40%,22.70%,0.189,0.83,0.222,78.10%,2.76,3.98,-1.21
835,Max Vaisvila,NIU,22,75,8.76,2.16,4.06,0.6,23.60%,5.80%,17.80%,0.23,1.11,0.293,73.80%,3.36,4.58,-1.22
836,Raymond Ladd,RAD,21,58,8.53,2.95,2.89,0.78,21.20%,7.30%,13.90%,0.24,1.29,0.295,64.00%,3.72,4.94,-1.22
837,Lance Davis,TCU,21,80,5.74,1.91,3,0.79,15.50%,5.20%,10.30%,0.232,1.09,0.258,70.00%,3.71,4.93,-1.22
838,Kyle Batt,RID,19,63.2,3.96,4.24,0.93,0.57,9.40%,10.10%,-0.70%,0.297,1.66,0.321,66.40%,4.95,6.17,-1.22
839,Zach Worzel,CCSU,,40.1,5.36,3.35,1.6,1.56,11.30%,7.00%,4.20%,0.238,1.46,0.24,57.90%,7.36,8.59,-1.22
840,Kaden Hilburger,BRY,22,59.1,5.76,2.28,2.53,1.21,15.40%,6.10%,9.30%,0.236,1.16,0.251,67.40%,4.25,5.47,-1.22
841,Dylan Reid,BRWN,,51.2,7.32,4.53,1.62,0.52,16.90%,10.40%,6.40%,0.185,1.3,0.215,70.50%,3.48,4.71,-1.23
842,Joe Sperry,MINN,22,47,9.77,2.49,3.92,0.96,26.00%,6.60%,19.40%,0.229,1.15,0.293,82.40%,2.87,4.1,-1.23
843,Ryan Douglas,STO,,70.1,5.5,2.18,2.53,0.77,14.10%,5.60%,8.50%,0.292,1.44,0.326,58.80%,4.86,6.09,-1.23
844,Chandler Alderman,MTSU,21,60.1,6.12,3.13,1.95,2.09,14.70%,7.60%,7.20%,0.302,1.59,0.316,60.90%,6.12,7.35,-1.23
845,Josh Prieto,TXSO,22,44.1,6.9,4.26,1.62,1.02,17.70%,10.90%,6.80%,0.299,1.6,0.352,66.20%,5.68,6.92,-1.24
846,Brady Bendik,NAVY,,81.2,10.03,2.98,3.37,0.22,25.70%,7.60%,18.10%,0.232,1.24,0.319,73.40%,2.42,3.67,-1.24
847,Aidan Flinn,ILL,,54,8.5,1.83,4.64,0.5,23.30%,5.00%,18.30%,0.184,0.87,0.232,74.80%,2.67,3.91,-1.25
848,Connor Kelley,UTSA,22,60.2,9.64,3.26,2.95,0.89,25.70%,8.70%,17.00%,0.224,1.19,0.289,75.40%,3.26,4.52,-1.25
849,Justin DeCastro,LIU,,69.1,4.41,2.86,1.55,1.17,9.90%,6.40%,3.50%,0.313,1.7,0.33,65.60%,6.49,7.75,-1.26
850,Elijah Griffith,AKR,,74.2,6.03,2.89,2.08,1.33,15.10%,7.30%,7.90%,0.262,1.35,0.283,58.80%,5.42,6.68,-1.26
851,Tyrell Williams,PRES,,70.1,6.53,3.84,1.7,1.15,16.00%,9.40%,6.60%,0.261,1.48,0.291,63.70%,4.86,6.12,-1.26
852,Adam Brouwer,CIN,23,49,6.8,2.76,2.47,2.2,17.50%,7.10%,10.40%,0.273,1.39,0.283,73.30%,5.51,6.77,-1.26
853,Andrew Carroll,SEMO,,68.2,5.11,1.7,3,1.44,13.30%,4.40%,8.80%,0.309,1.43,0.329,71.10%,4.72,5.98,-1.26
854,Colin Trizuto,WAG,22,81.2,5.4,2.98,1.81,0.33,13.70%,7.50%,6.10%,0.288,1.46,0.332,59.60%,4.85,6.11,-1.26
855,JT Guerrero,GCU,21,67.1,7.08,3.48,2.04,1.87,16.70%,8.20%,8.50%,0.307,1.66,0.338,69.00%,6.55,7.81,-1.27
856,Conor Myles,UTSA,25,69,7.43,2.48,3,1.04,19.30%,6.40%,12.80%,0.243,1.23,0.28,74.90%,3.52,4.79,-1.27
857,Tanner Graham,EVAN,,58.1,7.1,3.55,2,1.08,16.50%,8.30%,8.30%,0.27,1.51,0.309,71.60%,5.09,6.36,-1.27
858,Spencer Johnsen,INST,,48.2,7.58,3.33,2.28,1.85,18.10%,8.00%,10.20%,0.294,1.6,0.327,72.10%,5.55,6.82,-1.27
859,James Beasley,PRIN,,38.2,3.96,6.05,0.65,0.7,8.70%,13.30%,-4.60%,0.273,1.76,0.291,67.30%,6.05,7.32,-1.27
860,Jaxon Lloyd,LONG,23,77,8.42,3.27,2.57,0.58,22.10%,8.60%,13.50%,0.233,1.25,0.293,74.70%,3.39,4.67,-1.28
861,Robert Evans,MIA,22,75.2,10.47,3.21,3.26,1.19,28.40%,8.70%,19.70%,0.202,1.1,0.257,73.30%,3.21,4.5,-1.28
862,Thomas Shurtleff,PENN,21,61,7.67,2.21,3.47,0.59,20.60%,5.90%,14.60%,0.242,1.16,0.297,76.00%,2.95,4.24,-1.29
863,Dominic Pontbriant,USF,,47.1,5.51,2.47,2.23,0.76,14.30%,6.40%,7.90%,0.271,1.35,0.303,76.20%,3.42,4.71,-1.29
864,Aiden Sims,TA&M,20,68,9.66,2.51,3.84,1.72,25.90%,6.70%,19.10%,0.212,1.07,0.243,76.40%,3.84,5.13,-1.29
865,David Rossow,CAM,23,71.2,11.68,2.64,4.43,0.63,30.70%,6.90%,23.80%,0.198,1.05,0.28,71.40%,2.64,3.94,-1.3
866,Cooper Allen,UNCW,21,78,9.81,2.54,3.86,0.69,27.20%,7.10%,20.20%,0.212,1.05,0.281,74.40%,3,4.3,-1.3
867,Carson Bryant,COFC,22,50,8.1,2.7,3,0.54,19.80%,6.60%,13.20%,0.251,1.34,0.308,70.80%,3.24,4.55,-1.31
868,Pierce Friedman,ME,22,41,7.46,6.15,1.21,0.44,18.30%,15.10%,3.20%,0.209,1.46,0.256,70.70%,4.17,5.48,-1.31
869,James Litman,FAU,,78.2,8.35,4.12,2.03,1.03,20.80%,10.30%,10.50%,0.259,1.49,0.312,80.80%,3.66,4.97,-1.31
870,Josh Holst,AFA,19,41,7.68,4.39,1.75,2.63,16.40%,9.40%,7.00%,0.337,2,0.365,62.00%,7.9,9.21,-1.31
