year,decade,team,conf,record,SP+,rank,Off. SP+,rank,Def. SP+,rank,ST SP+,rank,pctile,off_pctile,def_pctile,10yr_avg,5yr_avg
1957,1950s,Air Force,Indies,3.5-6.5,-8.4,92,10.2,89,18.6,90,,,21.20%,21.10%,30.30%,,
1958,1950s,Air Force,Indies,1-Oct,8.2,26,20.5,26,12.2,39,,,76.70%,79.90%,68.80%,,
1959,1950s,Air Force,Indies,5.5-4.5,1.5,53,17.5,39,16,65,,,55.30%,63.00%,47.40%,,
1960,1960s,Air Force,Indies,6-Apr,-4,77,15.1,58,19.1,83,,,37.00%,48.80%,30.80%,,
1961,1960s,Air Force,Indies,7-Mar,-12.3,99,7.7,109,20,87,,,14.50%,10.90%,27.90%,,40.90%
1962,1960s,Air Force,Indies,5-May,-4.7,79,14,78,18.7,76,,,33.00%,34.40%,35.80%,,43.30%
1963,1960s,Air Force,Indies,4-Jul,2.4,53,16.8,46,14.4,54,,,59.70%,59.60%,57.40%,,39.90%
1964,1960s,Air Force,Indies,4.5-5.5,-4.9,82,11.8,94,16.7,76,,,29.90%,27.50%,37.60%,,34.80%
1965,1960s,Air Force,Indies,3.5-6.5,-2.4,69,15.6,67,17.9,76,,,40.00%,41.00%,42.00%,,35.40%
1966,1960s,Air Force,Indies,6-Apr,-2.3,68,15.2,75,17.5,58,,,41.40%,37.10%,48.20%,40.90%,40.80%
1967,1960s,Air Force,Indies,7-Mar,-10.2,102,7.6,118,17.8,58,,,15.70%,4.80%,53.00%,40.30%,37.30%
1968,1960s,Air Force,Indies,3-Jul,2.3,56,21.8,57,19.6,47,,,57.50%,47.90%,65.10%,38.40%,36.90%
1969,1960s,Air Force,Indies,4-Jun,6.7,41,25,40,18.2,40,,,69.00%,64.30%,68.80%,39.80%,44.70%
1970,1970s,Air Force,Indies,3-Sep,8.4,33,29.4,23,21,70,,,73.60%,86.20%,49.60%,43.40%,51.40%
1971,1970s,Air Force,Indies,4-Jun,1.7,49,20.4,59,18.7,52,,,55.20%,50.70%,59.10%,47.50%,54.20%
1972,1970s,Air Force,Indies,4-Jun,3.9,44,22.7,48,18.8,50,,,62.60%,62.10%,58.80%,50.50%,63.60%
1973,1970s,Air Force,Indies,4-Jun,-1.6,71,22.3,56,24,84,,,45.10%,55.90%,35.80%,49.00%,61.10%
1974,1970s,Air Force,Indies,9-Feb,-7.2,97,14.9,101,22.1,81,,,27.80%,25.40%,35.40%,48.80%,52.80%
1975,1970s,Air Force,Indies,2.5-8.5,-13.7,125,13.4,123,27.1,124,,,12.90%,16.90%,16.10%,46.10%,40.70%
1976,1970s,Air Force,Indies,7-Apr,-12.4,127,13.4,121,25.8,120,,,13.60%,18.20%,18.00%,43.30%,32.40%
1977,1970s,Air Force,Indies,2.5-8.5,-19.4,147,9.8,147,29.2,137,,,5.70%,6.80%,12.60%,42.30%,21.00%
1978,1970s,Air Force,Indies,8-Mar,-15.7,135,15.2,108,30.9,140,,,8.20%,22.30%,4.60%,37.40%,13.60%
1979,1970s,Air Force,Indies,9-Feb,-15.9,132,9.8,136,25.7,119,,,7.30%,6.90%,18.30%,31.20%,9.50%
1980,1980s,Air Force,WAC,2.5-9.5,-17.1,130,15.4,112,32.5,131,,,8.20%,21.00%,5.60%,24.70%,8.60%
1981,1980s,Air Force,WAC,7-Apr,-11.3,124,16.6,94,27.9,126,,,16.60%,31.30%,12.20%,20.80%,9.20%
1982,1980s,Air Force,WAC,5-Aug,1.8,51,32,13,30.3,101,,,55.60%,91.10%,11.60%,20.10%,19.20%
1983,1980s,Air Force,WAC,2-Oct,9.7,31,32,12,22.4,64,,,79.00%,91.20%,47.90%,23.50%,33.40%
1984,1980s,Air Force,WAC,4-Aug,9.1,26,29.1,26,20.1,40,,,79.90%,81.00%,68.20%,28.70%,47.90%
1985,1980s,Air Force,WAC,1-Dec,21.2,5,36.9,1,15.7,31,,,95.90%,99.00%,77.40%,37.00%,65.40%
1986,1980s,Air Force,WAC,5-Jun,-0.2,53,19.5,71,19.8,41,,,49.30%,33.80%,63.80%,40.60%,72.00%
1987,1980s,Air Force,WAC,4-Sep,2.3,43,29.3,20,27,71,,,56.60%,79.90%,31.90%,45.70%,72.20%
1988,1980s,Air Force,WAC,7-May,-2.6,63,34.5,16,37.1,99,,,42.90%,90.50%,6.40%,49.10%,64.90%
1989,1980s,Air Force,WAC,8.5-4.5,7.3,37,42.3,4,35,94,,,69.40%,98.20%,11.70%,55.30%,62.80%
1990,1990s,Air Force,WAC,5-Jul,-1.8,60,23.7,53,25.5,59,,,44.60%,47.20%,44.00%,59.00%,52.60%
1991,1990s,Air Force,WAC,3-Oct,2.2,46,27.9,28,25.7,70,,,56.00%,75.10%,35.20%,62.90%,53.90%
1992,1990s,Air Force,WAC,5-Jul,-1.5,58,20.3,63,21.8,50,,,45.10%,36.80%,55.10%,61.90%,51.60%
1993,1990s,Air Force,WAC,8-Apr,-8.3,76,21.9,60,30.1,77,,,27.70%,37.70%,25.10%,56.70%,48.60%
1994,1990s,Air Force,WAC,4-Aug,3,48,29,37,25.9,61,,,58.60%,71.60%,39.90%,54.60%,46.40%
1995,1990s,Air Force,WAC,5-Aug,1.4,49,30.4,22,29.1,75,,,53.80%,74.30%,31.50%,50.40%,48.20%
1996,1990s,Air Force,WAC,5-Jun,5.3,39,30.6,31,25.3,50,,,63.70%,72.70%,50.90%,51.80%,49.80%
1997,1990s,Air Force,WAC,3-Oct,2.8,51,19.4,85,16.6,22,,,57.30%,22.40%,82.70%,51.90%,52.20%
1998,1990s,Air Force,WAC,1-Dec,16,20,30.8,29,14.8,13,,,86.40%,74.80%,88.00%,56.30%,64.00%
1999,1990s,Air Force,MWC,5-Jun,5.3,42,22.9,70,17.6,21,,,64.90%,38.50%,82.30%,55.80%,65.20%
2000,2000s,Air Force,MWC,3-Sep,3.8,50,29.8,37,26,65,,,60.10%,67.90%,48.50%,57.40%,66.50%
2001,2000s,Air Force,MWC,6-Jun,-3.5,76,30.5,37,34.1,93,,,40.10%,69.80%,21.10%,55.80%,61.80%
2002,2000s,Air Force,MWC,5-Aug,2.8,56,28,49,25.3,56,,,57.30%,57.80%,55.00%,57.00%,61.80%
2003,2000s,Air Force,MWC,5-Jul,5.5,45,24.1,70,18.6,27,,,64.40%,40.00%,80.10%,60.70%,57.40%
2004,2000s,Air Force,MWC,6-May,-0.3,63,30.8,32,31.1,77,,,49.20%,73.60%,32.00%,59.70%,54.20%
2005,2000s,Air Force,MWC,7-Apr,-3,73,30.3,35,33.3,99,,,42.00%,67.30%,18.90%,58.50%,50.60%
2006,2000s,Air Force,MWC,8-Apr,-6.8,79,20.2,71,25.8,75,-1.1,95,33.20%,38.50%,35.90%,55.50%,49.20%
2007,2000s,Air Force,MWC,4-Sep,6.4,48,26.4,72,20.7,33,0.8,35,65.40%,38.10%,79.80%,56.30%,50.80%
2008,2000s,Air Force,MWC,5-Aug,3.7,52,26.6,39,23.8,55,0.9,31,59.70%,55.60%,56.20%,53.60%,49.90%
2009,2000s,Air Force,MWC,5-Aug,8.3,41,25.1,68,17.5,22,0.8,33,70.60%,44.50%,80.80%,54.20%,54.20%
2010,2010s,Air Force,MWC,4-Sep,4.3,51,28.1,55,21.9,39,-1.9,105,60.40%,53.30%,72.50%,54.20%,57.90%
2011,2010s,Air Force,MWC,6-Jul,4.2,50,32.3,29,28.5,65,0.3,50,61.00%,72.60%,43.00%,56.30%,63.40%
2012,2010s,Air Force,MWC,7-Jun,-10.7,92,24.1,81,33.1,80,-1.7,114,24.10%,29.50%,32.50%,53.00%,55.20%
2013,2010s,Air Force,MWC,10-Feb,-19.7,109,24.5,81,45.8,120,1.6,18,13.30%,36.10%,2.90%,47.90%,45.90%
2014,2010s,Air Force,MWC,3-Oct,-1,68,24.8,85,27.8,64,1.9,8,47.30%,35.20%,52.20%,47.70%,41.20%
2015,2010s,Air Force,MWC,6-Aug,1.1,67,30.4,54,30.6,73,1.3,23,52.80%,59.80%,39.80%,48.80%,39.70%
2016,2010s,Air Force,MWC,3-Oct,4.9,53,33.8,35,30.2,70,1.3,23,63.40%,71.50%,45.20%,51.80%,40.20%
2017,2010s,Air Force,MWC,7-May,-8,90,28,61,36.7,109,0.7,42,29.60%,53.00%,15.10%,48.20%,41.30%
2018,2010s,Air Force,MWC,7-May,1.1,66,30.8,48,29.9,76,0.2,65,53.00%,63.60%,41.60%,47.50%,49.20%
2019,2010s,Air Force,MWC,2-Nov,9.5,35,32,44,24.1,43,1.7,18,72.70%,70.10%,65.00%,47.80%,54.30%
2020,2020s,Air Force,MWC,3-Mar,5.7,40,25.3,87,19.4,10,-0.2,88,67.30%,32.30%,91.00%,48.40%,57.20%
2021,2020s,Air Force,MWC,3-Oct,10,35,28.7,55,18,24,-0.7,91,75.80%,60.30%,84.60%,49.90%,59.70%
2022,2020s,Air Force,MWC,3-Oct,5.1,53,21.5,90,15.9,12,-0.4,77,64.10%,28.30%,92.70%,53.90%,66.60%
1975,1970s,Akron,Indies,4-Jul,0.4,68,18.2,81,17.8,53,,,51.20%,40.10%,60.90%,,
1976,1970s,Akron,Indies,2-Apr,3.8,53,16.6,92,12.8,26,,,63.30%,32.80%,85.30%,,
1977,1970s,Akron,Indies,2-Feb,4.1,57,19.1,88,15,35,,,63.00%,41.60%,77.50%,,
1979,1970s,Akron,Indies,2-Feb,-3.7,89,18.3,79,22,94,,,36.90%,42.30%,36.10%,,
1987,1980s,Akron,Indies,7-Apr,-12.8,86,15.9,87,28.7,76,,,18.20%,17.30%,25.00%,,
1988,1980s,Akron,Indies,6-May,-7.7,77,16.7,87,24.4,60,,,29.70%,21.30%,45.60%,,
1989,1980s,Akron,Indies,6.5-4.5,-0.5,55,24.6,53,25.1,56,,,48.50%,51.20%,46.40%,,
1990,1990s,Akron,Indies,3.5-7.5,-6.1,72,19.9,76,26,61,,,32.50%,28.50%,42.00%,,
1991,1990s,Akron,Indies,6-May,-14.2,87,18.7,67,32.9,92,,,16.80%,33.60%,12.30%,,29.10%
1992,1990s,Akron,MAC,7.5-3.5,-3.7,69,17.6,83,21.3,47,,,38.40%,24.70%,57.30%,,33.20%
1993,1990s,Akron,MAC,6-May,-8.3,77,13.8,97,22.1,44,,,27.60%,10.10%,61.00%,,32.70%
1994,1990s,Akron,MAC,10-Jan,-27.5,106,10.8,101,38.3,106,,,2.50%,6.30%,3.00%,,23.50%
1995,1990s,Akron,MAC,9-Feb,-28,106,8.7,107,36.7,100,,,2.40%,2.90%,8.60%,,17.50%
1996,1990s,Akron,MAC,7-Apr,-18.9,99,10.8,110,29.7,73,,,10.50%,4.00%,32.90%,22.70%,16.30%
1997,1990s,Akron,MAC,9-Feb,-23.1,106,16.9,97,40,105,,,6.30%,14.20%,6.00%,21.50%,9.90%
1998,1990s,Akron,MAC,7-Apr,-13.3,94,17.7,93,30.9,83,,,18.10%,18.40%,25.80%,20.30%,8.00%
1999,1990s,Akron,MAC,4-Jul,-7.8,79,24,64,31.8,90,,,28.70%,44.30%,20.40%,18.40%,13.20%
2000,2000s,Akron,MAC,5-Jun,-1.2,64,28.5,46,29.6,81,,,46.90%,62.40%,30.80%,19.80%,22.10%
2001,2000s,Akron,MAC,7-Apr,-11.1,89,22.1,87,33.3,90,,,21.60%,27.40%,23.80%,20.30%,24.30%
2002,2000s,Akron,MAC,8-Apr,-13.3,93,23.9,70,37.2,99,,,19.00%,37.50%,13.00%,18.40%,26.80%
2003,2000s,Akron,MAC,5-Jul,-2.3,69,30.4,39,32.7,82,,,44.00%,69.00%,23.90%,20.00%,32.00%
2004,2000s,Akron,MAC,5-Jun,-10.8,92,26.1,58,37,98,,,21.90%,49.80%,15.30%,21.90%,30.70%
2005,2000s,Akron,MAC,6-Jul,-11.3,92,17.3,97,28.6,68,,,22.40%,17.20%,38.10%,23.90%,25.80%
2006,2000s,Akron,MAC,7-May,-13.8,94,14.2,98,26.3,80,-1.8,112,18.70%,16.20%,33.90%,24.80%,25.20%
2007,2000s,Akron,MAC,8-Apr,-20.1,104,17.5,108,37.8,91,0.3,55,10.70%,9.80%,19.10%,25.20%,23.50%
2008,2000s,Akron,MAC,7-May,-10.5,90,26.1,49,35.6,105,-1,95,23.90%,53.60%,13.20%,25.80%,19.50%
2009,2000s,Akron,MAC,9-Mar,-22.3,109,15,110,35,94,-2.2,118,7.40%,6.50%,18.00%,23.60%,16.60%
2010,2010s,Akron,MAC,11-Jan,-33,119,9.6,119,40.7,111,-2,106,2.10%,2.20%,7.00%,19.20%,12.60%
2011,2010s,Akron,MAC,11-Jan,-32,119,11.6,119,42.9,120,-0.7,87,1.60%,4.30%,3.40%,17.20%,9.20%
2012,2010s,Akron,MAC,11-Jan,-25.7,120,17.1,116,42.3,117,-0.5,79,4.50%,9.00%,7.50%,15.70%,7.90%
2013,2010s,Akron,MAC,7-May,-23.1,113,14.6,114,35.3,99,-2.3,120,9.60%,8.90%,21.80%,12.30%,5.00%
2014,2010s,Akron,MAC,7-May,-15.3,107,16.7,112,31.7,77,-0.3,74,16.40%,10.00%,35.00%,11.70%,6.80%
2015,2010s,Akron,MAC,5-Aug,-3.5,77,20.2,103,24.1,44,0.3,53,40.70%,18.60%,66.60%,13.60%,14.60%
2016,2010s,Akron,MAC,7-May,-11.2,92,24.6,86,36.1,96,0.3,53,21.60%,28.70%,21.10%,13.90%,18.60%
2017,2010s,Akron,MAC,7-Jul,-17.7,113,20.1,104,35.7,104,-2.2,122,11.80%,18.90%,18.00%,14.00%,20.00%
2018,2010s,Akron,MAC,8-Apr,-18.8,114,14.6,123,33.3,96,-0.2,73,9.70%,4.90%,27.40%,12.50%,20.10%
2019,2010s,Akron,MAC,0-12,-37.9,129,6.4,130,42.2,127,-2.2,125,0.80%,0.50%,5.70%,11.90%,16.90%
2020,2020s,Akron,MAC,5-Jan,-31.5,125,13.2,126,44.5,125,-0.2,92,0.70%,2.40%,1.60%,11.70%,8.90%
2021,2020s,Akron,MAC,10-Feb,-31.2,128,15.6,122,45.2,128,-1.6,121,1.40%,6.00%,1.70%,11.70%,4.90%
2022,2020s,Akron,MAC,10-Feb,-23.2,125,15.2,119,36.8,121,-1.7,127,5.00%,10.60%,9.00%,11.80%,3.50%
1902,1900s,Alabama,Indies,4-Apr,0.7,38,8.2,46,7.5,21,,,52.20%,39.90%,73.90%,,
1903,1900s,Alabama,Indies,4-Mar,-7.8,54,10,42,17.8,70,,,28.10%,42.60%,9.90%,,
1904,1900s,Alabama,Indies,3-Jul,-3.5,50,7.5,51,11,47,,,42.10%,35.00%,53.30%,,
1905,1900s,Alabama,Indies,4-Jun,-0.9,46,13.1,41,13.9,56,,,47.90%,54.10%,40.30%,,
1906,1900s,Alabama,Indies,1-May,0.8,33,10.2,24,9.4,43,,,52.70%,63.00%,36.40%,,44.60%
1907,1900s,Alabama,Indies,2-Jun,0.2,41,9,44,8.8,31,,,50.60%,35.60%,68.30%,,44.30%
1908,1900s,Alabama,Indies,6.5-1.5,3.1,30,9,39,5.9,21,,,63.20%,48.30%,74.70%,,51.30%
1909,1900s,Alabama,Indies,2-Jun,4.3,28,7.5,46,3.2,7,,,68.00%,39.50%,88.60%,,56.50%
1910,1910s,Alabama,Indies,4-Apr,-9,54,5.5,52,14.5,56,,,23.60%,24.70%,25.90%,,51.60%
1911,1910s,Alabama,Indies,3-Jun,3.7,30,9.6,31,5.9,33,,,62.90%,61.60%,62.60%,49.10%,53.70%
1912,1910s,Alabama,Indies,5.5-3.5,0.8,42,9.4,54,8.7,21,,,52.40%,33.50%,75.10%,49.20%,54.00%
1913,1910s,Alabama,Indies,3-Jun,5.9,31,12.6,41,6.7,17,,,66.40%,48.10%,80.20%,53.00%,54.70%
1914,1910s,Alabama,Indies,4-May,4.2,38,13.3,46,9,35,,,60.90%,50.80%,69.50%,54.90%,53.30%
1915,1910s,Alabama,Indies,2-Jun,12.6,21,22.6,16,9.9,39,,,78.70%,84.00%,67.60%,58.00%,64.30%
1916,1910s,Alabama,Indies,3-Jun,4.4,50,13,57,8.6,40,,,60.00%,46.70%,71.50%,58.70%,63.70%
1917,1910s,Alabama,Indies,5.5-2.5,9.4,37,15.9,40,6.5,23,,,71.00%,60.50%,77.00%,60.70%,67.40%
1919,1910s,Alabama,Indies,1-Aug,18.1,7,22.7,5,4.6,21,,,93.90%,97.00%,80.70%,,
1920,1920s,Alabama,Indies,1-Oct,32.3,1,35,1,2.7,15,,,97.70%,99.40%,85.50%,,
1921,1920s,Alabama,Southern,5-Jun,7.6,36,16.3,30,8.6,41,,,70.70%,71.90%,66.60%,,
1922,1920s,Alabama,Southern,6.5-3.5,14.5,28,22.6,16,8.1,52,,,80.60%,89.40%,66.10%,,
1923,1920s,Alabama,Southern,7.5-2.5,9.4,36,14.6,38,5.2,38,,,74.40%,69.50%,74.00%,,83.50%
1924,1920s,Alabama,Southern,1-Aug,22.3,2,24,2,1.7,7,,,96.50%,98.00%,89.20%,,84.00%
1925,1920s,Alabama,Southern,Oct-00,24.8,3,26.5,2,1.6,5,,,97.60%,98.80%,90.40%,,83.90%
1926,1920s,Alabama,Southern,9.5-0.5,22,2,23.1,3,1.1,2,,,96.80%,97.30%,92.50%,,89.20%
1927,1920s,Alabama,Southern,5.5-4.5,8.7,26,15.8,30,7.1,24,,,78.10%,72.00%,77.80%,,88.70%
1928,1920s,Alabama,Southern,3-Jun,12.9,16,21.7,8,8.8,42,,,85.80%,93.80%,64.90%,87.20%,90.90%
1929,1920s,Alabama,Southern,3-Jun,10.8,24,19.4,22,8.6,39,,,80.20%,83.20%,68.90%,85.80%,87.70%
1930,1930s,Alabama,Southern,Oct-00,24.2,4,25.2,5,1,5,,,97.40%,97.60%,92.70%,85.80%,87.60%
1931,1930s,Alabama,Southern,1-Sep,21.8,5,27.4,3,5.6,30,,,96.60%,99.20%,80.10%,88.40%,87.60%
1932,1930s,Alabama,Southern,2-Aug,17.3,10,20.4,9,3.2,16,,,93.60%,96.00%,85.50%,89.70%,90.70%
1933,1930s,Alabama,SEC,7.5-1.5,17.7,6,17.9,7,0.2,11,,,95.10%,94.40%,93.00%,91.80%,92.60%
1934,1930s,Alabama,SEC,Oct-00,25.2,1,26.8,1,1.6,1,,,99.20%,99.70%,94.10%,92.00%,96.40%
1935,1930s,Alabama,SEC,6.5-2.5,19.4,6,23.5,4,4.1,14,,,96.40%,98.00%,87.50%,91.90%,96.20%
1936,1930s,Alabama,SEC,8.5-0.5,21.8,2,23.6,3,1.7,4,,,98.40%,98.60%,95.10%,92.10%,96.60%
1937,1930s,Alabama,SEC,1-Sep,20.2,2,20.4,8,0.2,5,,,96.90%,96.30%,93.50%,94.00%,97.20%
1938,1930s,Alabama,SEC,7.5-1.5,16.5,8,19.7,10,3.1,10,,,95.30%,94.10%,92.30%,94.90%,97.20%
1939,1930s,Alabama,SEC,5.5-3.5,12.5,15,14.5,29,2,4,,,90.90%,75.00%,94.60%,96.00%,95.60%
1940,1940s,Alabama,SEC,2-Jul,12.3,14,19.4,20,7.1,14,,,89.10%,86.20%,87.50%,95.20%,94.10%
1941,1940s,Alabama,SEC,2-Sep,19.2,6,22.8,10,3.6,10,,,94.50%,93.30%,91.90%,94.90%,93.30%
1942,1940s,Alabama,SEC,3-Aug,19,6,25.3,6,6.4,15,,,95.00%,96.10%,87.30%,95.10%,93.00%
1944,1940s,Alabama,SEC,3-Jun,13.7,18,23,25,9.2,20,,,81.40%,78.20%,81.40%,,
1945,1940s,Alabama,SEC,Oct-00,27.7,2,36.1,2,8.4,14,,,98.60%,99.70%,86.10%,,
1946,1940s,Alabama,SEC,4-Jul,15.6,17,20.9,26,5.4,9,,,90.90%,78.20%,94.50%,,
1947,1940s,Alabama,SEC,3-Aug,14.2,13,20,36,5.8,13,,,86.90%,75.00%,90.60%,,
1948,1940s,Alabama,SEC,6.5-4.5,7.8,36,22.1,33,14.3,42,,,73.40%,73.30%,67.60%,,86.20%
1949,1940s,Alabama,SEC,6.5-3.5,10.2,26,21.5,52,11.4,16,,,78.80%,61.00%,87.10%,,85.70%
1950,1950s,Alabama,SEC,2-Sep,21.2,5,27.7,17,6.5,8,,,95.20%,91.00%,92.50%,,85.00%
1951,1950s,Alabama,SEC,6-May,5,42,20.4,45,15.4,40,,,66.10%,58.00%,69.50%,,80.10%
1952,1950s,Alabama,SEC,2-Oct,24.7,4,31,5,6.3,5,,,97.50%,97.20%,94.70%,,82.20%
1953,1950s,Alabama,SEC,7.5-4.5,8.4,28,17.6,49,9.3,16,,,76.50%,56.40%,85.60%,84.50%,82.80%
1954,1950s,Alabama,SEC,6-May,4.7,44,9.3,101,4.6,6,,,64.90%,13.60%,94.80%,82.90%,80.00%
1955,1950s,Alabama,SEC,0-10,-14.2,99,6.8,104,20.9,91,,,10.80%,7.80%,19.20%,74.10%,63.20%
1956,1950s,Alabama,SEC,2.5-7.5,-12.4,99,7,110,19.4,76,,,13.10%,6.10%,34.30%,66.30%,52.60%
1957,1950s,Alabama,SEC,2.5-7.5,-7.9,88,6.8,113,14.7,55,,,22.60%,9.10%,53.20%,59.90%,37.60%
1958,1950s,Alabama,SEC,5.5-4.5,5,40,11.2,88,6.2,11,,,67.10%,20.70%,90.70%,59.30%,35.70%
1959,1950s,Alabama,SEC,3-Aug,9.3,26,9.7,101,0.3,5,,,79.80%,16.20%,98.20%,59.40%,38.70%
1960,1960s,Alabama,SEC,2-Sep,16.3,8,16.4,55,0.1,2,,,91.30%,57.20%,97.80%,59.00%,54.80%
1961,1960s,Alabama,SEC,Nov-00,27.1,2,27.6,8,0.5,1,,,99.00%,95.80%,98.80%,62.30%,72.00%
1962,1960s,Alabama,SEC,1-Oct,25.8,1,25.4,10,-0.4,1,,,99.30%,93.10%,99.70%,62.40%,87.30%
1963,1960s,Alabama,SEC,2-Sep,20,3,22.7,12,2.8,4,,,97.80%,91.80%,97.80%,64.60%,93.40%
1964,1960s,Alabama,SEC,1-Oct,23.2,1,27,2,3.8,2,,,99.40%,98.90%,97.70%,68.00%,97.40%
1965,1960s,Alabama,SEC,9.5-1.5,21.1,1,28.6,3,7.5,4,,,98.70%,97.50%,96.70%,76.80%,98.80%
1966,1960s,Alabama,SEC,Nov-00,25.9,2,26.7,11,0.8,1,,,99.30%,94.10%,99.30%,85.40%,98.90%
1967,1960s,Alabama,SEC,8.5-2.5,14.8,9,23.6,28,8.8,7,,,92.90%,79.90%,94.20%,92.50%,97.60%
1968,1960s,Alabama,SEC,3-Aug,10.9,26,17.6,90,6.7,2,,,82.20%,26.60%,98.90%,94.00%,94.50%
1969,1960s,Alabama,SEC,5-Jun,13.4,25,33.9,16,20.5,52,,,83.80%,92.40%,57.30%,94.40%,91.40%
1970,1970s,Alabama,SEC,6.5-5.5,17.8,15,33.5,9,15.7,27,,,90.90%,94.70%,76.80%,94.30%,89.80%
1971,1970s,Alabama,SEC,1-Nov,29.3,3,35.9,6,6.6,5,,,99.00%,97.60%,98.10%,94.30%,89.80%
1972,1970s,Alabama,SEC,2-Oct,29.7,3,33.2,5,3.5,3,,,99.30%,96.40%,98.40%,94.30%,91.00%
1973,1970s,Alabama,SEC,1-Nov,36.1,1,40.7,2,4.6,2,,,99.70%,99.20%,98.30%,94.50%,94.50%
1974,1970s,Alabama,SEC,1-Nov,31.1,2,33.2,4,2,1,,,99.40%,97.10%,99.60%,94.50%,97.60%
1975,1970s,Alabama,SEC,1-Nov,29.5,2,30.5,11,1,1,,,99.30%,94.30%,99.50%,94.60%,99.30%
1976,1970s,Alabama,SEC,3-Sep,24.4,4,29.8,15,5.4,1,,,98.50%,92.60%,98.50%,94.50%,99.20%
1977,1970s,Alabama,SEC,1-Nov,28.2,3,35.2,7,7,5,,,98.90%,97.70%,96.60%,95.10%,99.20%
1978,1970s,Alabama,SEC,1-Nov,22.5,4,33.4,7,10.9,13,,,97.70%,97.30%,93.40%,96.60%,98.80%
1979,1970s,Alabama,SEC,Dec-00,29.7,1,35,1,5.3,3,,,99.70%,99.00%,98.40%,98.20%,98.80%
1980,1980s,Alabama,SEC,2-Oct,27.1,4,33,7,5.9,3,,,98.60%,95.60%,98.20%,99.00%,98.70%
1981,1980s,Alabama,SEC,9.5-2.5,18.9,9,26.3,27,7.3,2,,,94.80%,81.50%,96.90%,98.60%,97.90%
1982,1980s,Alabama,SEC,4-Aug,19.6,7,33,9,13.5,20,,,94.00%,93.00%,87.30%,98.00%,96.90%
1983,1980s,Alabama,SEC,4-Aug,17.9,10,32.3,10,14.4,19,,,93.20%,91.70%,84.60%,97.40%,96.00%
1984,1980s,Alabama,SEC,6-May,7,34,24.4,52,17.4,24,,,74.10%,57.90%,81.80%,94.90%,90.90%
1985,1980s,Alabama,SEC,9.5-2.5,19.4,7,29.6,19,10.2,9,,,94.40%,88.80%,92.40%,94.40%,90.10%
1986,1980s,Alabama,SEC,3-Oct,21.1,9,27.9,23,6.8,2,,,94.00%,77.90%,97.90%,93.90%,90.00%
1987,1980s,Alabama,SEC,5-Jul,15.2,18,27.7,31,12.5,13,,,86.10%,73.40%,89.50%,92.70%,88.40%
1988,1980s,Alabama,SEC,3-Sep,15.5,18,25.7,37,10.2,8,,,85.90%,60.70%,93.00%,91.50%,86.90%
1989,1980s,Alabama,SEC,2-Oct,17.9,12,31,23,13,13,,,89.40%,78.20%,89.70%,90.40%,90.00%
1990,1990s,Alabama,SEC,5-Jul,9.9,28,23.9,52,14,11,,,76.90%,48.10%,88.60%,88.30%,86.50%
1991,1990s,Alabama,SEC,1-Nov,18.6,12,25.3,39,6.7,3,,,89.70%,64.40%,95.50%,87.80%,85.60%
1992,1990s,Alabama,SEC,13-0,26,1,29.3,25,3.3,1,,,98.10%,80.30%,99.20%,88.20%,88.00%
1993,1990s,Alabama,SEC,9.5-3.5,21.8,6,30.3,31,8.6,2,,,94.00%,75.80%,97.10%,88.30%,89.60%
1994,1990s,Alabama,SEC,1-Dec,18.5,14,30.7,25,12.2,9,,,90.70%,77.90%,94.20%,89.90%,89.90%
1995,1990s,Alabama,SEC,3-Aug,11.4,23,26.9,44,15.5,13,,,79.00%,59.50%,86.00%,88.40%,90.30%
1996,1990s,Alabama,SEC,3-Oct,16.4,16,26.9,50,10.5,5,,,86.20%,56.60%,94.40%,87.60%,89.60%
1997,1990s,Alabama,SEC,7-Apr,7.9,38,25.7,56,17.8,27,,,69.90%,51.40%,79.20%,86.00%,84.00%
1998,1990s,Alabama,SEC,5-Jul,3.1,46,22.6,66,19.5,31,,,58.50%,37.90%,74.00%,83.20%,76.90%
1999,1990s,Alabama,SEC,3-Oct,18.2,12,32.7,22,14.5,13,,,90.60%,84.40%,90.60%,83.40%,76.80%
2000,2000s,Alabama,SEC,8-Mar,4.9,45,25.1,63,20.2,34,,,62.90%,47.10%,75.90%,82.00%,73.60%
2001,2000s,Alabama,SEC,5-Jul,12.8,20,28.6,47,15.9,17,,,81.60%,60.30%,87.80%,81.20%,72.70%
2002,2000s,Alabama,SEC,3-Oct,21.4,9,30.1,42,8.7,3,,,92.20%,67.80%,96.90%,80.60%,77.20%
2003,2000s,Alabama,SEC,9-Apr,10.8,33,32.3,27,21.5,40,,,76.40%,76.60%,69.80%,78.80%,80.70%
2004,2000s,Alabama,SEC,6-Jun,11.8,27,23.5,74,11.7,11,,,80.10%,35.50%,91.60%,77.70%,78.60%
2005,2000s,Alabama,SEC,2-Oct,16.5,20,24.1,76,7.6,1,,,86.70%,41.20%,98.90%,78.50%,83.40%
2006,2000s,Alabama,SEC,7-Jun,11.3,33,25,46,12.9,17,-0.8,88,76.60%,60.60%,87.40%,77.60%,82.40%
2007,2000s,Alabama,SEC,6-Jul,15.1,23,32.9,37,17.7,16,-0.1,64,82.50%,66.40%,87.30%,78.80%,80.40%
