"","date","opponent_rk","opponent","result","location","pace","off_eff","off_eff_rk","off_e_fg_pct","off_to_pct","off_or_pct","off_ftr","off_fgm_2","off_fga_2","off_fg_2_pct","off_fgm_3","off_fga_3","off_fg_3_pct","off_fg_3a_pct","def_eff","def_eff_rk","def_e_fg_pct","def_to_pct","def_or_pct","def_ftr","def_fgm_2","def_fga_2","def_fg_2_pct","def_fgm_3","def_fga_3","def_fg_3_pct","def_fg_3a_pct","wl","team_score","opponent_score","day_date","game_date","season","coach"
"580",2019-03-05,127,"Boston College","W, 79-66","A",74,106.1,16,46.7,14.8,41.7,17.1,25,54,46.3,7,22,31.8,28.9,88.6,6,42.9,10.7,14.9,14.3,12,34,35.3,12,36,33.3,51.4,"W",79,66,"Tue Mar 5",20190305,2019,"Roy Williams"
"581",2019-03-09,4,"Duke","W, 79-70","H",77,103.1,9,48.6,13.1,30.4,17.6,18,43,41.9,12,31,38.7,41.9,91.3,3,39.7,15.7,32,23.3,17,41,41.5,8,32,25,43.8,"W",79,70,"Sat Mar 9",20190309,2019,"Roy Williams"
"582",2019-03-14,23,"Louisville","W, 83-70","N",75,110.8,8,51.5,12,23.7,32.3,23,45,51.1,7,20,35,30.8,93.5,6,49.2,14.7,14.6,12.1,16,30,53.3,11,36,30.6,54.5,"W",83,70,"Thu Mar 14",20190314,2019,"Roy Williams"
"583",2019-03-15,4,"Duke","L, 74-73","N",73,100.5,14,42.5,11,35.6,20.6,25,47,53.2,4,26,15.4,35.6,101.9,9,51.5,16.5,26.3,20,26,45,57.8,5,20,25,30.8,"L",73,74,"Fri Mar 15",20190315,2019,"Roy Williams"
"584",2019-03-22,198,"Iona","W, 88-73","N",73,120.3,5,51.3,16.4,45.5,20,28,53,52.8,7,22,31.8,29.3,99.8,9,53.6,16.4,5.9,27.3,7,14,50,15,41,36.6,74.5,"W",88,73,"Fri Mar 22",20190322,2019,"Roy Williams"
"585",2019-03-24,48,"Washington","W, 81-59","N",68,118.7,4,57.9,22,48.4,15.9,23,42,54.8,9,21,42.9,33.3,86.5,4,45.8,17.6,19.5,16.7,14,31,45.2,9,29,31,48.3,"W",81,59,"Sun Mar 24",20190324,2019,"Roy Williams"
"586",2019-03-29,11,"Auburn","L, 97-80","N",75,106.3,17,48.5,18.6,35,33.9,21,37,56.8,7,28,25,43.1,128.9,37,67.4,14.6,27.8,25.8,19,29,65.5,17,37,45.9,56.1,"L",80,97,"Fri Mar 29",20190329,2019,"Roy Williams"
"587",2019-11-06,57,"Notre Dame","W, 76-65","H",72,105.8,12,54.2,25.1,37.8,28.8,17,39,43.6,10,20,50,33.9,90.5,5,41.9,8.3,17.8,20.6,15,37,40.5,9,31,29,45.6,"W",76,65,"Wed Nov 6",20191106,2020,"Roy Williams"
"588",2019-11-08,312,"UNC Wilmington","W, 78-62","A",78,100.3,19,43.1,10.3,30.2,41.7,19,47,40.4,8,25,32,34.7,79.8,3,38.2,14.2,22.4,15.3,20,44,45.5,5,28,17.9,38.9,"W",78,62,"Fri Nov 8",20191108,2020,"Roy Williams"
"589",2019-11-15,218,"Gardner Webb","W, 77-61","H",73,105.2,13,50.9,21.9,40,43.9,20,39,51.3,6,18,33.3,31.6,83.3,4,41.2,17.8,13.5,31.6,16,34,47.1,5,23,21.7,40.4,"W",77,61,"Fri Nov 15",20191115,2020,"Roy Williams"
"590",2019-11-20,277,"Elon","W, 75-61","H",72,104.8,20,44.9,14,47.4,33.8,26,49,53.1,3,19,15.8,27.9,85.2,6,41.3,14,11.6,14.3,8,31,25.8,12,32,37.5,50.8,"W",75,61,"Wed Nov 20",20191120,2020,"Roy Williams"
"591",2019-11-27,60,"Alabama","W, 76-67","N",78,97.3,21,44.4,25.6,50,29.6,24,57,42.1,5,14,35.7,19.7,85.8,2,46.3,17.9,17.8,13.2,15,37,40.5,11,31,35.5,45.6,"W",76,67,"Wed Nov 27",20191127,2020,"Roy Williams"
"592",2019-11-28,16,"Michigan","L, 73-64","N",71,90.6,23,44.3,15.6,28.2,32.8,24,48,50,2,13,15.4,21.3,103.4,12,59.8,22.6,19.4,17.9,17,30,56.7,11,26,42.3,46.4,"L",64,73,"Thu Nov 28",20191128,2020,"Roy Williams"
"593",2019-11-29,17,"Oregon","W, 78-74","N",65,119.6,1,46.8,19.9,52.8,33.9,20,39,51.3,6,23,26.1,37.1,113.4,19,44.3,10.7,44,28.6,13,40,32.5,12,30,40,42.9,"W",78,74,"Fri Nov 29",20191129,2020,"Roy Williams"
"594",2019-12-04,8,"Ohio St.","L, 74-49","H",65,75.2,29,33.1,15.3,27.1,21,10,39,25.6,7,23,30.4,37.1,113.6,23,55.4,23,40.6,26.8,16,30,53.3,10,26,38.5,46.4,"L",49,74,"Wed Dec 4",20191204,2020,"Roy Williams"
"595",2019-12-08,42,"Virginia","L, 56-47","A",62,76.2,23,38,19.5,23.5,47.8,16,32,50,1,14,7.1,30.4,90.8,13,38.8,21.1,31.4,51,10,32,31.2,6,17,35.3,34.7,"L",47,56,"Sun Dec 8",20191208,2020,"Roy Williams"
