score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"San Jose State 59, Cal Poly 3",,,23,62,56,123,1,3,8,222,190.14740033702805,-31.852599662971954
"South Florida 38, Florida A&M 24",,,27,62,14,153,0,5,9,222,216.56319501720492,-5.436804982795081
"Central Michigan 45, New Hampshire 42",,,26,87,3,138,1,4,8,221,222.07755809676476,1.0775580967647613
"Ohio 17, Florida Atlantic 10",,,24,27,7,132,0,5,9,220,201.64712750363802,-18.352872496361982
"North Carolina 40, Appalachian State 34",,,23,74,6,162,0,1,4,218,214.84841379806642,-3.1515862019335827
"Louisiana Tech 51, Northwestern State 21",,,31,72,30,138,0,5,12,217,219.9841808603116,2.9841808603115965
"Akron 24, Morgan State 21",,,28,45,3,131,0,8,11,216,215.28175795007874,-0.7182420499212583
"LSU 72, Grambling 10",,,22,82,62,142,0,2,4,215,192.941311144038,-22.058688855962004
"Tennessee 30, Austin Peay 13",,,25,43,17,140,0,3,8,214,205.19565323103,-8.804346768969992
"Florida International 46, North Texas 39",,,29,85,7,149,0,6,7,214,227.48591217247755,13.485912172477555
"Florida State 66, Southern Mississippi 13",,,24,79,53,131,0,1,8,214,198.4942460742089,-15.505753925791112
"Mississippi State 31, Arizona 24",,,25,55,7,128,0,6,6,212,209.2202753970173,-2.7797246029826965
"UTSA 20, Texas State 13",,,23,33,7,151,0,1,11,212,204.33414557598152,-7.665854424018477
"Ole Miss 37, Tulane 20",,,27,57,17,145,0,3,9,210,213.40895786298034,3.408957862980344
"Rutgers 36, Temple 7",,,25,43,29,144,0,3,10,210,202.00735631914853,-7.992643680851472
"Georgia Southern 49, UAB 35",,,24,84,14,145,0,5,2,208,213.54421375964702,5.544213759647022
"Syracuse 48, Western Michigan 7",,,24,55,41,149,0,1,11,208,199.8056944818132,-8.194305518186809
"Louisville 56, Murray State 0",,,27,56,56,132,0,5,12,207,198.49108200979833,-8.508917990201667
"Colorado 36, Nebraska 14",,,26,50,22,140,0,5,8,207,207.02405111088038,0.0240511108803787
"Utah 20, Baylor 13",,,22,33,7,130,0,3,8,206,198.77622642785389,-7.223773572146115
"Hawai'i 31, Albany (NY) 20",,,29,51,11,145,0,5,11,205,218.19378705409548,13.19378705409548
"Maryland 38, Charlotte 20",,,22,58,18,124,0,4,8,205,200.1018397793031,-4.898160220696894
"Texas 34, Alabama 24",,,24,58,10,137,0,2,8,205,208.7929951161716,3.7929951161715962
"Army 57, Delaware State 0",,,23,57,57,126,0,3,6,204,188.7124882488182,-15.287511751181796
"Fordham 40, Buffalo 37",,,21,77,3,139,0,1,4,204,209.37168889075807,5.371688890758065
"TCU 41, Nicholls State 6",,,27,47,35,145,1,4,10,204,205.01281549281228,1.0128154928122797
"Penn State 63, Delaware 7",,,23,70,56,132,0,2,9,203,193.53962748136078,-9.460372518639218
"South Carolina 47, Furman 21",,,27,68,26,143,0,2,11,203,213.10776570296724,10.107765702967242
"Washington State 31, Wisconsin 22",,,24,53,9,137,0,3,9,203,208.01953116147575,5.019531161475754
"Kansas 34, Illinois 23",,,22,57,11,129,0,4,5,200,202.44498215635755,2.444982156357554
"UCLA 35, San Diego State 10",,,27,45,25,139,0,5,12,200,207.3302406936999,7.330240693699892
"Cincinnati 27, Pittsburgh 21",,,24,48,6,130,0,2,10,200,207.11435460053676,7.114354600536757
"Georgia State 35, Connecticut 14",,,26,49,21,141,0,4,9,199,207.50243833320985,8.502438333209852
"Missouri 23, Middle Tennessee 19",,,20,42,4,130,0,0,9,199,198.31236470350296,-0.6876352964970351
"USC 56, Stanford 10",,,27,66,46,130,1,3,12,197,204.14262862312862,7.142628623128616
"UCF 18, Boise State 16",,,20,34,2,131,0,3,7,196,196.66097121824168,0.6609712182416843
"New Mexico 56, Tennessee Tech 10",,,25,66,46,127,0,4,8,195,198.98347191104023,3.983471911040226
"Kansas State 42, Troy 13",,,26,55,29,136,0,3,10,195,205.77287008115616,10.772870081156157
"Indiana 41, Indiana State 7",,,21,48,34,122,0,2,9,194,190.33368099232783,-3.666319007672172
"Clemson 66, Charleston Southern 17",,,27,83,49,133,0,3,11,194,207.43463389887296,13.43463389887296
"Oklahoma 28, SMU 11",,,23,39,17,153,0,2,9,194,202.2566204410856,8.256620441085602
"BYU 41, Southern Utah 16",,,25,57,25,115,0,3,10,193,202.68523379687625,9.685233796876247
"Auburn 14, California 10",,,26,24,4,133,0,7,9,192,205.95024349989447,13.95024349989447
"Old Dominion 38, Louisiana 31",,,21,69,7,130,0,0,6,192,205.26528652682333,13.265286526823331
"Oklahoma State 27, Arizona State 15",,,24,42,12,126,0,1,9,191,203.01997908263712,12.019979082637121
"Michigan State 45, Richmond 14",,,24,59,31,115,0,3,9,191,198.9590457207854,7.9590457207854115
"Southern Illinois 14, Northern Illinois 11",,,25,25,3,122,0,3,12,191,203.7923717503525,12.792371750352487
"Ohio State 35, Youngstown State 7",,,20,42,28,119,0,1,8,191,188.42706700317547,-2.572932996824534
"Georgia Tech 48, South Carolina State 13",,,24,61,35,128,0,4,6,190,199.32117764166262,9.321177641662615
"Georgia 45, Ball State 3",,,25,48,42,126,1,4,10,188,196.22822386230334,8.228223862303338
"Western Kentucky 52, Houston Christian 22",,,22,74,30,127,0,3,7,188,200.18929327952262,12.189293279522616
"Liberty 33, New Mexico State 17",,,20,50,16,127,0,4,4,188,194.6230203523774,6.623020352377409
"Purdue 24, Virginia Tech 17",,,27,41,7,142,0,2,13,188,213.28426272946308,25.28426272946308
"Toledo 71, Texas Southern 3",,,23,74,68,137,0,2,8,188,190.96348979349835,2.963489793498354
"Bowling Green 38, Eastern Illinois 15",,,18,53,23,123,0,1,5,187,188.79079453525316,1.7907945352531556
"Iowa 20, Iowa State 13",,,23,33,7,126,0,2,12,187,200.95449325775772,13.954493257757719
"Minnesota 25, Eastern Michigan 6",,,17,31,19,113,0,3,5,186,181.34464453127777,-4.6553554687222345
"Oregon State 55, UC Davis 7",,,25,62,48,122,1,2,12,185,197.46076644777983,12.460766447779832
"Memphis 37, Arkansas State 3",,,25,40,34,141,0,4,12,185,199.4245614635533,14.424561463553289
"Michigan 35, UNLV 7",,,22,42,28,118,0,1,9,185,192.4730180476646,7.4730180476645955
"Utah State 78, Idaho State 28",,,29,106,50,152,0,3,9,183,218.91239638357112,35.91239638357112
"Florida 49, McNeese State 7",,,20,56,42,114,0,1,8,181,186.33369188348567,5.33369188348567
"Kentucky 28, Eastern Kentucky 17",,,22,45,11,117,0,3,8,180,198.48374560834523,18.48374560834523
"Northwestern 38, UTEP 7",,,23,45,31,124,0,3,8,180,194.695299627488,14.695299627487998
"Washington 43, Tulsa 10",,,19,53,33,134,0,3,3,180,188.46073930915892,8.460739309158924
"Idaho 33, Nevada 6",,,21,39,27,122,0,4,5,174,189.7581099396424,15.758109939642395
"Duke 42, Lafayette 7",,,18,49,35,117,0,3,4,173,182.6255458275159,9.625545827515907
"Wyoming 31, Portland State 17",,,23,48,14,134,0,4,8,172,202.46812185284594,30.46812185284594
"Louisiana Monroe 24, Lamar 14",,,20,38,10,124,1,2,10,169,194.49769641406854,25.497696414068542
"Arkansas 28, Kent State 6",,,18,34,22,117,0,1,8,166,184.24976788444687,18.249767884446868
"Air Force 13, Sam Houston State 3",,,19,16,10,106,0,1,12,161,185.15044269964972,24.150442699649716
"South Alabama 35, Southeastern Louisiana 17",,,19,52,18,124,0,3,6,102,192.39523646002579,90.39523646002579
"Arizona State 24, Southern Utah 21",,,22,45,3,114,1,0,14,366,201.97570891769914,-164.02429108230086
"Florida International 14, Maine 12",,,23,26,2,139,0,4,9,264,202.1375582629946,-61.86244173700541
"Western Kentucky 41, South Florida 24",,,29,65,17,168,0,3,12,250,223.00273319911196,-26.997266800888042
"Troy 48, Stephen F. Austin 30",,,25,78,18,123,0,5,4,235,210.04778905140262,-24.952210948597383
"Georgia 48, Tennessee-Martin 7",,,26,55,41,132,0,1,14,232,201.95732539947917,-30.042674600520826
"Wyoming 35, Texas Tech 33",,,28,68,2,158,0,3,9,229,224.91911762255788,-4.080882377442123
"Louisiana 38, Northwestern State 13",,,31,51,25,134,0,4,16,228,216.83696117881294,-11.163038821187058
"Michigan State 31, Central Michigan 7",,,26,38,24,130,0,1,14,226,203.38234663480736,-22.617653365192638
"Texas State 42, Baylor 31",,,24,73,11,145,0,4,5,226,212.49731429986753,-13.502685700132474
"Stanford 37, Hawai'i 24",,,22,61,13,139,0,0,8,224,204.90502282983016,-19.09497717016984
"Louisville 39, Georgia Tech 34",,,28,73,5,135,0,3,8,223,221.75286831630729,-1.2471316836927144
"Florida Atlantic 42, Monmouth 20",,,30,62,22,142,0,3,11,223,218.84973286942625,-4.150267130573752
"San Diego State 36, Idaho State 28",,,29,64,8,147,0,6,8,222,222.0249734842972,0.024973484297191817
"Illinois 30, Toledo 28",,,20,58,2,140,0,2,6,222,203.54720860904837,-18.45279139095163
"Temple 24, Akron 21",,,25,45,3,134,0,1,13,220,210.54009626595885,-9.459903734041148
"Colorado 45, TCU 42",,,25,87,3,160,0,3,5,219,222.71006581996716,3.7100658199671557
"UNLV 44, Bryant 14",,,24,58,30,135,0,3,6,217,201.34710588850237,-15.65289411149763
"Northern Illinois 27, Boston College 24",,,24,51,3,143,0,2,13,217,211.1234661527263,-5.876533847273691
"Fresno State 39, Purdue 35",,,24,74,4,142,1,1,8,216,215.40950319610047,-0.5904968038995264
"Oregon 81, Portland State 7",,,26,88,74,129,0,1,9,214,197.4392700479144,-16.56072995208561
"Washington 56, Boise State 19",,,28,75,37,136,0,2,12,213,212.2566064610527,-0.7433935389472879
"Liberty 34, Bowling Green 24",,,25,58,10,131,0,6,5,213,209.17521450513044,-3.824785494869559
"Wisconsin 38, Buffalo 17",,,29,55,21,142,0,2,12,213,215.74734641470218,2.7473464147021787
"SMU 38, Louisiana Tech 14",,,24,52,24,136,0,1,9,213,202.72580862236052,-10.274191377639482
"Iowa 24, Utah State 14",,,26,38,10,141,0,1,12,213,209.3232956825681,-3.6767043174318985
"California 58, North Texas 21",,,31,79,37,148,0,5,9,212,220.18758926936053,8.18758926936053
"Tennessee 49, Virginia 13",,,29,62,36,149,0,1,14,212,213.70733714905546,1.707337149055462
"Oklahoma State 27, Central Arkansas 13",,,23,40,14,144,0,2,11,212,202.58473121930362,-9.41526878069638
"Texas A&M 52, New Mexico 10",,,22,62,42,123,0,1,8,211,193.0337366793621,-17.966263320637893
"Southern Mississippi 40, Alcorn State 14",,,25,54,26,112,0,3,10,210,201.21653768645962,-8.783462313540383
"Houston 17, UTSA 14",,,23,31,3,143,0,3,10,210,203.78432682363405,-6.215673176365954
"Minnesota 13, Nebraska 10",,,19,23,3,125,0,5,7,207,190.6979927553408,-16.302007244659194
"Missouri 35, South Dakota 10",,,21,45,25,126,0,1,8,207,193.13844287216583,-13.861557127834175
"UCLA 27, Coastal Carolina 13",,,22,40,14,137,0,6,4,206,198.16456760141125,-7.83543239858875
"Maryland 38, Towson 6",,,21,44,32,144,0,0,7,206,192.94179711274015,-13.058202887259853
"Florida State 45, LSU 24",,,23,69,21,130,0,3,6,206,204.31116017824493,-1.6888398217550673
"Rutgers 24, Northwestern 7",,,23,31,17,136,0,3,11,206,198.23701289273154,-7.762987107268458
"Duke 28, Clemson 7",,,25,35,21,147,0,5,9,206,202.90342712773207,-3.0965728722679273
"Georgia State 42, Rhode Island 35",,,23,77,7,133,0,2,8,205,211.77152483657204,6.771524836572041
"Eastern Michigan 33, Howard 23",,,21,56,10,133,2,1,7,205,201.64620415650205,-3.3537958434979487
"Vanderbilt 47, Alabama A&M 13",,,25,60,34,132,0,2,10,205,202.78661052066923,-2.213389479330772
"New Mexico State 58, Western Illinois 21",,,23,79,37,122,0,0,8,205,200.7320736411416,-4.2679263588584035
"Washington State 50, Colorado State 24",,,26,74,26,151,1,4,8,204,212.99307363205045,8.993073632050454
"Memphis 56, Bethune-Cookman 14",,,29,70,42,129,0,4,13,203,210.4158830847317,7.415883084731689
"Cincinnati 66, Eastern Kentucky 13",,,25,79,53,128,0,4,5,203,199.37162040504325,-3.6283795949567548
"Arkansas 56, Western Carolina 13",,,25,69,43,131,0,5,10,203,201.5072512718292,-1.4927487281707954
"Kentucky 44, Ball State 14",,,20,58,30,122,1,3,6,202,191.49926490933927,-10.500735090660726
"Ole Miss 73, Mercer 7",,,25,80,66,142,1,4,8,201,197.62692076520466,-3.373079234795341
"UCF 56, Kent State 6",,,25,62,50,149,0,4,7,200,199.56065463831416,-0.43934536168583804
"BYU 14, Sam Houston State 0",,,28,14,14,124,0,3,19,200,204.87991142368898,4.879911423688981
"Oklahoma 73, Arkansas State 0",,,24,73,73,132,1,1,8,199,190.43312023310634,-8.566879766893663
"Louisiana Monroe 17, Army 13",,,24,30,4,125,0,7,10,199,202.40881219974958,3.408812199749576
"Virginia Tech 36, Old Dominion 17",,,24,53,19,141,0,3,7,198,204.86860851711796,6.868608517117963
"Tulane 37, South Alabama 17",,,23,54,20,115,0,8,2,198,197.95886490649136,-0.041135093508643195
"USC 66, Nevada 14",,,26,80,52,126,0,2,8,197,202.3235997727577,5.323599772757689
"Ohio State 23, Indiana 3",,,21,26,20,121,0,1,10,195,189.92977480091113,-5.070225199088867
"Marshall 21, Albany (NY) 17",,,25,38,4,135,0,1,10,194,208.19180813654418,14.191808136544182
"Syracuse 65, Colgate 0",,,30,65,65,147,0,6,10,194,205.30272902885102,11.302729028851019
"Michigan 30, East Carolina 3",,,18,33,27,117,0,1,7,194,182.1591822198748,-11.840817780125207
"Auburn 59, UMass 14",,,25,73,45,120,0,2,7,194,200.02193576576542,6.02193576576542
"Penn State 38, West Virginia 15",,,21,53,23,132,0,0,6,194,196.31279040380238,2.3127904038023814
"Oregon State 42, San Jose State 17",,,20,59,25,127,0,1,5,194,194.12199956163377,0.12199956163377124
"Western Michigan 35, St. Francis (PA) 17",,,20,52,18,139,0,1,9,193,197.12286818832337,4.122868188323366
"North Carolina 31, South Carolina 17",,,24,48,14,141,0,2,7,193,205.44914436925637,12.449144369256373
"James Madison 38, Bucknell 3",,,26,41,35,122,0,2,12,192,198.86745673302647,6.867456733026472
"Arizona 38, Northern Arizona 3",,,23,41,35,123,0,3,7,192,192.08971391208013,0.08971391208012847
"Wake Forest 37, Elon 17",,,25,54,20,130,0,3,12,191,206.05798036425247,15.057980364252472
"Alabama 56, Middle Tennessee 7",,,25,63,49,125,0,2,11,191,197.61591540396415,6.615915403964152
"Iowa State 30, Northern Iowa 9",,,25,39,21,117,0,2,15,191,200.90481017910017,9.904810179100167
"Texas 37, Rice 10",,,24,47,27,126,0,3,7,191,198.65498440762713,7.654984407627126
"Appalachian State 45, Gardner-Webb 24",,,25,69,21,143,0,3,8,191,210.45433836536594,19.454338365365942
"Tulsa 42, Arkansas-Pine Bluff 7",,,25,49,35,138,0,4,13,190,200.9760976122299,10.976097612229893
"Kansas State 45, Southeast Missouri State 0",,,23,45,45,134,0,1,10,189,191.82037901305333,2.8203790130533264
"Kansas 48, Missouri State 17",,,23,65,31,114,0,3,6,188,197.7589449840446,9.758944984044604
"Notre Dame 56, Tennessee State 3",,,22,59,53,121,0,3,8,188,188.15873141014194,0.15873141014193948
"NC State 24, Connecticut 14",,,19,38,10,125,0,1,9,187,192.54397782725601,5.543977827256015
"Georgia Southern 34, Citadel 0",,,22,34,34,125,0,3,10,187,189.5038583580625,2.5038583580625016
"UTEP 28, Incarnate Word 14",,,17,42,14,121,0,1,7,187,187.24581107373777,0.24581107373776945
"Utah 24, Florida 11",,,24,35,13,118,0,1,10,186,200.0658191422579,14.065819142257908
"Charlotte 24, South Carolina State 3",,,24,27,21,121,0,3,11,182,195.86620091979825,13.866200919798246
"Mississippi State 48, Southeastern Louisiana 7",,,22,55,41,122,1,1,10,181,191.88506881145057,10.885068811450566
"Pittsburgh 45, Wofford 7",,,21,52,38,113,0,1,10,181,188.9277312280961,7.927731228096093
"Jacksonville State 49, East Tennessee State 3",,,28,52,46,131,0,4,13,179,203.0360435155866,24.036043515586613
"Miami 38, Miami (OH) 3",,,21,41,35,110,0,1,8,178,186.58622767796547,8.586227677965468
"Ohio 27, LIU 10",,,22,37,17,115,0,4,6,177,193.8694965318732,16.86949653187321
"UAB 35, North Carolina A&T 6",,,17,41,29,120,0,1,4,173,181.31239658161618,8.312396581616184
"Air Force 42, Robert Morris 7",,,19,49,35,109,0,3,6,171,183.85049681951563,12.850496819515627
"Louisiana Tech 22, Florida International 17",,,25,39,5,127,0,3,11,217,206.98452068517605,-10.01547931482395
"Vanderbilt 35, Hawai'i 28",,,22,63,7,116,1,2,7,215,203.90986659067784,-11.090133409322164
"San Diego State 20, Ohio 13",,,21,33,7,141,0,4,6,213,197.8864079138087,-15.11359208619129
"UMass 41, New Mexico State 30",,,24,71,11,118,0,3,9,212,209.00386772314033,-2.9961322768596688
"USC 56, San Jose State 28",,,24,84,28,135,1,0,9,207,208.94115125680264,1.941151256802641
"Jacksonville State 17, UTEP 14",,,22,31,3,136,0,3,9,195,200.64354711175434,5.643547111754344
"Notre Dame 42, Navy 3",,,16,45,39,112,0,0,4,170,175.84191623969895,5.841916239698946
