score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"Western Kentucky 31, Middle Tennessee 10",,,26,41,21,153,0,4,11,217,207.5758978793281,-9.424102120671904
"Purdue 44, Illinois 19",,,24,63,25,137,0,2,10,217,205.22758222386307,-11.772417776136933
"USC 48, Colorado 41",,,29,89,7,155,0,2,9,215,229.90947165600582,14.90947165600582
"Western Michigan 42, Ball State 24",,,25,66,18,138,0,1,10,214,210.5425490775922,-3.457450922407787
"Tulane 35, UAB 23",,,21,58,12,138,0,3,4,213,201.49820853861624,-11.50179146138376
"Oklahoma 50, Iowa State 20",,,24,70,30,144,0,3,6,213,205.45287944764556,-7.547120552354443
"Iowa 26, Michigan State 16",,,30,42,10,135,1,6,13,212,217.25517431196153,5.255174311961525
"South Florida 44, Navy 30",,,28,74,14,137,0,4,9,210,219.30167011806628,9.301670118066284
"Baylor 36, UCF 35",,,23,71,1,138,0,3,5,208,212.50437984293134,4.504379842931343
"Clemson 31, Syracuse 14",,,28,45,17,137,0,4,12,208,211.85344502331657,3.853445023316567
"Tennessee 41, South Carolina 20",,,19,61,21,135,0,3,8,208,195.36706616503002,-12.632933834969975
"BYU 35, Cincinnati 27",,,24,62,8,137,0,2,9,206,210.58326600863694,4.58326600863694
"California 24, Arizona State 21",,,26,45,3,149,0,2,11,206,214.2282451498994,8.228245149899408
"Arkansas State 52, UMass 28",,,22,80,24,128,0,1,5,206,203.62888929430326,-2.3711107056967364
"SMU 34, Charlotte 16",,,21,50,18,135,0,2,5,206,197.38527017851223,-8.61472982148777
"Boston College 27, Virginia 24",,,26,51,3,136,0,5,10,206,213.4595367627235,7.459536762723502
"Utah State 34, Connecticut 33",,,26,67,1,133,0,3,8,205,217.37535934950753,12.375359349507534
"North Texas 45, Abilene Christian 31",,,25,76,14,147,0,1,10,204,215.52546607111074,11.525466071110742
"Tulsa 48, Temple 26",,,24,74,22,140,1,2,6,203,208.6405475547355,5.640547554735491
"Louisville 13, NC State 10",,,26,23,3,120,0,6,14,203,205.13085272806777,2.130852728067765
"Bowling Green 38, Georgia Tech 27",,,22,65,11,136,0,3,6,202,205.56044682741364,3.5604468274136423
"Texas A&M 34, Arkansas 22",,,25,56,12,123,1,4,7,202,207.39430941079775,5.394309410797746
"Appalachian State 41, Louisiana Monroe 40",,,29,81,1,143,0,6,8,201,227.89286786478914,26.89286786478914
"Notre Dame 21, Duke 14",,,24,35,7,130,0,2,11,201,203.83707333856515,2.8370733385651477
"Toledo 35, Northern Illinois 33",,,24,68,2,126,0,2,9,200,212.52204437922683,12.522044379226827
"Marshall 41, Old Dominion 35",,,32,76,6,137,0,6,9,200,230.37499064045977,30.37499064045977
"Virginia Tech 38, Pittsburgh 21",,,25,59,17,124,0,2,11,200,207.35502407172666,7.35502407172666
"Missouri 38, Vanderbilt 21",,,23,59,17,126,0,2,9,199,203.2875644341807,4.287564434180695
"Memphis 35, Boise State 32",,,23,67,3,133,0,0,10,198,211.2215754413265,13.221575441326507
"Maryland 44, Indiana 17",,,25,61,27,135,0,1,7,198,205.40972539464047,7.409725394640475
"Oregon State 21, Utah 7",,,24,28,14,125,0,2,13,197,199.4271461788835,2.427146178883504
"Penn State 41, Northwestern 13",,,25,54,28,136,0,2,10,197,203.94076501143604,6.940765011436042
"Central Michigan 26, Eastern Michigan 23",,,18,49,3,117,0,1,5,196,193.77639550199888,-2.223604498001123
"Washington 31, Arizona 24",,,19,55,7,136,0,2,5,193,198.41415303397375,5.414153033973747
"Fresno State 27, Nevada 9",,,25,36,18,125,0,4,9,192,201.1928134022219,9.192813402221901
"Troy 28, Georgia State 7",,,20,35,21,125,0,4,6,192,189.39827553598283,-2.601724464017167
"Alabama 40, Mississippi State 17",,,23,57,23,118,0,3,6,191,199.11330932288257,8.113309322882571
"Buffalo 13, Akron 10",,,22,23,3,125,0,1,12,190,197.8541505088069,7.854150508806896
"Wyoming 35, New Mexico 26",,,23,61,9,123,0,2,8,190,205.89698897802032,15.896988978020318
"Georgia 27, Auburn 20",,,22,47,7,126,0,3,7,187,201.39987781923656,14.399877819236565
"Minnesota 35, Louisiana 24",,,20,59,11,117,0,3,5,186,197.31669983545868,11.316699835458678
"Kentucky 33, Florida 14",,,21,47,19,114,0,1,8,185,193.98539252965134,8.985392529651335
"Rutgers 52, Wagner 3",,,18,55,49,110,0,0,5,184,178.74843680719394,-5.25156319280606
"Texas 40, Kansas 14",,,22,54,26,132,0,2,6,183,197.3879506552578,14.38795065525781
"UNLV 44, Hawai'i 20",,,24,64,24,129,0,2,8,180,204.3775813336347,24.37758133363471
"Michigan 45, Nebraska 7",,,19,52,38,120,0,1,4,179,184.91261845496135,5.912618454961347
"Oregon 42, Stanford 6",,,19,48,36,131,0,0,6,177,186.55808905917192,9.55808905917192
"Miami (OH) 23, Kent State 3",,,23,26,20,122,0,0,13,173,194.65227921002767,21.65227921002767
"Air Force 49, San Diego State 10",,,17,59,39,114,0,1,6,172,181.7077345337527,9.7077345337527
"Texas Tech 49, Houston 28",,,21,77,21,135,2,0,9,132,203.60522204790317,71.60522204790317
"Louisiana 45, Buffalo 38",,,29,83,7,146,0,5,8,235,226.83394578598515,-8.16605421401485
"Georgia State 30, Coastal Carolina 17",,,19,47,13,137,0,1,6,230,194.85473962042306,-35.14526037957694
"Indiana 29, Akron 27",,,31,56,2,144,0,5,12,229,226.477748582536,-2.522251417463991
"Toledo 49, Western Michigan 31",,,32,80,18,149,0,8,7,227,228.44760931544957,1.4476093154495686
"James Madison 45, Utah State 38",,,34,83,7,153,0,8,8,223,237.62368687515297,14.62368687515297
"West Virginia 20, Texas Tech 13",,,26,33,7,145,0,2,12,221,209.6204004310347,-11.37959956896529
"NC State 24, Virginia 21",,,26,45,3,138,0,3,12,219,212.7859301446123,-6.214069855387692
"Northwestern 37, Minnesota 34",,,29,71,3,141,0,1,14,219,225.91494825201633,6.91494825201633
"Kentucky 45, Vanderbilt 28",,,29,73,17,134,0,5,12,217,220.04464364241957,3.0446436424195724
"South Florida 42, Rice 29",,,23,71,13,140,0,1,6,215,209.03945309199904,-5.960546908000964
"Oregon 42, Colorado 6",,,21,48,36,131,0,1,9,213,190.98218976772915,-22.017810232270847
"Old Dominion 10, Texas A&M-Commerce 9",,,27,19,1,128,0,6,12,213,207.65383029733857,-5.346169702661427
"Troy 27, Western Kentucky 24",,,24,51,3,135,0,5,9,213,209.13682324495764,-3.8631767550423604
"USC 42, Arizona State 28",,,24,70,14,131,0,3,5,211,208.9095022320855,-2.0904977679145134
"Florida State 31, Clemson 24",,,24,55,7,136,0,1,10,210,209.35471954299075,-0.6452804570092496
"Maryland 31, Michigan State 9",,,22,40,22,142,0,6,5,210,196.30862926908134,-13.691370730918663
"Texas A&M 27, Auburn 10",,,23,37,17,122,0,1,14,209,198.3695387475002,-10.6304612524998
"Washington State 38, Oregon State 35",,,22,73,3,138,0,3,2,208,209.81227928005862,1.8122792800586183
"North Carolina 41, Pittsburgh 24",,,24,65,17,129,2,3,7,207,206.74530969316024,-0.25469030683976257
"Kansas State 44, UCF 31",,,23,75,13,141,0,3,3,206,209.49158985209706,3.4915898520970643
"Iowa State 34, Oklahoma State 27",,,30,61,7,144,0,2,16,206,224.84459575130384,18.844595751303842
"Georgia Tech 30, Wake Forest 16",,,25,46,14,141,0,6,5,205,206.34481726950736,1.3448172695073595
"Marshall 24, Virginia Tech 17",,,27,41,7,136,0,3,12,205,212.21407424797744,7.214074247977436
"Washington 59, California 32",,,25,91,27,143,1,4,6,204,213.2677078356659,9.267707835665902
"Wisconsin 38, Purdue 17",,,22,55,21,140,0,4,5,203,200.10578408962536,-2.8942159103746405
"Georgia 49, UAB 21",,,26,70,28,153,0,4,9,203,211.799344872252,8.799344872251993
"Arkansas State 44, Southern Mississippi 37",,,28,81,7,135,0,3,8,203,222.98282968293518,19.982829682935176
