"","game_number","date","time_et","game","location","venue","conference","thrill_score","referee_name","ref_rank","year"
"170",16,"Sat Dec 3","12:00 PM","85 Syracuse 62, 64 Notre Dame 61","South Bend, IN","Joyce Center","ACC",49.4,"A.J. Desai",61,2023
"171",37,"Sat Jan 14","8:00 PM","81 Wake Forest 85, 177 Boston College 63","Chestnut Hill, MA","Conte Forum","ACC",45,"Tony Henderson",74,2023
"172",35,"Wed Jan 4","9:00 PM","58 Clemson 68, 29 Virginia Tech 65","Blacksburg, VA","Cassell Coliseum","ACC",56.8,"Tony Henderson",74,2023
"173",32,"Fri Dec 30","2:00 PM","40 Miami FL 76, 105 Notre Dame 65","South Bend, IN","Joyce Center","ACC",59.2,"Tony Henderson",74,2023
"174",30,"Wed Dec 21","8:30 PM","145 Florida St. 73, 101 Notre Dame 72","Tallahassee, FL","Donald L. Tucker Center","ACC",46.1,"Tony Henderson",74,2023
"175",29,"Tue Dec 20","8:30 PM","47 Miami FL 66, 11 Virginia 64","Coral Gables, FL","Watsco Center","ACC",73.6,"Tony Henderson",74,2023
"176",24,"Sat Dec 10","1:00 PM","146 Florida St. 75, 211 Louisville 53","Tallahassee, FL","Donald L. Tucker Center","ACC",29.9,"Tony Henderson",74,2023
"177",18,"Fri Dec 2","7:00 PM","61 Clemson 77, 68 Wake Forest 57","Clemson, SC","Littlejohn Coliseum","ACC",56.2,"Tony Henderson",74,2023
"178",37,"Wed Jan 18","7:00 PM","62 Pittsburgh 75, 281 Louisville 54","Louisville, KY","KFC Yum! Center","ACC",24.7,"Tim Clougherty",71,2023
"179",36,"Tue Jan 17","9:00 PM","73 Wake Forest 87, 52 Clemson 77","Winston-Salem, NC","Joel Coliseum","ACC",63.5,"Tim Clougherty",71,2023
"180",35,"Sat Jan 14","4:00 PM","11 Virginia 67, 170 Florida St. 58","Tallahassee, FL","Donald L. Tucker Center","ACC",40.3,"Tim Clougherty",71,2023
"181",33,"Wed Jan 11","7:00 PM","43 Miami FL 88, 172 Boston College 72","Coral Gables, FL","Watsco Center","ACC",24.2,"Tim Clougherty",71,2023
"182",32,"Tue Jan 10","7:00 PM","127 Notre Dame 73, 130 Georgia Tech 72 (OT)","South Bend, IN","Joyce Center","ACC",41.3,"Tim Clougherty",71,2023
"183",28,"Wed Jan 4","9:00 PM","58 Clemson 68, 29 Virginia Tech 65","Blacksburg, VA","Cassell Coliseum","ACC",56.8,"Tim Clougherty",71,2023
"184",23,"Tue Dec 20","9:00 PM","72 Pittsburgh 84, 81 Syracuse 82","Syracuse, NY","JMA Wireless Dome","ACC",55.6,"Tim Clougherty",71,2023
"185",42,"Tue Jan 24","7:00 PM","44 Miami FL 86, 143 Florida St. 63","Tallahassee, FL","Donald L. Tucker Center","ACC",50.6,"Ted Valentine",66,2023
"186",41,"Sat Jan 21","12:00 PM","88 Syracuse 80, 142 Georgia Tech 63","Atlanta, GA","McCamish Pavilion","ACC",48.9,"Ted Valentine",66,2023
"187",39,"Tue Jan 17","7:00 PM","23 North Carolina 72, 201 Boston College 64","Chapel Hill, NC","Dean E. Smith Center","ACC",18.7,"Ted Valentine",66,2023
"188",37,"Sat Jan 14","4:00 PM","11 Virginia 67, 170 Florida St. 58","Tallahassee, FL","Donald L. Tucker Center","ACC",40.3,"Ted Valentine",66,2023
"189",36,"Wed Jan 11","7:00 PM","88 Syracuse 82, 41 Virginia Tech 72","Syracuse, NY","JMA Wireless Dome","ACC",60.5,"Ted Valentine",66,2023
"190",34,"Sat Jan 7","11:30 AM","21 North Carolina 81, 120 Notre Dame 64","Chapel Hill, NC","Dean E. Smith Center","ACC",31.9,"Ted Valentine",66,2023
"191",33,"Wed Jan 4","7:00 PM","59 N.C. State 84, 14 Duke 60","Raleigh, NC","PNC Arena","ACC",70.7,"Ted Valentine",66,2023
"192",32,"Tue Jan 3","9:00 PM","66 Pittsburgh 68, 11 Virginia 65","Pittsburgh, PA","Petersen Events Center","ACC",67.4,"Ted Valentine",66,2023
"193",31,"Sat Dec 31","2:00 PM","86 Syracuse 79, 160 Boston College 65","Syracuse, NY","JMA Wireless Dome","ACC",31.2,"Ted Valentine",66,2023
"194",28,"Wed Dec 21","8:30 PM","145 Florida St. 73, 101 Notre Dame 72","Tallahassee, FL","Donald L. Tucker Center","ACC",46.1,"Ted Valentine",66,2023
"195",27,"Tue Dec 20","8:30 PM","47 Miami FL 66, 11 Virginia 64","Coral Gables, FL","Watsco Center","ACC",73.6,"Ted Valentine",66,2023
"196",22,"Sat Dec 10","1:00 PM","146 Florida St. 75, 211 Louisville 53","Tallahassee, FL","Donald L. Tucker Center","ACC",29.9,"Ted Valentine",66,2023
"197",19,"Sun Dec 4","3:00 PM","40 Virginia Tech 80, 23 North Carolina 72","Blacksburg, VA","Cassell Coliseum","ACC",72.8,"Ted Valentine",66,2023
"198",18,"Sat Dec 3","4:00 PM","20 Duke 75, 125 Boston College 59","Durham, NC","Cameron Indoor Stadium","ACC",27.5,"Ted Valentine",66,2023
"199",32,"Sat Jan 7","11:30 AM","21 North Carolina 81, 120 Notre Dame 64","Chapel Hill, NC","Dean E. Smith Center","ACC",31.9,"Chance Moore",80,2023
"200",37,"Sat Jan 21","12:00 PM","88 Syracuse 80, 142 Georgia Tech 63","Atlanta, GA","McCamish Pavilion","ACC",48.9,"Jerry Heater",91,2023
"201",30,"Sat Jan 7","3:00 PM","81 Wake Forest 80, 265 Louisville 72","Louisville, KY","KFC Yum! Center","ACC",29.2,"Jerry Heater",91,2023
"202",33,"Sat Jan 21","12:00 PM","88 Syracuse 80, 142 Georgia Tech 63","Atlanta, GA","McCamish Pavilion","ACC",48.9,"Mark Schnur",97,2023
"203",27,"Sat Jan 7","1:00 PM","23 Duke 65, 167 Boston College 64","Chestnut Hill, MA","Conte Forum","ACC",40.9,"Mark Schnur",97,2023
"204",33,"Tue Jan 24","9:00 PM","60 Clemson 72, 157 Georgia Tech 51","Clemson, SC","Littlejohn Coliseum","ACC",28.9,"Justin Porterfield",94,2023
"205",32,"Sat Jan 21","3:00 PM","154 Florida St. 71, 57 Pittsburgh 64","Pittsburgh, PA","Petersen Events Center","ACC",29.2,"Justin Porterfield",94,2023
"206",29,"Sat Jan 14","8:00 PM","81 Wake Forest 85, 177 Boston College 63","Chestnut Hill, MA","Conte Forum","ACC",45,"Justin Porterfield",94,2023
"207",27,"Sat Jan 7","4:00 PM","56 Clemson 75, 64 Pittsburgh 74","Pittsburgh, PA","Petersen Events Center","ACC",62.4,"Justin Porterfield",94,2023
"208",27,"Sat Jan 21","6:00 PM","62 Clemson 51, 49 Virginia Tech 50","Clemson, SC","Littlejohn Coliseum","ACC",63.3,"Jeff Pon",103,2023
"209",22,"Sat Jan 7","5:00 PM","12 Virginia 73, 90 Syracuse 66","Charlottesville, VA","John Paul Jones Arena","ACC",36,"Jeff Pon",103,2023
"210",23,"Sat Jan 7","1:00 PM","163 Florida St. 75, 122 Georgia Tech 64","Tallahassee, FL","Donald L. Tucker Center","ACC",43.5,"Trey Styons",118,2023
"211",29,"Tue Jan 24","7:00 PM","42 N.C. State 85, 161 Notre Dame 82","Raleigh, NC","PNC Arena","ACC",26.9,"Raymond Styons",122,2023
"212",28,"Sat Jan 21","3:00 PM","154 Florida St. 71, 57 Pittsburgh 64","Pittsburgh, PA","Petersen Events Center","ACC",29.2,"Raymond Styons",122,2023
"213",26,"Sat Jan 14","12:00 PM","36 N.C. State 83, 39 Miami FL 81 (OT)","Raleigh, NC","PNC Arena","ACC",67,"Raymond Styons",122,2023
"214",24,"Sat Jan 7","3:00 PM","81 Wake Forest 80, 265 Louisville 72","Louisville, KY","KFC Yum! Center","ACC",29.2,"Raymond Styons",122,2023
"215",27,"Sat Jan 21","2:00 PM","194 Boston College 84, 144 Notre Dame 72","South Bend, IN","Joyce Center","ACC",32.4,"Jemel Spearman",129,2023
"216",25,"Sat Jan 14","2:00 PM","25 North Carolina 80, 274 Louisville 59","Louisville, KY","KFC Yum! Center","ACC",21.9,"Jemel Spearman",129,2023
"217",23,"Sat Jan 7","7:30 PM","43 N.C. State 73, 35 Virginia Tech 69","Blacksburg, VA","Cassell Coliseum","ACC",64.5,"Jemel Spearman",129,2023
