Rk,Player,Yrs,From▼,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,Date,City
56,David Noel,1,2007,2007,68,792,65,177,17,53,37,43,42,123,65,25,9,40,77,184,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.1,27-Feb-84,Durham
57,Cedric Simmons,3,2007,2009,75,705,70,171,0,0,23,59,55,141,14,11,32,30,91,163,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.4,3-Jan-86,Shallotte
58,P.J. Tucker,14,2007,2025,886,24993,2131,5018,880,2404,721,961,1304,4778,1225,943,263,816,2152,5863,0.425,0.366,0.75,28.2,6.6,5.4,1.4,1.1,0.3,5-May-85,Raleigh
59,Rashad McCants,4,2006,2009,249,5037,923,2144,292,793,341,460,114,506,331,183,61,362,584,2479,0.431,0.368,0.741,20.2,10,2,1.3,0.7,0.2,25-Sep-84,Asheville
60,Chris Paul,20,2006,2025,1354,45608,8147,17352,1860,5029,4857,5579,792,5978,12499,2717,222,3093,3185,23011,0.47,0.37,0.871,33.7,17,4.4,9.2,2,0.2,6-May-85,Winston-Salem
61,Shavlik Randolph,8,2006,2015,146,1202,129,287,1,6,81,149,151,363,36,44,38,59,193,340,0.449,0.167,0.544,8.2,2.3,2.5,0.2,0.3,0.3,24-Nov-83,Raleigh
62,Damien Wilkins,10,2005,2018,582,10991,1344,3157,205,627,711,908,441,1362,796,431,130,524,945,3604,0.426,0.327,0.783,18.9,6.2,2.3,1.4,0.7,0.2,11-Jan-80,Washington
63,Josh Howard,10,2004,2013,507,15350,2759,6161,342,1029,1410,1830,846,2886,817,530,276,723,1297,7270,0.448,0.332,0.77,30.3,14.3,5.7,1.6,1,0.5,28-Apr-80,Winston-Salem
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
