"","conf","mean_f_plus_ptile"
"1","SEC",0.825657894736842
"2","Big Ten",0.723475355054302
"3","Big 12",0.668703007518797
"4","ACC",0.641751437417072
"5","Sun Belt",0.323845327604726
"6","American",0.301288936627283
"7","Mountain West",0.295112781954887
"8","CUSA",0.192481203007519
"9","MAC",0.181704260651629
